,Player,Salary,Salary(*),Salary(%)
245,Kevin Martin,3336000,3545349,3.5435454574424012
246,KJ McDaniels,3333333,3542515,3.5407125330614067
247,Mike Scott,3333333,3542515,3.5407125330614067
248,Troy Daniels,3332940,3542097,3.5402950830120137
249,Julius Randle,3267120,3472146,3.4703801663426916
250,Ronnie Price,3251227,3455255,3.453498401368132
251,Emmanuel Mudiay,3241800,3445238,3.443484911252032
252,CJ McCollum,3219579,3421622,3.4198814569325386
253,Jamal Murray,3210840,3412335,3.4105987699563434
254,Patrick Mills,3200000,3400814,3.3990843716473873
255,Michael Carter-Williams,3183526,3383307,3.3815854604166002
256,Omri Casspi,3149524,3347171,3.3454680645401145
257,Steven Adams,3140517,3337599,3.3359007042477935
258,Kelly Olynyk,3094013,3288176,3.2865035106168277
259,Shabazz Muhammad,3046299,3237468,3.2358210382078325
260,Justin Hamilton,3000000,3188263,3.1866415984194254
261,Dante Cunningham,3000000,3188263,3.1866415984194254
262,Giannis Antetokounmpo,2995420,3183396,3.181776658912505
263,Nik Stauskas,2993040,3180867,3.1792485899110927
264,Stanley Johnson,2969880,3156253,3.1546477167712945
265,Quincy Acy,2965505,3151603,3.1500005311069326
266,Marquese Chriss,2941440,3126029,3.1244383544182788
267,Seth Curry,2898000,3079862,3.0782957840731653
268,Zaza Pachulia,2898000,3079862,3.0782957840731653
269,Nenê,2898000,3079862,3.0782957840731653
270,James Ennis,2898000,3079862,3.0782957840731653
271,Dion Waiters,2898000,3079862,3.0782957840731653
272,Mindaugas Kuzminskas,2898000,3079862,3.0782957840731653
273,Dewayne Dedmon,2898000,3079862,3.0782957840731653
274,Tomas Satoransky,2870813,3050969,3.0494173756944223
275,Tibor Pleiss,2800000,2975713,2.974198825191464
276,Noah Vonleh,2751360,2924020,2.922532742742424
277,Frank Kaminsky,2730000,2901320,2.8998438545616776
278,Dennis Schroeder,2708582,2878558,2.8770933579766953
279,Jakob Poeltl,2703960,2873646,2.872183805487397
280,Aaron Brooks,2700000,2869437,2.867977438577483
281,Elfrid Payton,2613600,2777615,2.776202160543004
282,Justise Winslow,2593440,2756190,2.7547879290016253
283,Thon Maker,2568600,2729791,2.7284025365667124
284,Malcolm Delaney,2500000,2656886,2.6555346653495215
285,Randy Foye,2500000,2656886,2.6555346653495215
286,Richard Jefferson,2500000,2656886,2.6555346653495215
287,Martell Webster,2500000,2656886,2.6555346653495215
288,Doug McDermott,2483040,2638862,2.6375195181797904
289,Domantas Sabonis,2440200,2593333,2.592014276154361
290,Shelvin Mack,2433334,2586037,2.584721115749445
291,Myles Turner,2380440,2529823,2.528536375513846
292,Tony Snell,2368327,2516950,2.5156697789532947
293,Archie Goodwin,2350999,2498534,2.4972637370808237
294,Gorgui Dieng,2348782,2496178,2.494908808939592
295,Trey Lyles,2340600,2487483,2.486217775086836
296,Mason Plumlee,2328530,2474656,2.4733968537225284
297,Taurean Prince,2318280,2463762,2.4625091615945958
298,Dario Saric,2318280,2463762,2.4625091615945958
299,Tim Hardaway Jr,2281605,2424786,2.4235524680539178
300,Reggie Bullock,2255644,2397196,2.3959763338750624
301,Alonzo Gee,2255408,2396944,2.3957256514026533
302,Zach LaVine,2240880,2381505,2.380293808355374
303,Devin Booker,2223600,2363141,2.3619387527484785
304,Luc Mbah a Moute,2203000,2341248,2.3400571471059983
305,Georgios Papagiannis,2202240,2340440,2.339249864567732
306,Maurice Williams,2194500,2332215,2.33102832924381
307,Andre Roberson,2183072,2320069,2.318889349181564
308,TJ Warren,2128920,2262519,2.2613683439023613
309,Rudy Gobert,2121287,2254407,2.253260465462116
310,Cameron Payne,2112480,2245047,2.2439055479430228
311,Joe Ingles,2100000,2231784,2.2306491188935977
312,Denzel Valentine,2092200,2223495,2.2223638507377075
313,Tim Frazier,2090000,2221157,2.2200269802321997
314,Adreian Payne,2022240,2149144,2.1480513686625664
315,Kelly Oubre,2006640,2132565,2.1314808323507854
316,Juan Hernangomez,1987440,2112161,2.111086326120901
317,Jusuf Nurkic,1921320,2041891,2.040852745291737
318,Lucas Nogueira,1921320,2041891,2.040852745291737
319,Terry Rozier,1906440,2026077,2.0250470029635768
320,James Young,1825200,1939739,1.9387527484783789
321,Rashad Vaughn,1811040,1924691,1.923711800133839
322,Kevin Seraphin,1800000,1912958,1.9119849590516553
323,Wade Baldwin,1793760,1906326,1.905356744526943
324,Tyler Ennis,1733880,1842689,1.8417513782224912
325,Sam Dekker,1720560,1828533,1.8276026895255089
326,Joffrey Lauvergne,1709719,1817011,1.8160872290026875
327,Henry Ellenson,1704120,1811061,1.8101398935661706
328,Gary Harris,1655880,1759794,1.7588986966635862
329,Jerian Grant,1643040,1746148,1.745259870622351
330,Malik Beasley,1627320,1729441,1.7285618686466335
331,RJ Hunter,1625240,1727230,1.7263524638050625
332,Bruno Caboclo,1589640,1689397,1.6885376501704852
333,Delon Wright,1577280,1676261,1.6754086867849973
334,Jarrett Jack,1571705,1670335,1.6694868444812678
335,Caris LeVert,1562280,1660320,1.6594754787929002
336,Chris Andersen,1551659,1649032,1.6481937053206293
337,James Jones,1551659,1649032,1.6481937053206293
338,David West,1551659,1649032,1.6481937053206293
339,Raymond Felton,1551659,1649032,1.6481937053206293
340,Brandon Bass,1551659,1649032,1.6481937053206293
341,Metta World Peace,1551659,1649032,1.6481937053206293
342,Jason Terry,1551659,1649032,1.6481937053206293
343,Steve Novak,1551659,1649032,1.6481937053206293
344,Caron Butler,1551659,1649032,1.6481937053206293
345,David Lee,1551659,1649032,1.6481937053206293
346,Mitch McGary,1526040,1621806,1.6209808482839934
347,Justin Anderson,1514160,1609180,1.6083617475542527
348,Marcelo Huertas,1500000,1594131,1.5933207992097127
349,DeAndre Bembry,1499760,1593876,1.5930658678818395
350,Jordan Adams,1465080,1557020,1.5562282910041108
351,Demetrius Jackson,1450000,1540994,1.5402101059027224
352,Malachi Richardson,1439880,1530239,1.5294605015773877
353,Gerald Green,1410598,1499119,1.4983567551490817
354,Sasha Vujacic,1410598,1499119,1.4983567551490817
355,Rodney Hood,1406520,1494785,1.4940250470029635
