,Player,Team,Salary
214,Speedy Claxton,Atlanta Hawks,5209454
215,Channing Fry,Phoenix Suns,5200000
216,John Wall,Washington Wizards,5144280
217,Reggie Evans,Toronto Raptors,5080000
218,Jason Maxiell,Detroit Pistons,5000000
219,Amir Johnso,Toronto Raptors,5000000
220,Kyle Korver,Chicago Bulls,5000000
221,Lou Williams,Philadelphia 76ers,5000000
222,Mike Miller,Miami Heat,5000000
223,Linas Kleiza,Toronto Raptors,4995000
224,Michael Beasle,Minnesota Timberwolves,4962240
225,Mike Conley,Memphis Grizzlies,4913077
226,Antonio McDyess,San Antonio Spurs,4860000
227,Marcus Banks,Toronto Raptors,4847586
228,Darius Songaila,Philadelphia 76ers,4818000
229,Martell Webster,Minnesota Timberwolves,4800000
230,Hasheem Thabeet,Memphis Grizzlies,4793280
231,Ronnie Brewer,Chicago Bulls,4790000
232,Evan Turner,Philadelphia 76ers,4602720
233,Jarrett Jac,Toronto Raptors,4600000
234,Chris Andersen,Denver Nuggets,4533300
235,O.J. Mayo,Memphis Grizzlies,4456200
236,Jeff Green,Oklahoma City Thunder,4455988
237,Charlie Bell,Golden State Warriors,4447792
238,Brad Miller,Houston Rockets,4400000
239,Darko Milicic,Minnesota Timberwolves,4325000
240,James Harden,Oklahoma City Thunder,4304520
241,Matt Carroll,Charlotte Bobcats,4300000
242,Nikola Pekovic,Minnesota Timberwolves,4275000
243,Zaza Pachulia,Atlanta Hawks,4251250
244,Hakim Warrick,Phoenix Suns,4250000
245,Randy Foye,LA Clippers,4250000
246,Nate Robinson,Oklahoma City Thunder,4200000
247,DeShawn Stevenson,Dallas Mavericks,4151786
248,Derrick Favors,Utah Jazz,4133280
249,Bruce Bowen,San Antonio Spurs,4100000
250,Greg Buckner,Memphis Grizzlies,4080915
251,Yi Jianlian,Washington Wizards,4050499
252,Russell Westbrook,Oklahoma City Thunder,4017720
253,Daniel Gibson,Cleveland Cavaliers,4015334
254,Luke Ridnour,Minnesota Timberwolves,4000000
255,Anthony Morrow,New Jersey Nets,4000000
256,Ronny Turiaf,New York Knicks,4000000
257,Brandon Bass,Orlando Magic,4000000
258,Steve Blake,Los Angeles Lakers,4000000
259,Ryan Gomes,LA Clippers,4000000
260,Willie Green,New Orleans Hornets,3976000
261,Ramon Session,Cleveland Cavaliers,3964320
262,Tyreke Evan,Sacramento Kings,3880920
263,Corey Brewer,Minnesota Timberwolves,3875000
264,Jordan Farmar,New Jersey Nets,3750000
