,Player,Salary,Salary(*),Salary(%)
0,Kobe Bryant*,23500000,25255033,37.26314120352018
1,Joe Johnson,23180790,24911984,36.75698089272972
2,Carmelo Anthony,22458401,24135645,35.611513517799104
3,Amare Stoudemire,21896658,23531949,34.72077697613573
4,Dwight Howard,21436271,23037180,33.99075715531594
5,LeBron James,20644400,22186170,32.73511456433838
6,Chris Bosh,20644400,22186170,32.73511456433838
7,Chris Paul,20068563,21567329,31.822029651946405
8,Kevin Durant,19997513,21490972,31.709368112265125
9,Deron Williams,19754465,21229773,31.323975263616905
10,Rudy Gay,19317326,20759988,30.630818996273685
11,Derrick Rose,18862876,20271598,29.910213272020933
12,Blake Griffin,17632688,18949537,27.959546499643224
13,Carlos Boozer,16800000,18054661,26.63918179655911
14,Zach Randolph,16500000,17732257,26.16348212162055
15,Marc Gasol,15829688,17011885,25.100591453262506
16,Paul George,15800000,16979980,25.05351621343059
17,Kevin Love,15719063,16892998,24.925177198128914
18,Russell Westbrook,15719062,16892997,24.925175612463327
19,Brook Lopez,15719000,16892930,24.925077301197177
20,LaMarcus Aldridge,15200000,16335170,24.10211686355348
21,David Lee,15012000,16133130,23.804011733925318
22,Dwyane Wade,15000000,16120234,23.78498374692777
23,Josh Smith,14945778,16061961,23.699005787679376
24,Roy Hibbert,14898938,16011624,23.62473321176564
25,Jeremy Lin,14898938,16011624,23.62473321176564
26,Eric Gordon,14898938,16011624,23.62473321176564
27,Omer Ask,14898938,16011624,23.62473321176564
28,Gordon Hayward,14746000,15847264,23.382224688813128
29,Chandler Parsons,14700000,15797829,23.309284071989218
30,James Harden,14693906,15791280,23.299621025925628
31,Tyson Chandler,14596888,15687016,23.145782922381674
32,Brandon Roy,14399332,15474707,22.83252517244113
33,DeMarcus Cousins,13701250,14724490,21.72560057083961
34,John Wall,13701250,14724490,21.72560057083961
35,Al Jefferson,13500000,14508210,21.406485372235
36,Eric Bledsoe,13000000,13970869,20.613652580670735
37,Nene,13000000,13970869,20.613652580670735
38,Andrew Bogut,12972973,13941824,20.570796796955523
39,Derrick Favors,12950000,13917135,20.534369301514307
40,Rajon Rondo,12909090,13873170,20.469499722508523
41,Joakim Noah,12700000,13648465,20.137952905732178
42,Tony Parker,12500000,13433528,19.82081978910648
43,Andre Iguodala,12289544,13207355,19.487106953143577
44,Serge Ibaka,12250000,13164857,19.424403393324347
45,Nikola Pekovic,12100000,13003655,19.18655355585507
46,Al Horford,12000000,12896187,19.027986997542214
47,David West,12000000,12896187,19.027986997542214
48,Kevin Garnett*,12000000,12896187,19.027986997542214
