,Player,Salary,Salary(*),Salary(%)
0,Tracy McGrady*,23239562,27597794,40.27653726169845
1,Kobe Bryant*,23034375,27354127,39.92092720970537
2,Jermaine ONeal,23016000,27332306,39.88908145580589
3,Tim Duncan*,22183220,26343351,38.445788561525134
4,Shaquille ONeal*,20000000,23750701,34.66204506065858
5,Dirk Nowitzki,19795714,23508104,34.307996533795496
6,Paul Pierce,19795712,23508102,34.307993067590985
7,Rashard Lewis,18876000,22415911,32.71403812824957
8,Ray Allen*,18776860,22298179,32.54221837088388
9,Michael Redd,17040000,20235597,29.53206239168111
10,Pau Gasol,16452000,19537326,28.51299826689775
11,Andrei Kirilenko,16452000,19537326,28.51299826689775
12,Kevin Garnett*,16400000,19475575,28.422876949740033
13,Yao Ming,16378325,19449835,28.38531195840555
14,Amare Stoudemire,16378325,19449835,28.38531195840555
15,Vince Carter,16300000,19356821,28.249566724436747
16,Gilbert Arenas,16192080,19228662,28.06253032928943
17,Zach Randolph,16000000,19000560,27.729636048526864
18,LeBron James,15779912,18739198,27.34820103986135
19,Carmelo Anthony,15779912,18739198,27.34820103986135
20,Dwyane Wade,15779912,18739198,27.34820103986135
21,Chris Bosh,15779912,18739198,27.34820103986135
22,Kenyon Martin,15363636,18244856,26.626752166377816
23,Dwight Howard,15202590,18053608,26.347642980935877
24,Joe Johnson,14976754,17785420,25.95624610051993
25,Elton Brand,14858471,17644955,25.751249566724443
26,Richard Jefferson,14200000,16862997,24.610051993067593
27,Larry Hughes,13655268,16216109,23.665975736568452
28,Chris Paul,13520500,16056067,23.43240901213172
29,Carlos Boozer,13520500,16056067,23.43240901213172
30,Peja Stojakovic,13392000,15903469,23.209705372616984
31,Jason Richardson,13333333,15833800,23.108029462738298
32,Steve Nash*,13125000,15586397,22.746967071057192
33,Tony Parker,12600000,14962941,21.83708838821491
34,Andrew Bynum,12526998,14876249,21.710568457538997
35,Deron Williams,12323900,14635063,21.358578856152512
36,Brad Miller,12250000,14547304,21.23050259965338
37,Andre Iguodala,12200000,14487927,21.143847487001725
38,Baron Davis,12150000,14428550,21.057192374350084
39,Erick Dampier,12115500,14387581,20.99740034662045
40,Chauncey Billups,12100000,14369174,20.970537261698443
41,Samuel Dalembert,12025694,14280933,20.841757365684575
42,Al Jefferson,12000000,14250420,20.797227036395146
43,Tyson Chandler,11850000,14072290,20.537261698440204
44,Antawn Jamison,11641095,13824208,20.175207972270364
45,Richard Hamilton,11625000,13805095,20.1473136915078
46,Zydrunas Ilgauskas,11541074,13705430,20.001861351819763
47,Troy Murphy,11047619,13119434,19.146653379549395
48,Monta Ellis,11000000,13062885,19.064124783362214
49,Josh Howard,10890000,12932256,18.873483535528603
50,Josh Smith,10800000,12825378,18.717504332755638
51,Manu Ginobili,10728130,12740030,18.592946273830158
52,Bobby Simmons,10560000,12540370,18.30155979202773
53,Emeka Okafor,10538937,12515357,18.265055459272094
54,Nene,10520000,12492868,18.232235701906408
55,Eddy Curry,10500423,12469620,18.198306759098788
56,Chris Kaman,10400000,12350364,18.02426343154246
57,Luol Deng,10370425,12315243,17.973006932409014
58,Tayshaun Prince,10324380,12260563,17.893206239168112
59,Kevin Martin,10180170,12089308,17.643275563258236
60,Al Harrington,10026875,11907265,17.377599653379548
61,Ben Gordon,10000000,11875350,17.33102253032929
62,Andrew Bogut,10000000,11875350,17.33102253032929
63,Danny Granger,9930500,11792816,17.2105719237435
64,Jason Terry,9862500,11712064,17.09272097053726
65,Mike Dunleavy,9780992,11615270,16.951459272097054
66,Caron Butler,9780970,11615244,16.95142114384749
67,Mike Miller,9750000,11578466,16.897746967071058
68,Kirk Hinrich,9500000,11281583,16.464471403812823
69,Cuttino Mobley,9500000,11281583,16.464471403812823
70,Earl Watson,9400000,11162829,16.291161178509533
71,Jamal Crawford,9360000,11115328,16.221837088388213
72,Quentin Richardson,9352400,11106302,16.208665511265163
73,Gerald Wallace,9075000,10776880,15.727902946273833
74,David West,9075000,10776880,15.727902946273833
75,Boris Diaw,9000000,10687815,15.59792027729636
76,Andris Biedrins,9000000,10687815,15.59792027729636
77,Darius Miles,9000000,10687815,15.59792027729636
78,Hedo Turkoglu,9000000,10687815,15.59792027729636
79,Mehmet Okur,9000000,10687815,15.59792027729636
80,Corey Maggette,8937931,10614106,15.490348353552859
81,Maurice Williams,8860000,10521560,15.35528596187175
82,Kenny Thomas,8775000,10420620,15.207972270363953
83,TJ Ford,8500000,10094048,14.731369150779894
84,Devin Harris,8400000,9975294,14.558058925476606
85,Jose Calderon,8219009,9760361,14.24438301559792
86,Jason Kidd*,8000000,9500280,13.864818024263432
87,Mark Blount,7962500,9455747,13.799826689774694
88,Tim Thomas,7773055,9230775,13.471499133448875
89,Paul Millsap,7692932,9135626,13.332637781629114
90,Stephen Jackson,7650000,9084643,13.258232235701904
91,Marcus Camby,7650000,9084643,13.258232235701904
92,Marvin Williams,7500000,8906512,12.998266897746971
93,Antonio McDyess,7500000,8906512,12.998266897746971
94,Lamar Odom,7500000,8906512,12.998266897746971
95,Darko Milicic,7500000,8906512,12.998266897746971
96,Andres Nocioni,7500000,8906512,12.998266897746971
97,Etan Thomas,7350000,8728382,12.738301559792028
98,Marko Jaric,7100000,8431498,12.305025996533795
99,Udonis Haslem,7100000,8431498,12.305025996533795
100,David Lee,7000000,8312745,12.131715771230507
101,Shane Battier,6864200,8151478,11.89636048526863
102,Joel Przybilla,6857725,8143788,11.88513864818024
103,Brian Cardinal,6750000,8015861,11.698440207972268
