,Player,Salary,Salary(*),Salary(%)
0,Kobe Bryant,27849000,31085012,47.97911928881538
1,Brandon Roy,21459805,23953401,36.971616360002756
2,Dirk Nowitzki,20907128,23336504,36.019447315829375
3,Gilbert Arenas,20807922,23225771,35.84853214802563
4,Amare Stoudemire,19948799,22266819,34.368408448763006
5,Joe Johnson,19752645,22047872,34.03046826545379
6,Carmelo Anthony,19450000,21710060,33.50906209082765
7,Dwight Howard,19261200,21499322,33.183791606367585
8,Pau Gasol,19000000,21207771,32.73378816070567
9,Elton Brand,18160354,20270559,31.287220039969675
10,Chris Paul,17779457,19845403,30.63099889738819
11,Kevin Durant,17548838,19587986,30.233681345186408
12,LeBron James,17545000,19583702,30.227069119977944
13,Chris Bosh,17545000,19583702,30.227069119977944
14,Deron Williams,17177795,19173829,29.594436978843635
15,Dwyane Wade,17024000,19002163,29.329474191992283
16,Paul Pierce,16790345,18741357,28.926926125008613
17,Zach Randolph,16500000,18417275,28.426710771139135
18,Andrew Bynum,16473002,18387140,28.380197780993726
19,Rudy Gay,16460532,18373221,28.35871407897457
20,Derrick Rose,16402500,18308445,28.25873475294604
21,Rashard Lewis,15052181,16801221,25.9323633795052
22,Carlos Boozer,15000000,16742977,25.842464337399214
23,Al Jefferson,15000000,16742977,25.842464337399214
24,Baron Davis,14850000,16575547,25.584039694025222
25,Andre Iguodala,14718250,16428488,25.357056715595068
26,Manu Ginobili,14107492,15746761,24.304823926676313
27,Marc Gasol,13891359,15505514,23.93246330370064
28,Roy Hibbert,13668750,15257038,23.548945627455034
29,Kevin Love,13668750,15257038,23.548945627455034
30,Eric Gordon,13668750,15257038,23.548945627455034
31,Russell Westbrook,13668750,15257038,23.548945627455034
32,Brook Lopez,13668000,15256201,23.547653504238163
33,Tyson Chandler,13604188,15184974,23.437716215284958
34,Emeka Okafor,13543250,15116955,23.332730342498795
35,Luol Deng,13326700,14875242,22.959651299014542
36,Josh Smith,13200000,14733820,22.74136861691131
37,Andrew Bogut,13150000,14678010,22.65522706911998
38,Danny Granger,13058606,14575996,22.49777065674316
39,LaMarcus Aldridge,13000000,14510580,22.396802425745985
40,Nenê,13000000,14510580,22.396802425745985
41,Kevin Martin,12939675,14443245,22.292872648335745
42,David Lee,12744000,14224833,21.955757701054374
43,Tony Parker,12500000,13952481,21.53538694783268
44,Kevin Garnett,12467532,13916240,21.4794500723589
45,Ben Gordon,12400000,13840861,21.363103852250017
46,Al Horford,12000000,13394382,20.673971469919373
47,Kris Humphries,12000000,13394382,20.673971469919373
48,Nicolas Batum,11950000,13338572,20.58782992212804
49,Hidayet Turkoglu,11815850,13188834,20.3567121494039
50,Joakim Noah,11050000,12333993,19.037282061884085
51,Jose Calderon,11046591,12330188,19.031408931155674
52,Rajon Rondo,11000000,12278183,18.951140514092756
53,Monta Ellis,11000000,12278183,18.951140514092756
54,Corey Maggette,10924138,12193506,18.820443112121836
55,DeAndre Jordan,10532977,11756893,18.146538832609743
56,Richard Hamilton,10500000,11720083,18.08972503617945
57,Richard Jefferson,10164000,11345041,17.51085383502171
58,Stephen Jackson,10060000,11228956,17.33167941561574
59,JaVale McGee,10000000,11161985,17.22830955826614
60,David West,10000000,11161985,17.22830955826614
61,Andrea Bargnani,10000000,11161985,17.22830955826614
62,Andrei Kirilenko,9779349,10915694,16.848165185032045
63,Gerald Wallace,9682435,10807519,16.681198745779064
64,Tim Duncan,9638554,10758539,16.605599200606434
65,Danilo Gallinari,9439000,10535797,16.261801392047413
66,Andris Biedrins,9000000,10045786,15.50547860243953
67,Steve Nash,8900000,9934166,15.333195506856867
68,Ryan Anderson,8700000,9710926,14.988629315691545
69,Shawn Marion,8646364,9651058,14.896223554544827
70,Jameer Nelson,8600000,9599307,14.816346220108883
71,Devin Harris,8500000,9487687,14.644063124526221
72,Rodney Stuckey,8500000,9487687,14.644063124526221
73,Maurice Williams,8500000,9487687,14.644063124526221
74,Anderson Varejao,8400000,9376067,14.47178002894356
75,Brendan Haywood,8349000,9319141,14.383915650196402
76,Marvin Williams,8287500,9250495,14.277961546413065
77,Lamar Odom,8200000,9152827,14.127213837778237
78,Jeff Green,8100000,9041207,13.954930742195575
79,John Salmons,8080000,9018883,13.920474123079044
80,Charlie Villanueva,8060000,8996559,13.886017503962512
81,Thaddeus Young,8039130,8973264,13.850062021914411
82,Tyrus Thomas,8000000,8929588,13.782647646612913
83,Chris Kaman,8000000,8929588,13.782647646612913
84,George Hill,8000000,8929588,13.782647646612913
85,Caron Butler,8000000,8929588,13.782647646612913
86,Andray Blatche,7972891,8899328,13.735943422231411
87,Ersan Ilyasova,7900000,8817968,13.610364551030251
88,Beno Udrih,7810000,8717510,13.455309765005858
89,Kendrick Perkins,7800531,8706941,13.438996278685137
90,Marcus Thornton,7632500,8519385,13.149507270346634
91,Arron Afflalo,7562500,8441251,13.028909103438771
92,Goran Dragic,7500000,8371488,12.921232168699607
93,DeSagana Diop,7372200,8228838,12.701054372544965
94,Metta World Peace,7258960,8102440,12.50596099510716
95,Marcin Gortat,7258960,8102440,12.50596099510716
96,Trevor Ariza,7258960,8102440,12.50596099510716
97,Blake Griffin,7226891,8066644,12.450711529184757
98,Paul Millsap,7200000,8036629,12.404382881951623
99,Mike Conley,7180000,8014305,12.36992626283509
100,Travis Outlaw,7000000,7813389,12.0598166907863
101,Josh Childress,6890056,7690669,11.870401764178899
102,Tayshaun Prince,6764045,7550016,11.65330611260423
103,Samuel Dalembert,6700000,7478529,11.542967404038315
104,Al Harrington,6687400,7464465,11.5212597339949
105,Drew Gooden,6680000,7456205,11.508510784921784
106,Wesley Matthews,6505320,7261228,11.207566673557992
107,Brandon Bass,6500000,7255290,11.198401212872993
108,Spencer Hawes,6500000,7255290,11.198401212872993
109,Darko Milicic,6457255,7207577,11.124758803666184
110,Glen Davis,6400000,7143670,11.026118117290332
111,Francisco Garcia,6100000,6808810,10.509268830542347
112,Luke Walton,6091363,6799170,10.494388739576872
113,JJ Redick,6000000,6697191,10.336985734959686
114,Nick Young,6000000,6697191,10.336985734959686
115,Channing Frye,6000000,6697191,10.336985734959686
116,Amir Johnson,6000000,6697191,10.336985734959686
117,Wilson Chandler,5930415,6619520,10.21710254289849
118,John Wall,5915880,6603296,10.192061194955551
119,James Harden,5820416,6496739,10.02759286058852
120,Mike Miller,5800000,6473951,9.992419543794364
121,Jason Richardson,5799625,6473532,9.991773482185929
122,Aaron Brooks,5750000,6418141,9.906277996003032
123,Michael Beasley,5750000,6418141,9.906277996003032
124,Kyle Lowry,5750000,6418141,9.906277996003032
125,Jarrett Jack,5580000,6228387,9.613396733512507
126,Kyrie Irving,5530080,6172667,9.527393012197644
127,Chuck Hayes,5486250,6123744,9.451881331403762
128,Evan Turner,5293080,5908127,9.119082075666736
129,Tyreke Evans,5251824,5862078,9.048004961753154
130,Jason Thompson,5250000,5860042,9.044862518089724
131,Zaza Pachulia,5248750,5858646,9.042708979394941
132,Chris Andersen,5225952,5833199,9.003431879264006
133,Anthony Davis,5144280,5742037,8.862724829439736
134,Louis Williams,5000000,5580992,8.61415477913307
135,Kyle Korver,5000000,5580992,8.61415477913307
136,Jason Terry,5000000,5580992,8.61415477913307
137,Courtney Lee,5000000,5580992,8.61415477913307
138,Ramon Sessions,5000000,5580992,8.61415477913307
139,Andre Miller,5000000,5580992,8.61415477913307
140,Jason Maxiell,5000000,5580992,8.61415477913307
141,Omer Asik,5000000,5580992,8.61415477913307
142,Jeremy Lin,5000000,5580992,8.61415477913307
143,Jamal Crawford,5000000,5580992,8.61415477913307
144,Landry Fields,5000000,5580992,8.61415477913307
145,Derrick Williams,4947840,5522771,8.524291916477155
146,Robin Lopez,4899293,5468583,8.44065364206464
147,Luc Mbah a Moute,4794192,5351269,8.259582385776309
148,Daniel Gibson,4792332,5349193,8.256377920198469
149,Derrick Favors,4753320,5305648,8.189166838949763
150,Nikola Pekovic,4640000,5179161,7.99393563503549
151,Michael Kidd-Gilchrist,4602720,5137549,7.929708497002275
152,Linas Kleiza,4600000,5134513,7.925022396802425
153,Marcus Camby,4590338,5123728,7.908376404107228
154,Jonas Jerebko,4500000,5022893,7.752739301219765
155,Luis Scola,4500000,5022893,7.752739301219765
156,Boris Diaw,4500000,5022893,7.752739301219765
157,Jose Juan Barea,4493000,5015079,7.740679484528979
158,Enes Kanter,4443360,4959671,7.655158155881744
159,Wesley Johnson,4285560,4783535,7.383295431052305
160,Jared Dudley,4250000,4743843,7.322031562263111
161,Marreese Speights,4200000,4688033,7.23589001447178
162,Bradley Beal,4133280,4613560,7.120942733099028
163,Dorell Wright,4106000,4583111,7.073943904624078
164,Udonis Haslem,4060000,4531765,6.994693680656054
165,Steve Novak,4054055,4525130,6.984451450623665
166,OJ Mayo,4020000,4487117,6.925780442422989
167,Tristan Thompson,4006080,4471580,6.901798635517883
168,Anthony Morrow,4000000,4464794,6.891323823306457
169,Carl Landry,4000000,4464794,6.891323823306457
170,Brandon Rush,4000000,4464794,6.891323823306457
171,Ian Mahinmi,4000000,4464794,6.891323823306457
172,Ryan Gomes,4000000,4464794,6.891323823306457
173,Steve Blake,4000000,4464794,6.891323823306457
174,Mario Chalmers,4000000,4464794,6.891323823306457
175,Luke Ridnour,4000000,4464794,6.891323823306457
176,Raymond Felton,4000000,4464794,6.891323823306457
177,Hakim Warrick,4000000,4464794,6.891323823306457
178,JJ Hickson,4000000,4464794,6.891323823306457
179,Stephen Curry,3958742,4418741,6.820243263730963
180,Tiago Splitter,3944000,4402286,6.794845289780167
181,Kirk Hinrich,3941000,4398938,6.789676796912687
182,DeMarcus Cousins,3880800,4331743,6.6859623733719244
183,Joel Anthony,3750000,4185744,6.4606160843498035
184,Mike Dunleavy,3750000,4185744,6.4606160843498035
185,Ricky Rubio,3741120,4175832,6.445317345462064
186,Dion Waiters,3726600,4159625,6.420301839983461
187,Chris Duhon,3680000,4107610,6.340017917441941
188,Matt Bonner,3630000,4051800,6.25387636965061
189,Daequan Cook,3602675,4021300,6.206800013782647
190,Thabo Sefolosha,3600000,4018314,6.202191440975811
191,Ekpe Udoh,3524880,3934465,6.072772379574117
192,Johan Petro,3500000,3906694,6.02990834539315
193,Alonzo Gee,3500000,3906694,6.02990834539315
194,Will Bynum,3500000,3906694,6.02990834539315
195,DJ Augustin,3500000,3906694,6.02990834539315
196,Gerald Green,3500000,3906694,6.02990834539315
197,Jordan Hill,3500000,3906694,6.02990834539315
198,Matt Carroll,3500000,3906694,6.02990834539315
199,Shannon Brown,3500000,3906694,6.02990834539315
200,Danny Green,3500000,3906694,6.02990834539315
201,Raja Bell,3480000,3884370,5.995451726276618
202,Thomas Robinson,3374640,3766768,5.813934256770726
203,Jonas Valanciunas,3374640,3766768,5.813934256770726
204,DeMar DeRozan,3344250,3732846,5.761577424023155
205,Tony Allen,3300000,3683455,5.685342154227827
