,Player,Salary,Salary(*),Salary(%)
0,Kobe Bryant,25000000,26833844,35.714285714285715
1,LeBron James,22970500,24655473,32.815
2,Carmelo Anthony,22875000,24552967,32.67857142857143
3,Dwight Howard,22359364,23999507,31.94194857142857
4,Joe Johnson,22309344,23945818,31.87049142857143
5,Chris Bosh,22192730,23820650,31.7039
6,Kevin Durant,21971850,23583568,31.388357142857142
7,Chris Paul,21468695,23043504,30.669564285714284
8,Derrick Rose,20093064,21566966,28.70437714285714
9,Dwyane Wade,20000000,21467075,28.57142857142857
10,Brook Lopez,19689000,21133262,28.127142857142857
11,Kevin Love,19689000,21133262,28.127142857142857
12,DeAndre Jordan,19689000,21133262,28.127142857142857
13,Marc Gasol,19689000,21133262,28.127142857142857
14,LaMarcus Aldridge,19689000,21133262,28.127142857142857
15,Blake Griffin,18862876,20246539,26.946965714285714
16,Paul Millsap,18671659,20041295,26.67379857142857
17,David Lee,17120776,18376648,24.45825142857143
18,Paul George,16900000,18139678,24.142857142857142
19,Russell Westbrook,16744218,17972469,23.920311428571427
20,Jimmy Butler,16407500,17611052,23.439285714285717
21,Kyrie Irving,16407500,17611052,23.439285714285717
22,Wesley Matthews,16407500,17611052,23.439285714285717
23,Greg Monroe,16407500,17611052,23.439285714285717
24,Enes Kanter,16407500,17611052,23.439285714285717
25,Kawhi Leonard,16407500,17611052,23.439285714285717
26,Tobias Harris,16000000,17173660,22.857142857142858
27,James Harden,15719062,16872114,22.455802857142857
28,Roy Hibbert,15514031,16652043,22.16290142857143
29,Eric Gordon,15514031,16652043,22.16290142857143
30,Klay Thompson,15501000,16638056,22.144285714285715
31,Gordon Hayward,15409570,16539920,22.01367142857143
32,Chandler Parsons,15361500,16488324,21.945
33,Goran Dragic,14783000,15867388,21.11857142857143
34,DeMarcus Cousins,14728844,15809260,21.041205714285717
35,John Wall,14728844,15809260,21.041205714285717
36,Khris Middleton,14700000,15778300,21.0
37,Draymond Green,14260870,15306958,20.37267142857143
38,Tristan Thompson,14260000,15306024,20.37142857142857
39,Danilo Gallinari,14000000,15026952,20.0
40,Reggie Jackson,13913044,14933618,19.875777142857142
41,DeMarre Carroll,13600000,14597611,19.428571428571427
42,Al Jefferson,13500000,14490276,19.28571428571429
43,Eric Bledsoe,13500000,14490276,19.28571428571429
44,Brandon Knight,13500000,14490276,19.28571428571429
45,Tony Parker,13437500,14423191,19.196428571428573
46,Joakim Noah,13400000,14382940,19.142857142857142
47,JaVale McGee,13270964,14244439,18.95852
48,Tyson Chandler,13000000,13953599,18.571428571428573
49,Nenê,13000000,13953599,18.571428571428573
50,Ricky Rubio,12700000,13631593,18.142857142857142
51,Robin Lopez,12650000,13577925,18.071428571428573
52,Ty Lawson,12444552,13357406,17.777931428571428
53,Rudy Gay,12403101,13312915,17.718715714285715
54,Serge Ibaka,12250000,13148583,17.5
55,Nikola Pekovic,12100000,12987580,17.285714285714285
56,Al Horford,12000000,12880245,17.142857142857142
57,Amir Johnson,12000000,12880245,17.142857142857142
58,Kemba Walker,12000000,12880245,17.142857142857142
59,Andrew Bogut,12000000,12880245,17.142857142857142
60,Kyle Lowry,12000000,12880245,17.142857142857142
61,Derrick Favors,12000000,12880245,17.142857142857142
62,Nicolas Batum,11860750,12730780,16.94392857142857
63,Andre Iguodala,11710456,12569462,16.729222857142855
64,Stephen Curry,11370786,12204876,16.24398
65,Nikola Vucevic,11250000,12075230,16.071428571428573
66,Thaddeus Young,11235955,12060154,16.051364285714286
67,Kenneth Faried,11235955,12060154,16.051364285714286
68,Marcin Gortat,11217391,12040229,16.024844285714284
69,Jrue Holiday,11000000,11806891,15.714285714285714
70,Deron Williams,10853761,11649925,15.505372857142858
71,Tyreke Evans,10734586,11522008,15.335122857142858
72,Wilson Chandler,10449438,11215943,14.92776857142857
73,Monta Ellis,10300000,11055543,14.714285714285714
74,Anderson Varejao,10158574,10903743,14.512248571428572
75,Luol Deng,10151612,10896271,14.502302857142856
76,Gerald Wallace,10105855,10847157,14.436935714285715
77,Zach Randolph,10000000,10733537,14.285714285714285
78,Danny Green,10000000,10733537,14.285714285714285
79,Mike Conley,9680000,10390064,13.82857142857143
80,Rajon Rondo,9500000,10196860,13.571428571428571
81,DeMar DeRozan,9500000,10196860,13.571428571428571
82,Alec Burks,9213484,9889327,13.16212
83,Omer Asik,9213483,9889326,13.162118571428572
84,Jeff Green,9200000,9874854,13.142857142857142
85,Lance Stephenson,9000000,9660184,12.857142857142856
86,Iman Shumpert,8988765,9648124,12.841092857142858
87,Tiago Splitter,8500000,9123507,12.142857142857142
88,Taj Gibson,8500000,9123507,12.142857142857142
89,Kevin Garnett,8500000,9123507,12.142857142857142
90,Ryan Anderson,8500000,9123507,12.142857142857142
91,Brandon Jennings,8344497,8956597,11.92071
92,Dirk Nowitzki,8333333,8944614,11.904761428571428
93,Corey Brewer,8229375,8833030,11.75625
94,Trevor Ariza,8200000,8801501,11.714285714285715
95,Channing Frye,8193029,8794018,11.704327142857144
96,Al-Farouq Aminu,8042895,8632871,11.48985
97,Jeff Teague,8000000,8586830,11.428571428571429
98,George Hill,8000000,8586830,11.428571428571429
99,OJ Mayo,8000000,8586830,11.428571428571429
100,Arron Afflalo,8000000,8586830,11.428571428571429
101,Markieff Morris,8000000,8586830,11.428571428571429
102,Ersan Ilyasova,7900000,8479494,11.285714285714285
103,Avery Bradley,7730337,8297386,11.04333857142857
104,Kosta Koufos,7700000,8264824,11.0
105,Boris Diaw,7500000,8050153,10.714285714285714
106,Pau Gasol,7448760,7995154,10.641085714285714
107,Jose Calderon,7402812,7945836,10.575445714285713
108,Kevin Martin,7402474,7945472,10.574962857142857
109,JJ Redick,7085000,7604711,10.121428571428572
110,Anthony Davis,7070730,7589394,10.101042857142858
111,Marvin Williams,7000000,7513476,10.0
112,Rodney Stuckey,7000000,7513476,10.0
113,Louis Williams,7000000,7513476,10.0
114,Cory Joseph,7000000,7513476,10.0
115,Ed Davis,6980802,7492870,9.972574285714286
116,Isaiah Thomas,6912869,7419954,9.875527142857143
117,Josh Smith,6830916,7331989,9.758451428571428
118,Jae Crowder,6796117,7294637,9.70873857142857
119,Jason Thompson,6752729,7248066,9.646755714285714
120,Carl Landry,6750000,7245138,9.642857142857144
121,Greivis Vasquez,6600000,7084134,9.428571428571429
122,Aron Baynes,6500000,6976799,9.285714285714286
123,Patrick Beverley,6486486,6962294,9.266408571428572
124,Michael Kidd-Gilchrist,6331403,6795835,9.044861428571428
125,Jarrett Jack,6300000,6762128,9.0
126,Jodie Meeks,6270000,6729928,8.957142857142857
127,Patrick Patterson,6268675,6728506,8.95525
128,Marco Belinelli,6060606,6505174,8.65800857142857
129,Gerald Henderson,6000000,6440122,8.571428571428571
130,Andrew Wiggins,5758680,6181100,8.226685714285715
131,Kyle Korver,5746479,6168004,8.209255714285714
132,Martell Webster,5713500,6132606,8.162142857142857
133,Karl-Anthony Towns,5703600,6121980,8.148
134,Bradley Beal,5694673,6112398,8.135247142857143
135,Courtney Lee,5675000,6091282,8.107142857142858
136,Jamal Crawford,5675000,6091282,8.107142857142858
137,JJ Hickson,5583413,5992977,7.976304285714287
138,Spencer Hawes,5543725,5950378,7.919607142857144
139,Nikola Mirotic,5543725,5950378,7.919607142857144
140,Shaun Livingston,5543725,5950378,7.919607142857144
141,Josh McRoberts,5543725,5950378,7.919607142857144
142,Mirza Teletovic,5500000,5903445,7.857142857142857
143,PJ Tucker,5500000,5903445,7.857142857142857
144,Brandan Wright,5464000,5864805,7.805714285714285
145,Chase Budinger,5258082,5643781,7.511545714285714
146,Tim Duncan,5250000,5635107,7.5
147,Nick Young,5219169,5602014,7.4559557142857145
148,Zaza Pachulia,5200000,5581439,7.428571428571429
149,Victor Oladipo,5192520,5573410,7.417885714285714
150,Jabari Parker,5152440,5530390,7.36062857142857
151,Dion Waiters,5138430,5515353,7.340614285714285
152,D'Angelo Russell,5103120,5477453,7.290171428571429
153,Darren Collison,5013559,5381322,7.162227142857143
154,Jonas Jerebko,5000000,5366768,7.142857142857142
155,JR Smith,5000000,5366768,7.142857142857142
156,Marcus Morris,5000000,5366768,7.142857142857142
157,Chris Andersen,5000000,5366768,7.142857142857142
158,Tony Allen,5000000,5366768,7.142857142857142
159,Larry Sanders,5000000,5366768,7.142857142857142
160,CJ Watson,5000000,5366768,7.142857142857142
161,Chris Kaman,5000000,5366768,7.142857142857142
162,Timofey Mozgov,4950000,5313101,7.071428571428571
163,Mike Dunleavy,4837500,5192348,6.910714285714286
164,Trevor Booker,4775000,5125264,6.821428571428571
165,Otto Porter,4662960,5005005,6.661371428571429
166,Jonas Valanciunas,4660482,5002345,6.657831428571429
167,Joel Embiid,4626960,4966365,6.609942857142857
168,Anthony Bennett,4597276,4934503,6.567537142857143
169,Jahlil Okafor,4582680,4918836,6.546685714285714
170,Raymond Felton,4540000,4873026,6.485714285714287
171,Alexis Ajinca,4539607,4872604,6.485152857142857
172,Kyle Singler,4500000,4830092,6.428571428571428
173,Kris Humphries,4440000,4765690,6.342857142857143
174,Derrick Williams,4400000,4722756,6.2857142857142865
175,CJ Miles,4394225,4716558,6.277464285714286
176,Mike Miller,4354127,4673518,6.220181428571428
177,Jameer Nelson,4345000,4663722,6.207142857142857
178,Mario Chalmers,4300000,4615421,6.142857142857143
179,Jason Smith,4300000,4615421,6.142857142857143
180,Jose Juan Barea,4290000,4604687,6.128571428571428
181,Jared Dudley,4250000,4561753,6.071428571428571
182,Damian Lillard,4236286,4547033,6.051837142857143
183,Cody Zeller,4204200,4512593,6.006
184,Aaron Gordon,4171680,4477688,5.959542857142857
185,Kristaps Porzingis,4131720,4434797,5.902457142857143
186,Vince Carter,4088019,4387890,5.840027142857143
187,Devin Harris,4053446,4350781,5.790637142857142
188,Thabo Sefolosha,4000000,4293415,5.714285714285714
189,Ian Mahinmi,4000000,4293415,5.714285714285714
190,Jordan Hill,4000000,4293415,5.714285714285714
191,Alan Anderson,4000000,4293415,5.714285714285714
192,Nemanja Bjelica,3950000,4239747,5.642857142857142
193,Harrison Barnes,3873398,4157526,5.533425714285714
194,Marreese Speights,3815500,4095381,5.450714285714286
195,Alex Len,3807120,4086386,5.4387428571428575
196,Dante Exum,3777720,4054830,5.396742857142857
197,Steve Novak,3758017,4033681,5.368595714285714
198,Kyle O'Quinn,3750000,4025076,5.357142857142857
199,Nick Collison,3750000,4025076,5.357142857142857
200,Mario Hezonja,3741480,4015931,5.344971428571429
201,Terrence Ross,3553917,3814610,5.077024285714286
202,Lavoy Allen,3550000,3810405,5.071428571428571
203,Matt Barnes,3542500,3802355,5.060714285714286
204,Will Barton,3533333,3792516,5.047618571428571
205,Nerlens Noel,3457800,3711442,4.9397142857142855
206,Marcus Smart,3431040,3682719,4.901485714285714
207,Evan Turner,3425510,3676784,4.893585714285714
208,Bojan Bogdanovic,3425510,3676784,4.893585714285714
209,Willie Cauley-Stein,3398280,3647556,4.854685714285714
210,Quincy Pondexter,3382023,3630107,4.831461428571428
211,Paul Pierce,3376000,3623642,4.822857142857143
212,Anthony Morrow,3344000,3589295,4.777142857142857
213,Mike Scott,3333333,3577845,4.7619042857142855
214,Drew Gooden,3300000,3542067,4.714285714285714
215,Andre Drummond,3272090,3512110,4.674414285714286
216,Norris Cole,3203780,3438789,4.576828571428571
217,Patrick Mills,3200000,3434732,4.571428571428571
218,KJ McDaniels,3189794,3423777,4.556848571428572
219,Ben McLemore,3156600,3388148,4.509428571428571
220,Randy Foye,3135000,3364964,4.478571428571429
221,Julius Randle,3132240,3362001,4.474628571428572
222,Austin Rivers,3110796,3338984,4.443994285714286
223,Emmanuel Mudiay,3102240,3329801,4.4317714285714285
224,Meyers Leonard,3075879,3301506,4.394112857142858
225,Jeremy Lamb,3034356,3256937,4.334794285714286
226,DJ Augustin,3000000,3220061,4.285714285714286
227,Anthony Tolliver,3000000,3220061,4.285714285714286
228,Brandon Bass,3000000,3220061,4.285714285714286
229,Jerryd Bayless,3000000,3220061,4.285714285714286
230,Toney Douglas,2971568,3189542,4.2450971428571425
231,John Henson,2943220,3159116,4.2046
232,Luis Scola,2900000,3112725,4.142857142857142
233,Moe Harkless,2894058,3106348,4.134368571428571
234,Kentavious Caldwell-Pope,2891760,3103881,4.131085714285714
235,Kirk Hinrich,2870000,3080525,4.1000000000000005
236,Nik Stauskas,2869440,3079924,4.0992
237,Udonis Haslem,2854940,3064360,4.078485714285715
238,Brian Roberts,2854940,3064360,4.078485714285715
239,Dante Cunningham,2850000,3059058,4.071428571428572
240,Stanley Johnson,2841960,3050428,4.0599428571428575
241,Omri Casspi,2836186,3044230,4.0516942857142855
242,Darrell Arthur,2814000,3020417,4.02
243,Kevin Seraphin,2814000,3020417,4.02
244,Sonny Weems,2814000,3020417,4.02
245,Manu Ginobili,2814000,3020417,4.02
246,Bismack Biyombo,2814000,3020417,4.02
247,Tibor Pleiss,2700000,2898055,3.8571428571428568
248,Furkan Aldemir,2683841,2880710,3.8340585714285718
249,Trey Burke,2658240,2853231,3.797485714285714
250,Noah Vonleh,2637720,2831206,3.7681714285714283
251,Tyler Zeller,2616975,2808940,3.7385357142857143
252,Frank Kaminsky,2612520,2804158,3.7321714285714283
253,CJ McCollum,2525160,2710390,3.6073714285714287
254,Elfrid Payton,2505720,2689524,3.5796
255,Joel Anthony,2500000,2683384,3.571428571428571
256,Leandro Barbosa,2500000,2683384,3.571428571428571
257,James Johnson,2500000,2683384,3.571428571428571
258,Terrence Jones,2489529,2672145,3.5564699999999996
259,Justise Winslow,2481720,2663763,3.545314285714286
260,Shelvin Mack,2433333,2611827,3.47619
261,Michael Carter-Williams,2399040,2575018,3.4271999999999996
262,Andrew Nicholson,2380593,2555218,3.4008471428571427
263,Doug McDermott,2380440,2555054,3.4006285714285713
264,Tony Wroten,2346760,2518902,3.352514285714286
265,Jordan Farmar,2291455,2459540,3.2735071428571425
266,Evan Fournier,2288204,2456052,3.2688628571428566
267,Steven Adams,2279040,2446216,3.2557714285714288
268,Myles Turner,2277960,2445056,3.254228571428571
269,Jared Sullinger,2269260,2435718,3.2418000000000005
270,Aaron Brooks,2250000,2415046,3.214285714285714
271,Trey Lyles,2239800,2404097,3.1997142857142857
272,Ramon Sessions,2170465,2329676,3.1006642857142857
273,Kelly Olynyk,2165160,2323982,3.093085714285714
274,Zach LaVine,2148360,2305950,3.069085714285714
275,Kendall Marshall,2144772,2302099,3.06396
276,Jeremy Lin,2139000,2295903,3.0557142857142856
277,Gary Neal,2139000,2295903,3.0557142857142856
278,Miles Plumlee,2109293,2264017,3.0132757142857143
279,Maurice Williams,2100000,2254042,3.0
280,Danny Granger,2100000,2254042,3.0
281,Steve Blake,2100000,2254042,3.0
282,Joe Ingles,2100000,2254042,3.0
283,Beno Udrih,2080465,2233074,2.972092857142857
284,Shabazz Muhammad,2056920,2207802,2.938457142857143
285,Devin Booker,2055840,2206643,2.936914285714286
286,TJ Warren,2041080,2190800,2.9158285714285714
287,Perry Jones,2038206,2187716,2.9117228571428573
288,Cameron Payne,2021520,2169806,2.8878857142857144
