,Player,Salary,Salary(*),Salary(%)
0,Kobe Bryant,25244493,28646743,43.491994004548275
1,Vince Carter,21300000,24170642,36.69629935910688
2,Kevin Garnett,21247044,24110550,36.60506512301013
3,Tim Duncan,21164619,24017016,36.463060781476116
4,Rashard Lewis,21136631,23985256,36.414842188684446
5,Gilbert Arenas,19269307,21866269,33.19775859692647
6,Dirk Nowitzki,19092873,21666057,32.89379264006615
7,Pau Gasol,18714150,21236292,32.24131693198263
8,Carmelo Anthony,18518574,21014358,31.904372544965888
9,Amare Stoudemire,18217705,20672941,31.38602611811729
10,Dwight Howard,18091770,20530033,31.169061401695263
11,Joe Johnson,18038573,20469667,31.077411963338157
12,Richard Hamilton,17500000,19858508,30.14954172696575
13,Elton Brand,17059727,19358900,29.3910257735511
14,Deron Williams,16359805,18564648,28.18517848528702
15,Chris Paul,16359805,18564648,28.18517848528702
16,Brandon Roy,16032144,18192827,27.620673971469916
17,LeBron James,16022500,18181883,27.60405898973193
18,Chris Bosh,16022500,18181883,27.60405898973193
19,Dwyane Wade,15691000,17805707,27.032940527875404
20,Kevin Durant,15506632,17596491,26.71530563021156
21,Paul Pierce,15333334,17399837,26.416742471228723
22,Baron Davis,15252181,17307747,26.276929570670525
23,Zach Randolph,15200000,17248534,26.187030528564538
24,Antawn Jamison,15076715,17108633,25.97463131417545
25,Rudy Gay,15032144,17058055,25.897843015643307
26,Andrew Bynum,14900000,16908102,25.670181241816554
27,Chauncey Billups,14200000,16113761,24.464199572737925
28,Chris Kaman,14030000,15920850,24.171318310247397
29,Al Jefferson,14000000,15886807,24.1196333815726
30,Andre Iguodala,13531750,15355450,23.312917786506787
31,Carlos Boozer,13500000,15319421,23.258217903659293
32,Tyson Chandler,13107837,14874406,22.582587347529458
33,Nenê,13000000,14752035,22.396802425745985
34,Manu Ginobili,12981038,14730518,22.3641341051616
35,Marc Gasol,12922194,14663743,22.262755840396938
36,Emeka Okafor,12541812,14232096,21.6074219557577
37,Tony Parker,12500000,14184649,21.53538694783268
38,Josh Smith,12400000,14071172,21.363103852250017
39,LaMarcus Aldridge,12372000,14039398,21.314864585486873
40,Luol Deng,12325000,13986064,21.23389153056302
41,Danny Granger,12015904,13635311,20.70137137344084
42,Al Horford,12000000,13617263,20.673971469919373
43,Joakim Noah,12000000,13617263,20.673971469919373
44,Andrew Bogut,12000000,13617263,20.673971469919373
45,Steve Nash,11689062,13264419,20.138277858176558
46,David Lee,11610000,13174702,20.00206739714699
47,Ben Gordon,11600000,13163354,19.98483908758873
48,Kevin Martin,11519840,13072391,19.846736958169664
49,Marcus Camby,11227250,12740368,19.342653848804357
50,Jason Terry,11158000,12661785,19.22334780511336
51,Hidayet Turkoglu,11015850,12500477,18.97844738474261
52,Monta Ellis,11000000,12482491,18.951140514092756
53,Mehmet Okur,10890000,12357666,18.76162910895183
54,Corey Maggette,10262069,11645108,17.679810144028668
55,Jason Kidd,10121000,11485027,17.436772103921165
56,DeAndre Jordan,10079404,11437825,17.3651092274826
57,Rajon Rondo,10045455,11399300,17.30662083936324
58,Ray Allen,10000000,11347719,17.22830955826614
59,David West,10000000,11347719,17.22830955826614
60,Jose Calderon,9780992,11099195,16.850995796292466
61,Gerald Wallace,9500000,10780333,16.366894080352836
62,Devin Harris,9319000,10574940,16.055061677348217
63,Richard Jefferson,9282000,10532953,15.991316931982633
64,Stephen Jackson,9256500,10504016,15.947384742609055
65,Andrea Bargnani,9250000,10496640,15.936186341396184
66,Boris Diaw,9000000,10212947,15.50547860243953
67,Andris Biedrins,9000000,10212947,15.50547860243953
68,Lamar Odom,8900000,10099470,15.333195506856867
69,Luis Scola,8591793,9749725,14.802206946454413
70,Rodney Stuckey,8500000,9645561,14.644063124526221
71,Maurice Williams,8500000,9645561,14.644063124526221
72,Carl Landry,8500000,9645561,14.644063124526221
73,John Salmons,8500000,9645561,14.644063124526221
74,Paul Millsap,8103435,9195550,13.960848666528841
75,Kirk Hinrich,8100000,9191653,13.954930742195575
76,Shawn Marion,8022449,9103650,13.821323478740267
77,Kris Humphries,8000000,9078175,13.782647646612913
78,Caron Butler,8000000,9078175,13.782647646612913
79,Andre Miller,7807728,8859990,13.45139549307422
80,Jameer Nelson,7800000,8851221,13.438081455447593
81,Anderson Varejao,7700000,8737744,13.265798359864931
82,Brendan Haywood,7624500,8652068,13.135724622700021
83,Leandro Barbosa,7600000,8624267,13.093515264282269
84,James Posey,7595600,8619274,13.085934808076633
85,Arron Afflalo,7562500,8581713,13.028909103438771
86,Raymond Felton,7560000,8578876,13.024602026049203
87,Charlie Villanueva,7540000,8556180,12.99014540693267
88,Marvin Williams,7500000,8510789,12.921232168699607
89,Thaddeus Young,7478261,8486121,12.883779546550892
90,Tyrus Thomas,7305765,8290377,12.586598097994624
91,Kendrick Perkins,7123626,8083691,12.27280339053132
92,Travis Outlaw,7000000,7943402,12.0598166907863
93,Samuel Dalembert,7000000,7943403,12.0598166907863
94,Marcus Thornton,7000000,7943403,12.0598166907863
95,Derrick Rose,6993708,7936263,12.048976638412238
96,DeSagana Diop,6925400,7858749,11.931293501481635
97,Beno Udrih,6925400,7858749,11.931293501481635
98,Metta World Peace,6790640,7705827,11.69912480187444
99,Trevor Ariza,6790640,7705827,11.69912480187444
100,Marcin Gortat,6790640,7705827,11.69912480187444
101,Kwame Brown,6750000,7659710,11.629108951829647
102,JJ Redick,6750000,7659710,11.629108951829647
103,Andres Nocioni,6650000,7546233,11.456825856246985
104,Mike Conley,6611571,7502625,11.390619185445525
105,Mickael Pietrus,6523166,7402305,11.238312314795671
106,Grant Hill,6500000,7376017,11.198401212872993
107,Andray Blatche,6442083,7310295,11.098620012404382
108,Glen Davis,6300000,7149063,10.85383502170767
109,Tayshaun Prince,6292135,7140138,10.840284956240094
110,Michael Beasley,6262347,7106335,10.78896526772793
111,Jermaine O'Neal,6226200,7065317,10.726690097167666
112,Al Harrington,6226200,7065317,10.726690097167666
113,Drew Gooden,6226200,7065317,10.726690097167666
114,Wesley Matthews,6135160,6962007,10.56984356694921
115,Josh Childress,6000000,6808631,10.336985734959686
116,Francisco Garcia,5800000,6581677,9.992419543794364
117,Kyle Lowry,5750000,6524938,9.906277996003032
118,Blake Griffin,5731080,6503468,9.873682034318792
119,Luke Walton,5680000,6445504,9.78567982909517
120,OJ Mayo,5632637,6391758,9.704081386534353
121,Channing Frye,5600000,6354723,9.64785335262904
122,John Wall,5530080,6275379,9.527393012197644
123,Amir Johnson,5500000,6241245,9.475570257046378
124,Nate Robinson,5483307,6222302,9.446811039900766
125,Mike Miller,5400000,6127768,9.303287161463718
126,Jason Richardson,5395000,6122094,9.294673006684583
127,Martell Webster,5256000,5964361,9.055199503824685
128,Chuck Hayes,5250000,5957552,9.044862518089724
129,Louis Williams,5176000,5873579,8.917373027358554
130,Kyrie Irving,5144280,5837584,8.862724829439736
131,Hasheem Thabeet,5127720,5818792,8.834194748811248
132,Russell Westbrook,5082416,5767383,8.756143615188478
133,Kyle Korver,5000000,5673859,8.61415477913307
134,Jason Maxiell,5000000,5673859,8.61415477913307
135,Luc Mbah a Moute,5000000,5673859,8.61415477913307
136,Jarrett Jack,5000000,5673859,8.61415477913307
137,Jamal Crawford,5000000,5673859,8.61415477913307
138,Evan Turner,4947840,5614670,8.524291916477155
139,Darko Milicic,4776500,5420238,8.229102060505824
140,Brad Miller,4752000,5392436,8.186892702088072
141,Zaza Pachulia,4750000,5390166,8.183447040176418
142,Ronnie Brewer,4710000,5344776,8.114533801943354
143,Kevin Love,4609701,5230959,7.9417355799049005
144,Linas Kleiza,4605000,5225624,7.933636551581559
145,James Harden,4604760,5225352,7.933223072152161
146,Derrick Williams,4602720,5223037,7.929708497002275
147,Nikola Pekovic,4503600,5110559,7.75894149266074
148,Jonas Jerebko,4500000,5106473,7.752739301219765
149,Derrick Favors,4443360,5042200,7.655158155881744
150,Daniel Gibson,4403834,4997347,7.587061539521741
151,Ronny Turiaf,4360000,4947605,7.511542967404037
152,Jose Juan Barea,4300000,4879519,7.408173110054442
153,Ramon Sessions,4257973,4831828,7.335767693473915
154,Brandon Bass,4250000,4822780,7.322031562263111
155,Randy Foye,4250000,4822780,7.322031562263111
156,Jared Dudley,4250000,4822780,7.322031562263111
157,Chris Andersen,4234000,4804624,7.294466266969884
