,Player,Team,Salary
0,Stephen Curry,Golden State Warriors,40231758
1,Chris Paul,Oklahoma City Thunder,38506482
2,Russell Westbrook,Houston Rockets,38506482
3,John Wall,Washington Wizards,38199000
4,Kevin Durant,Brooklyn Nets,38199000
5,James Harden,Houston Rockets,38199000
6,LeBron James,Los Angeles Lakers,37436858
7,Kyle Lowry,Toronto Raptors,34996296
8,Blake Griffin,Detroit Pistons,34449964
9,Tobias Harris,Philadelphia 76ers,32742000
10,Jimmy Butler,Miami Heat,32742000
11,Kawhi Leonard,LA Clippers,32742000
12,Klay Thompson,Golden State Warriors,32742000
13,Kemba Walker,Boston Celtics,32742000
14,Gordon Haywar,Boston Celtics,32700690
15,Mike Conley,Utah Jazz,32511624
16,Kyrie Irving,Brooklyn Nets,31742000
17,Khris Middleton,Milwaukee Bucks,30603448
18,Paul George,LA Clippers,30560700
19,Paul Millsap,Denver Nuggets,30350000
20,Damian Lillard,Portland Trail Blazers,29802321
21,Kevin Love,Cleveland Cavaliers,28942830
22,Al Horford,Philadelphia 76ers,28000000
23,Nikola Vucevic,Orlando Magic,28000000
24,DeMar DeRozan,San Antonio Spurs,27739975
25,CJ McCollum,Portland Trail Blazers,27556959
26,Joel Embiid,Philadelphia 76ers,27504630
27,Andrew Wiggins,Minnesota Timberwolves,27504630
28,Nikola Jokic,Denver Nuggets,27504630
29,Devin Booker,Phoenix Suns,27285000
30,D'Angelo Russell,Minnesota Timberwolves,27285000
31,Karl-Anthony Towns,Minnesota Timberwolves,27285000
32,Kristaps Porzingis,Dallas Mavericks,27285000
33,Otto Porter Jr.,Chicago Bulls,27250575
34,Bradley Beal,Washington Wizards,27093019
35,Andre Drummond,Detroit Pistons,27093019
36,Anthony Davis,Los Angeles Lakers,27093018
37,Hassan Whiteside,Portland Trail Blazers,27093017
38,Jrue Holiday,New Orleans Pelicans,26231111
39,LaMarcus Aldridge,San Antonio Spurs,26000000
120,Steven Adams,Oklahoma City Thunder,25842697
121,Giannis Antetokounmpo,Milwaukee Bucks,25842697
122,Marc Gasol,Toronto Raptors,25595700
123,Nicolas Batum,Charlotte Hornets,25565217
124,Chandler Parsons,Atlanta Hawks,25102511
125,Harrison Barnes,Sacramento Kings,24147727
126,Serge Ibaka,Toronto Raptors,23271604
127,Rudy Gobert,Utah Jazz,23241573
128,Danilo Gallinari,Oklahoma City Thunder,22615559
129,Victor Oladipo,Indiana Pacers,21000000
130,Tim Hardaway Jr.,Dallas Mavericks,20025127
131,Malcolm Brogdon,Indiana Pacers,20000000
132,Terry Rozier,Charlotte Hornets,19894737
133,Aaron Gordon,Orlando Magic,19863636
134,Zach LaVine,Chicago Bulls,19500000
135,Kent Bazemore,Sacramento Kings,19269662
136,Goran Dragic,Miami Heat,19217900
137,Jeff Teague,Minnesota Timberwolves,19000000
138,Evan Turner,Atlanta Hawks,18606556
139,Draymond Green,Golden State Warriors,18539130
140,Tristan Thompson,Cleveland Cavaliers,18539130
141,Allen Crabb,Minnesota Timberwolves,18500000
142,Julius Randle,New York Knicks,18000000
143,Myles Turner,Indiana Pacers,18000000
144,Gary Harris,Denver Nuggets,17839286
145,Derrick Favors,New Orleans Pelicans,17650000
146,Andre Iguodala,Miami Heat,17185185
