PG%,SG%,SF%,PF%,C%,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Height,Weight,YearsPro,Season
0.0,22.0,65.0,13.0,0.0,27,20,2,6.5,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.5,0.4,0.9,0.41200000000000003,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,12.2,0.496,0.20800000000000002,0.354,9.8,8.7,9.2,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,198.12,99.336648,6,2020
0.0,0.0,5.0,89.0,5.0,35,58,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.44799999999999995,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,203.2,107.954896,17,2020
0.0,2.0,62.0,35.0,1.0,22,69,68,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,13.2,0.6,0.40299999999999997,0.18,4.2,14.2,9.3,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7,200.66,105.233344,3,2020
100.0,0.0,0.0,0.0,0.0,25,58,4,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,9.0,0.551,0.627,0.17300000000000001,2.3,11.2,6.5,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2,190.5,88.45044,3,2020
0.0,2.0,88.0,10.0,0.0,34,53,21,28.2,2.7,6.1,0.43799999999999994,1.5,3.9,0.37200000000000005,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,11.0,0.593,0.639,0.228,2.5,15.7,9.0,2.2,0.9,13.6,11.8,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.5,203.2,97.52228,16,2020
0.0,0.0,0.0,1.0,99.0,21,38,32,32.5,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.5529999999999999,0.5479999999999999,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,20.0,0.568,0.023,0.157,13.0,26.3,19.6,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7,210.82,113.398,2,2020
3.0,43.0,55.0,0.0,0.0,24,39,11,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,6.1,0.419,0.275,0.217,2.3,14.0,7.9,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,198.12,100.243832,3,2020
0.0,0.0,0.0,13.0,87.0,20,13,6,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.8059999999999999,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,15.6,0.512,0.132,0.18600000000000003,9.5,23.5,16.3,0.9,3.4,9.1,25.8,0.0,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1,210.82,106.59412,2,2020
86.0,15.0,0.0,0.0,0.0,22,63,54,32.1,4.4,10.9,0.40299999999999997,2.3,6.3,0.375,2.0,4.6,0.442,0.511,0.7,1.2,0.5660000000000001,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,13.1,0.517,0.575,0.111,3.7,16.4,10.0,2.0,1.6,21.1,18.5,0.4,2.0,2.4,0.057999999999999996,0.1,0.6,0.6,1.3,198.12,86.18248,3,2020
0.0,0.0,0.0,0.0,100.0,21,62,0,14.2,2.1,4.6,0.462,0.6,1.7,0.34600000000000003,1.5,2.9,0.531,0.526,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,17.5,0.542,0.374,0.161,11.9,25.6,18.5,1.3,8.8,12.1,17.1,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5,213.36,104.779752,2,2020
