,Player,Team,Salary
0,Stephen Curry,Golden State Warriors,14158804.212
1,Blake Griffin,LA Clippers,10391244.153478289
2,Paul Millsap,Denver Nuggets,9867143.060875753
3,Kyle Lowry,Toronto Raptors,9823499.13717417
4,Gordon Hayward,Boston Celtics,8918370.0
5,Mike Conley,Memphis Grizzlies,8214461.090588276
6,Russell Westbrook,Oklahoma City Thunder,8214461.090588276
7,James Harden,Houston Rockets,8081862.328935455
8,DeMar DeRozan,Toronto Raptors,7765495.1712091165
9,Al Horford,Boston Celtics,7762377.525888165
10,Carmelo Anthony,Oklahoma City Thunder,6950389.421428355
11,Damian Lillard,Portland Trail Blazers,6902428.93489196
12,Otto Porter Jr.,Washington Wizards,6828127.293750003
13,Jrue Holiday,New Orleans Pelicans,6658440.672589274
14,Bradley Beal,Washington Wizards,6528228.37489196
15,Andre Drummond,Detroit Pistons,6528228.37489196
16,Hassan Whiteside,Miami Heat,6528227.8615507055
17,Joel Embiid,Philadelphia 76ers,6433981.209570807
18,Chris Paul,Houston Rockets,6106739.671369572
19,Giannis Antetokounmpo,Milwaukee Bucks,5889167.632767289
20,Kevin Love,Cleveland Cavaliers,5870519.2793701375
21,Nicolas Batum,Charlotte Hornets,5812721.382943296
22,CJ McCollum,Portland Trail Blazers,5794606.125360307
23,Dwight Howard,Charlotte Hornets,5725725.319403238
24,Anthony Davis,New Orleans Pelicans,5704486.548555761
25,Harrison Barnes,Dallas Mavericks,5390539.482062466
26,Chandler Parsons,Memphis Grizzlies,5390539.482062466
27,Brook Lopez,Los Angeles Lakers,5173822.560851927
28,Marc Gasol,Memphis Grizzlies,5173685.462368684
29,DeAndre Jordan,LA Clippers,5173685.462368684
30,Steven Adams,Oklahoma City Thunder,5096088.916957808
31,Rudy Gobert,Utah Jazz,4850930.976244144
32,Serge Ibaka,Toronto Raptors,4737412.924110573
33,LaMarcus Aldridge,San Antonio Spurs,4647906.009709061
34,Victor Oladipo,Indiana Pacers,4450364.808815961
35,Danilo Gallinari,LA Clippers,4265660.652526424
36,Ryan Anderson,Houston Rockets,3868243.9747209693
37,Paul George,Oklahoma City Thunder,3840830.7574275075
38,Jimmy Butler,Minnesota Timberwolves,3759410.8882050198
39,Tyler Johnson,Miami Heat,3737744.002471416
120,John Wall,Washington Wizards,3708447.943245234
121,George Hill,Sacramento Kings,3643042.394518281
122,Jeff Teague,Minnesota Timberwolves,3643042.394518281
123,Kyrie Irving,Boston Celtics,3592837.507471527
124,Kawhi Leonard,San Antonio Spurs,3592837.507471527
125,Enes Kanter,New York Knicks,3499722.7622556183
126,Joakim Noah,New York Knicks,3465036.8845428033
127,Allen Crabbe,Brooklyn Nets,3453826.203667262
128,Goran Dragic,Miami Heat,3309438.8017380135
129,Kent Bazemore,Atlanta Hawks,3302392.8196014757
130,DeMarcus Cousins,New Orleans Pelicans,3292893.310551704
131,Wesley Matthews,Dallas Mavericks,3227712.8676997973
132,Klay Thompson,Golden State Warriors,3206801.9317459357
133,Kentavious Caldwell-Pope,Los Angeles Lakers,3177991.925355333
134,Draymond Green,Golden State Warriors,3079790.7146743466
135,Tristan Thompson,Cleveland Cavaliers,3079790.7146743466
136,Tim Hardaway Jr.,New York Knicks,3029029.5480003636
137,Luol Deng,Los Angeles Lakers,2982007.8108443585
138,Evan Turner,Portland Trail Blazers,2961624.2499258677
139,Reggie Jackson,Detroit Pistons,2931389.1227077995
140,Bismack Biyombo,Orlando Magic,2916452.221650369
141,Evan Fournier,Orlando Magic,2916452.221650369
142,Jonas Valanciunas,Toronto Raptors,2760531.0620757877
143,Pau Gasol,San Antonio Spurs,2583431.725752576
144,Tobias Harris,LA Clippers,2583431.725752576
145,Timofey Mozgov,Brooklyn Nets,2583431.725752576
146,Ian Mahinmi,Washington Wizards,2565428.9079522872
147,Dennis Schroder,Atlanta Hawks,2424490.12543772
148,Tony Parker,San Antonio Spurs,2409848.356310496
149,DeMarre Carroll,Brooklyn Nets,2393307.297185472
150,Eric Bledsoe,Phoenix Suns,2270594.2902122247
151,Andre Iguodala,Golden State Warriors,2214876.3634588216
152,JR Smith,Cleveland Cavaliers,2186616.61267698
153,James Johnson,Miami Heat,2166372.124065272
154,Robin Lopez,Chicago Bulls,2080318.3379502085
155,Ricky Rubio,Utah Jazz,2056407.8693752333
156,Joe Ingles,Utah Jazz,2016658.96824696
157,Gorgui Dieng,Minnesota Timberwolves,2009816.0795374045
158,Marvin Williams,Charlotte Hornets,2002741.427245113
159,Mason Plumlee,Denver Nuggets,1989569.1611033678
160,Taj Gibson,Minnesota Timberwolves,1977939.915029316
161,Thaddeus Young,Indiana Pacers,1967793.4138841797
162,Brandon Knight,Detroit Pistons,1871679.6500509623
163,Cody Zeller,Charlotte Hornets,1846843.0570080634
164,Tyson Chandler,Phoenix Suns,1705468.600203849
165,Michael Kidd-Gilchrist,Charlotte Hornets,1705468.600203849
166,Eric Gordon,Houston Rockets,1690550.964451576
167,Kenneth Faried,Denver Nuggets,1684894.332971088
168,Marcin Gortat,Washington Wizards,1648906.5105192193
169,Nikola Vucevic,Orlando Magic,1640504.3746783326
170,Austin Rivers,LA Clippers,1614871.8880243811
171,Kelly Olynyk,Miami Heat,1586283.423407597
172,Jeremy Lin,Brooklyn Nets,1581029.2394873097
173,Miles Plumlee,Atlanta Hawks,1576801.5904251563
174,Jordan Clarkson,Los Angeles Lakers,1576801.5904251563
175,Nikola Mirotic,Chicago Bulls,1576801.5904251563
176,Zach Randolph,Sacramento Kings,1528657.7494562077
177,Courtney Lee,New York Knicks,1515294.968245991
178,Solomon Hill,New Orleans Pelicans,1511032.9569820773
179,Nikola Pekovic,Minnesota Timberwolves,1477500.9334665416
180,Wilson Chandler,Denver Nuggets,1457265.1958999727
181,Derrick Favors,Utah Jazz,1453180.345735824
182,Kemba Walker,Charlotte Hornets,1453180.345735824
183,Dion Waiters,Miami Heat,1346235.3546668282
184,John Henson,Milwaukee Bucks,1294859.2330553723
185,Omer Asik,Chicago Bulls,1285514.0465850867
186,Monta Ellis,Indiana Pacers,1271992.259796353
187,Alec Burks,Utah Jazz,1187016.2412686667
188,Patty Mills,San Antonio Spurs,1158466.5363829534
189,Tony Snell,Milwaukee Bucks,1135413.0223370872
190,Bojan Bogdanovic,Indiana Pacers,1112591.2022039902
191,Terrence Ross,Orlando Magic,1112591.2022039902
192,Mirza Teletovic,Milwaukee Bucks,1112591.2022039902
193,Robert Covington,Philadelphia 76ers,1104994.514087413
194,Iman Shumpert,Cleveland Cavaliers,1078332.498281826
195,Maurice Harkless,Portland Trail Blazers,1042303.5287869375
196,Jon Leuer,Detroit Pistons,1009694.19825579
197,Danny Green,San Antonio Spurs,1009153.0178720999
198,Jared Dudley,Phoenix Suns,1009153.0178720999
199,Darren Collison,Indiana Pacers,1009153.0178720999
200,Al Jefferson,Indiana Pacers,1009153.0178720999
201,Meyers Leonard,Portland Trail Blazers,989969.232993501
202,Matthew Dellavedova,Milwaukee Bucks,931489.1692652357
203,Bogdan Bogdanovic,Sacramento Kings,894018.8994015723
204,Norman Powell,Toronto Raptors,885475.6222942085
205,Josh Richardson,Miami Heat,885475.6222942085
206,Andre Roberson,Oklahoma City Thunder,865186.1962762254
207,Dwight Powell,Dallas Mavericks,817981.6915990533
208,Gerald Henderson,Philadelphia 76ers,817413.944476401
209,Avery Bradley,LA Clippers,783085.4571172636
210,Markieff Morris,Washington Wizards,746369.5720182052
211,Jerryd Bayless,Philadelphia 76ers,742195.0615992654
212,JaMychal Green,Memphis Grizzlies,734842.744582251
213,Cristiano Felicio,Chicago Bulls,724142.9986013139
214,E'Twaun Moore,New Orleans Pelicans,719712.0922827647
215,Rudy Gay,San Antonio Spurs,713075.9589476552
216,Kosta Koufos,Sacramento Kings,710872.0999465149
217,Markelle Fultz,Philadelphia 76ers,701902.2374375586
218,Garrett Temple,Sacramento Kings,645857.931438144
219,Kevin Garnett,Minnesota Timberwolves,645857.931438144
220,Yi Jianlian,Los Angeles Lakers,645857.931438144
221,Vince Carter,Sacramento Kings,645857.931438144
222,Cory Joseph,Indiana Pacers,637007.9117596601
223,C.J. Miles,Toronto Raptors,635647.0699956708
224,Shaun Livingston,Golden State Warriors,597132.011008487
225,P.J. Tucker,Houston Rockets,581359.2413311233
226,Corey Brewer,Oklahoma City Thunder,579726.0044801955
227,Andrew Wiggins,Minnesota Timberwolves,578954.8092027591
228,Kyle Korver,Cleveland Cavaliers,576767.2792225486
229,Boris Diaw,Utah Jazz,567648.5725530562
230,Jeremy Lamb,Charlotte Hornets,565889.7723389543
231,Darrell Arthur,Denver Nuggets,562349.6227558354
232,Trevor Ariza,Houston Rockets,555739.9101020658
233,Channing Frye,Los Angeles Lakers,555739.9101020658
234,Festus Ezeli,Portland Trail Blazers,552612.1925867619
235,Al-Farouq Aminu,Portland Trail Blazers,540585.8469440324
236,Cole Aldrich,Minnesota Timberwolves,537777.6432240421
237,D.J. Augustin,Orlando Magic,530436.0550190225
238,Dewayne Dedmon,Atlanta Hawks,523144.9244648966
239,Lance Thomas,New York Knicks,511533.7725419555
240,D'Angelo Russell,Brooklyn Nets,497271.85584455007
241,Lou Williams,LA Clippers,494484.978757329
242,Rodney Stuckey,Indiana Pacers,494484.978757329
243,Langston Galloway,Detroit Pistons,494484.978757329
244,Boban Marjanovic,LA Clippers,494484.978757329
245,Jae Crowder,Utah Jazz,466099.58602211054
246,Carl Landry,Philadelphia 76ers,426367.1500509622
247,Ben Simmons,Philadelphia 76ers,417820.10465320456
248,Tim Duncan,San Antonio Spurs,412542.1479065121
249,Andrew Nicholson,Guangzhou Guangzhou Long-Lions,408583.28588299884
250,Ed Davis,Portland Trail Blazers,407240.169396032
251,Lonzo Ball,Los Angeles Lakers,398825.7155762768
252,Isaiah Thomas,Los Angeles Lakers,395639.1202812005
253,Karl-Anthony Towns,Minnesota Timberwolves,390028.5548484757
254,Spencer Hawes,Milwaukee Bucks,370741.0450851725
255,Josh McRoberts,Dallas Mavericks,365863.8690989777
256,Shelvin Mack,Orlando Magic,363295.086433956
257,Jonathon Simmons,Orlando Magic,363295.086433956
258,Ish Smith,Detroit Pistons,363295.086433956
259,Alan Williams,Phoenix Suns,363295.086433956
260,Milos Teodosic,LA Clippers,363295.086433956
261,Wesley Johnson,LA Clippers,349176.8612071488
262,Alex Abrines,Oklahoma City Thunder,330756.20881394244
263,Kristaps Porzingis,New York Knicks,327534.98510405375
264,Jayson Tatum,Boston Celtics,321622.52792830975
265,Jared Sullinger,Phoenix Suns,319643.0020283976
266,Brandon Ingram,Los Angeles Lakers,307426.1184947474
267,Patrick Beverley,LA Clippers,306770.77723144926
268,Luis Scola,Shanghai Sharks,305268.78790631023
269,Thabo Sefolosha,Utah Jazz,305268.78790631023
270,Jason Smith,Washington Wizards,299743.6751334605
271,Ben McLemore,Memphis Grizzlies,272874.9760326158
272,Patrick Patterson,Oklahoma City Thunder,272036.0065796777
273,Nick Young,Golden State Warriors,272036.0065796777
274,Josh Jackson,Phoenix Suns,261456.48231055675
275,Mike Muscala,Atlanta Hawks,252288.25446802497
276,C.J. Watson,Orlando Magic,252288.25446802497
277,Marcus Morris Sr.,Boston Celtics,252288.25446802497
278,Dirk Nowitzki,Dallas Mavericks,252288.25446802497
279,Dante Exum,Utah Jazz,251520.369634838
280,Jonathan Isaac,Orlando Magic,249177.60130786232
281,Alexis Ajinca,LA Clippers,248447.81561567416
282,Jaylen Brown,Boston Celtics,247915.5337955254
283,Mike Dunleavy,Atlanta Hawks,236155.9973963852
284,Kyle Singler,Oklahoma City Thunder,219755.4040144107
285,De'Aaron Fox,Sacramento Kings,214391.77984317762
286,Ron Baker,New York Knicks,208369.26927229975
287,Lauri Markkanen,Chicago Bulls,207647.20670884926
288,Dragan Bender,Phoenix Suns,201529.60794405255
289,Devin Harris,Denver Nuggets,195598.188389856
290,Justin Holiday,Chicago Bulls,194008.229314442
291,Greivis Vasquez,Brooklyn Nets,190766.15831871072
292,Jamal Crawford,Minnesota Timberwolves,189030.3452312474
293,Emmanuel Mudiay,New York Knicks,186113.63537686822
294,Kris Dunn,Chicago Bulls,179799.18864097362
295,Nerlens Noel,Dallas Mavericks,176964.92572432966
296,Alex Len,Phoenix Suns,176964.92572432966
