,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,10979333.382038608
1,Kevin Garnett,Boston Celtics,7777494.292914616
2,Tim Duncan,San Antonio Spurs,7717267.890137844
3,Rashard Lewis,Washington Wizards,7696870.822654556
4,Dirk Nowitzki,Dallas Mavericks,6280370.053651178
5,Pau Gasol,Los Angeles Lakers,6033688.412626628
6,Carmelo Anthony,New York Knicks,5908234.838975191
7,Amar'e Stoudemire,New York Knicks,5717813.649421559
8,Elton Brand,Philadelphia 76ers,5681870.541761853
9,Dwight Howard,Orlando Magic,5639034.899953484
10,Joe Johnson,Atlanta Hawks,5605921.643517487
11,Andrei Kirilenko,Philadelphia 76ers,5472733.25408311
12,Chris Bosh,Miami Heat,5303339.277100131
13,LeBron James,Miami Heat,5303339.277100131
14,Chris Paul,LA Clippers,4611040.23909491
15,Deron Williams,New Jersey Nets,4611040.23909491
16,Dwyane Wade,Miami Heat,4241738.69822893
17,Kevin Durant,Oklahoma City Thunder,4142644.1317521874
18,Paul Pierce,Boston Celtics,4050567.355033354
19,Zach Randolph,Memphis Grizzlies,3980428.6403418095
20,Antawn Jamison,Cleveland Cavaliers,3916121.1355389873
21,Rudy Gay,Memphis Grizzlies,3893001.055005444
22,Brandon Roy,Minnesota Timberwolves,3893001.055005444
23,Al Jefferson,Utah Jazz,3876369.650609882
24,Andrew Bynum,Los Angeles Lakers,3824857.0050306665
25,Andre Iguodala,Philadelphia 76ers,3732115.000043071
26,Manu Ginobili,San Antonio Spurs,3428801.091069947
27,Chris Kaman,New Orleans Hornets,3391235.9589277096
28,LaMarcus Aldridge,Portland Trail Blazers,3376748.673420164
29,Carlos Boozer,Chicago Bulls,3139859.4169940045
30,Tyson Chandler,New York Knicks,2960088.739896785
31,Nene Hilario,Washington Wizards,2911584.315346978
32,Marc Gasol,Memphis Grizzlies,2876836.4994424228
33,Emeka Okafor,New Orleans Hornets,2753649.0636413754
34,Tony Parker,San Antonio Spurs,2691923.368479085
35,Al Horford,Atlanta Hawks,2691270.024486407
36,Josh Smith,Atlanta Hawks,2649024.877679002
37,Luol Deng,Chicago Bulls,2617077.131141892
38,Danny Granger,Indiana Pacers,2487456.910916133
39,Joakim Noah,Chicago Bulls,2480876.5763903246
120,Andrew Bogut,Milwaukee Bucks,2480876.5763903246
121,Steve Nash,Phoenix Suns,2353975.7845745296
122,David Lee,Golden State Warriors,2322240.024808766
123,Ben Gordon,Detroit Pistons,2318241.3341602925
124,Kevin Martin,Houston Rockets,2286312.3428020123
125,Marcus Camby,Portland Trail Blazers,2171648.104239887
126,Jason Terry,Dallas Mavericks,2144941.148094549
127,Hedo Turkoglu,Orlando Magic,2090637.2962321686
128,Monta Ellis,Milwaukee Bucks,2084625.4565502033
129,Mehmet Okur,New Jersey Nets,2043141.4099648544
130,Jose Calderon,Toronto Raptors,1921912.0627166287
131,Corey Maggette,Charlotte Bobcats,1814314.3160492212
132,Jason Kidd,Dallas Mavericks,1764775.7046378609
133,DeAndre Jordan,LA Clippers,1750299.5140792504
134,Rajon Rondo,Boston Celtics,1738528.462306457
135,Andrea Bargnani,Toronto Raptors,1722830.955826614
136,Ray Allen,Boston Celtics,1722830.955826614
137,David West,Indiana Pacers,1722830.955826614
138,Gerald Wallace,Portland Trail Blazers,1554854.9376335195
139,Cuttino Mobley,LA Clippers,1554854.9376335195
140,Devin Harris,Utah Jazz,1496171.1977120803
141,Richard Jefferson,San Antonio Spurs,1484314.037626628
142,Andris Biedrins,Golden State Warriors,1395493.0742195577
143,Lamar Odom,Dallas Mavericks,1364654.4001102613
144,Paul Millsap,Utah Jazz,1275282.5580368168
145,Jameer Nelson,Orlando Magic,1274205.774929364
146,Luis Scola,Houston Rockets,1271774.9802709841
147,Carl Landry,New Orleans Hornets,1244745.3655847288
148,Rodney Stuckey,Detroit Pistons,1244745.3655847288
149,Mo Williams,LA Clippers,1244745.3655847288
150,John Salmons,Sacramento Kings,1125609.6926469575
151,Thaddeus Young,Philadelphia 76ers,1113424.491022328
152,Shawn Marion,Dallas Mavericks,1108808.6272069637
153,Caron Butler,LA Clippers,1102611.811729033
154,Kris Humphries,New Jersey Nets,1102611.811729033
155,Kirk Hinrich,Atlanta Hawks,1102611.811729033
