,Player,Team,Salary
0,LeBron James,Cleveland Cavaliers,10183818.615324559
1,Mike Conley,Memphis Grizzlies,7481989.1867690645
2,DeMar DeRozan,Toronto Raptors,7481989.1867690645
3,Al Horford,Boston Celtics,7481989.1867690645
4,Kevin Durant,Golden State Warriors,7481989.1867690645
5,James Harden,Houston Rockets,7481989.1867690645
6,Russell Westbrook,Oklahoma City Thunder,7481989.1867690645
7,Dirk Nowitzki,Dallas Mavericks,6638836.663373804
8,Carmelo Anthony,New York Knicks,6406882.572091393
9,Damian Lillard,Portland Trail Blazers,6286949.247215671
10,Chris Bosh,Miami Heat,5987040.246471857
11,Dwyane Wade,Chicago Bulls,5717259.913110905
12,Dwight Howard,Atlanta Hawks,5707542.239737687
13,Chris Paul,LA Clippers,5555200.58162507
14,Bradley Beal,Washington Wizards,5195825.824145183
15,Harrison Barnes,Dallas Mavericks,5195825.824145183
16,Hassan Whiteside,Miami Heat,5195825.824145183
17,Anthony Davis,New Orleans Pelicans,5195825.824145183
18,Andre Drummond,Detroit Pistons,5195825.824145183
19,Chandler Parsons,Memphis Grizzlies,5195825.824145183
20,Derrick Rose,New York Knicks,4829685.434450825
21,Marc Gasol,Memphis Grizzlies,4758567.266877251
22,DeAndre Jordan,LA Clippers,4758567.266877251
23,Brook Lopez,Brooklyn Nets,4758567.266877251
24,Kevin Love,Cleveland Cavaliers,4758567.266877251
25,Nicolas Batum,Charlotte Hornets,4626353.36698805
26,LaMarcus Aldridge,San Antonio Spurs,4496678.783871611
27,Blake Griffin,LA Clippers,4308906.616784264
28,Paul Millsap,Atlanta Hawks,4279516.360781885
29,Ryan Anderson,Houston Rockets,3728517.937738292
30,Allen Crabbe,Portland Trail Blazers,3635426.956863495
31,Paul George,Indiana Pacers,3562899.8691248847
32,Luol Deng,Los Angeles Lakers,3441572.92629298
33,Kyrie Irving,Cleveland Cavaliers,3304560.789352039
34,Kawhi Leonard,San Antonio Spurs,3304560.789352039
35,Jimmy Butler,Chicago Bulls,3272468.9119709483
36,Tobias Harris,Detroit Pistons,3142453.5015880098
37,Greg Monroe,Milwaukee Bucks,3122693.7820363063
38,Wesley Matthews,Dallas Mavericks,3122693.7820363063
39,Enes Kanter,Oklahoma City Thunder,3122693.7820363063
120,Bismack Biyombo,Orlando Magic,3069798.073144047
121,Evan Fournier,Orlando Magic,3069798.073144047
122,Joakim Noah,New York Knicks,3069798.073144047
123,John Wall,Washington Wizards,3054612.3706489066
124,DeMarcus Cousins,Sacramento Kings,3054612.3706489066
125,Klay Thompson,Golden State Warriors,2949499.5037403204
126,Evan Turner,Portland Trail Blazers,2854646.3719474524
127,Gordon Hayward,Utah Jazz,2744185.2231137734
128,Timofey Mozgov,Los Angeles Lakers,2719267.4973179097
129,Ian Mahinmi,Washington Wizards,2700318.098804117
130,Goran Dragic,Miami Heat,2682588.43966758
131,Kent Bazemore,Atlanta Hawks,2628379.5247043753
132,Pau Gasol,San Antonio Spurs,2551968.81340089
133,Draymond Green,Golden State Warriors,2496438.792998152
134,Tristan Thompson,Cleveland Cavaliers,2496438.792998152
135,Khris Middleton,Milwaukee Bucks,2454138.9163294137
136,Danilo Gallinari,Denver Nuggets,2405940.9621533197
137,Jeff Green,Orlando Magic,2389981.1988145695
