,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,8756838.182827242
1,Joe Johnson,Brooklyn Nets,8520558.551083803
2,Carmelo Anthony,New York Knicks,7997776.5079965275
3,Dwight Howard,Houston Rockets,7286350.818765417
4,Chris Bosh,Miami Heat,6757967.991120272
5,LeBron James,Cleveland Cavaliers,6757967.991120272
6,Chris Paul,LA Clippers,6386224.068579545
7,Deron Williams,Brooklyn Nets,6187883.730059859
8,Rudy Gay,Sacramento Kings,5917055.161980116
9,Kevin Durant,Oklahoma City Thunder,5721616.287154143
10,Derrick Rose,Chicago Bulls,5641926.440836851
11,Blake Griffin,LA Clippers,4953491.55157011
12,Zach Randolph,Memphis Grizzlies,4316974.550067391
13,LaMarcus Aldridge,Portland Trail Blazers,4062348.941568223
14,Paul George,Indiana Pacers,4027546.381417585
15,Marc Gasol,Memphis Grizzlies,3973345.3132061204
16,Kevin Love,Cleveland Cavaliers,3918004.306635519
17,Brook Lopez,Brooklyn Nets,3918003.808131991
18,Russell Westbrook,Oklahoma City Thunder,3918003.808131991
19,David Lee,Golden State Warriors,3573458.2414968684
20,Dwyane Wade,Miami Heat,3567747.562039166
21,Eric Gordon,New Orleans Pelicans,3519834.353886371
22,Roy Hibbert,Indiana Pacers,3519834.353886371
23,Tyson Chandler,Dallas Mavericks,3495283.965504543
24,John Wall,Washington Wizards,3447942.852612384
25,DeMarcus Cousins,Sacramento Kings,3447942.852612384
26,Gordon Hayward,Utah Jazz,3447942.852612384
27,James Harden,Houston Rockets,3439924.610740284
28,Chandler Parsons,Dallas Mavericks,3426464.758582415
29,Al Jefferson,Charlotte Hornets,2889875.5252517243
30,Eric Bledsoe,Phoenix Suns,2679774.8354871958
31,Nene Hilario,Washington Wizards,2679774.8354871958
32,Andrew Bogut,Golden State Warriors,2668643.914353905
33,Derrick Favors,Utah Jazz,2659200.8245461034
34,Rajon Rondo,Dallas Mavericks,2642426.141728375
35,Joakim Noah,Chicago Bulls,2557520.019027987
36,Tony Parker,San Antonio Spurs,2477602.4736383096
37,Serge Ibaka,Oklahoma City Thunder,2418496.789027194
38,Andre Iguodala,Golden State Warriors,2394876.58333364
39,Nikola Pekovic,Minnesota Timberwolves,2321572.9802584634
120,Kyle Lowry,Toronto Raptors,2283358.439705066
121,Al Horford,Atlanta Hawks,2283358.439705066
122,Kevin Garnett,Brooklyn Nets,2283358.439705066
123,David West,Indiana Pacers,2283358.439705066
124,Nicolas Batum,Portland Trail Blazers,2194989.1421549194
125,Ty Lawson,Denver Nuggets,2132018.7012770316
126,Andrea Bargnani,New York Knicks,2097042.7336874655
127,DeAndre Jordan,LA Clippers,2075262.2572762864
128,Tyreke Evans,New Orleans Pelicans,2012361.8116713867
129,JaVale McGee,Philadelphia 76ers,2006858.0036470308
130,Larry Sanders,Milwaukee Bucks,1918655.3555855071
131,Danilo Gallinari,Denver Nuggets,1868354.3728296203
132,Stephen Curry,Golden State Warriors,1791487.6555834298
133,Marcin Gortat,Washington Wizards,1726546.8229211767
134,Tim Duncan,San Antonio Spurs,1702363.6440326013
135,Gerald Wallace,Boston Celtics,1619413.3874736384
136,DeMar DeRozan,Toronto Raptors,1617537.4613494014
137,Jrue Holiday,New Orleans Pelicans,1555522.4166340283
138,Luol Deng,Miami Heat,1496404.5432572903
139,Anderson Varejao,Cleveland Cavaliers,1493351.2036315706
140,Steve Nash,Los Angeles Lakers,1492260.3821454055
141,Paul Millsap,Atlanta Hawks,1431063.1887734877
142,Thaddeus Young,Brooklyn Nets,1404336.0871348768
143,Tiago Splitter,San Antonio Spurs,1356735.1145643385
144,Jeff Green,Memphis Grizzlies,1342107.3495599779
145,Jordan Hill,Los Angeles Lakers,1284389.1223340998
146,Lance Stephenson,Charlotte Hornets,1284389.1223340998
147,Mike Conley,Memphis Grizzlies,1198594.9711354317
148,Trevor Ariza,Houston Rockets,1167062.048202981
149,Channing Frye,Orlando Magic,1167061.7761316737
150,Marcus Thornton,Phoenix Suns,1165949.813684294
151,Ryan Anderson,New Orleans Pelicans,1143353.2426861175
152,Jeremy Lin,Los Angeles Lakers,1112101.7303625783
153,Omer Asik,New Orleans Pelicans,1112101.7303625783
154,Monta Ellis,Dallas Mavericks,1108215.3333861888
155,Taj Gibson,Chicago Bulls,1014825.9732022516
156,Brandon Jennings,Detroit Pistons,1014825.9732022516
157,O.J. Mayo,Milwaukee Bucks,1014825.9732022516
158,George Hill,Indiana Pacers,1014825.9732022516
159,Jeff Teague,Atlanta Hawks,1014825.9732022516
160,Dirk Nowitzki,Dallas Mavericks,1008362.2162582098
161,Ersan Ilyasova,Milwaukee Bucks,989613.8904305082
162,Tayshaun Prince,Memphis Grizzlies,942062.6791124237
163,Boris Diaw,San Antonio Spurs,891936.8905097916
164,Arron Afflalo,Portland Trail Blazers,891936.8905097916
165,Goran Dragic,Phoenix Suns,891936.8905097916
166,Wesley Matthews,Portland Trail Blazers,832463.3157789581
167,Isaiah Thomas,Phoenix Suns,830847.8050144454
168,Avery Bradley,Boston Celtics,819957.808643796
169,Pau Gasol,Chicago Bulls,805651.0584317768
170,Jose Calderon,New York Knicks,798701.6584552604
171,Kyrie Irving,Cleveland Cavaliers,792757.0400840404
172,Manu Ginobili,San Antonio Spurs,776976.1357329739
173,Amir Johnson,Toronto Raptors,776976.1357329739
174,Marvin Williams,Charlotte Hornets,776976.1357329739
175,Brandon Bass,Boston Celtics,754935.3841274875
176,Kevin Martin,Minnesota Timberwolves,731595.2786807262
177,JJ Redick,LA Clippers,731595.2786807262
178,Wilson Chandler,Denver Nuggets,724163.7693739634
179,Jason Richardson,Philadelphia 76ers,690951.4194184572
180,JR Smith,New York Knicks,673144.7008657735
181,Carl Landry,Sacramento Kings,669943.7088717989
182,Greivis Vasquez,Toronto Raptors,649488.622849441
183,Derrick Williams,Sacramento Kings,635640.6344440816
184,Jarrett Jack,Brooklyn Nets,629350.6699437088
185,Kyle Korver,Atlanta Hawks,620098.706056307
186,Landry Fields,Toronto Raptors,619400.6184095774
187,Robin Lopez,Portland Trail Blazers,594819.714951891
188,Jason Thompson,Sacramento Kings,577997.4034726076
189,Jodie Meeks,Detroit Pistons,570839.6099262665
190,Gerald Henderson,Charlotte Hornets,570839.6099262665
191,Chuck Hayes,Toronto Raptors,563017.5463807182
192,Jason Terry,Houston Rockets,542712.4743989377
193,Patrick Patterson,Toronto Raptors,539195.4795572187
194,P.J. Tucker,Phoenix Suns,515182.7479584555
195,Enes Kanter,Utah Jazz,514220.43869461666
