,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,9195536.076960571
1,Jermaine O'Neal,Miami Heat,9180870.987868285
2,Tracy McGrady,New York Knicks,9043471.647822807
3,Tim Duncan,San Antonio Spurs,8528513.857337955
4,Shaquille O'Neal,Cleveland Cavaliers,7642980.9358752165
5,Dirk Nowitzki,Dallas Mavericks,6791512.872960069
6,Paul Pierce,Boston Celtics,6791511.500640277
7,Ray Allen,Boston Celtics,6110406.784395147
8,Rashard Lewis,Orlando Magic,5621986.004257903
9,Michael Redd,Milwaukee Bucks,5032263.431542461
10,Pau Gasol,Los Angeles Lakers,4690958.474870018
11,Andrei Kirilenko,Utah Jazz,4690958.474870018
12,Kevin Garnett,Boston Celtics,4671045.644678267
13,Amar'e Stoudemire,Phoenix Suns,4649038.644811525
14,Yao Ming,Houston Rockets,4649038.644811525
15,Gilbert Arenas,Washington Wizards,4543907.360942807
16,Vince Carter,Orlando Magic,4505358.588604853
17,Zach Randolph,Memphis Grizzlies,4436741.767764298
18,Kenyon Martin,Denver Nuggets,4355322.443762929
19,Carmelo Anthony,Denver Nuggets,4315522.057673207
20,Dwyane Wade,Miami Heat,4315522.057673207
21,Chris Bosh,Toronto Raptors,4315522.057673207
22,LeBron James,Cleveland Cavaliers,4315522.057673207
23,Dwight Howard,Orlando Magic,4005524.1370554594
24,Joe Johnson,Atlanta Hawks,3887403.1261094627
25,Elton Brand,Philadelphia 76ers,3826242.4640343846
26,Richard Jefferson,San Antonio Spurs,3494627.383015598
27,Chris Paul,New Orleans Hornets,3168178.8604852688
28,Deron Williams,Utah Jazz,3168178.8604852688
29,Peja Stojakovic,New Orleans Hornets,3108243.7435008665
30,Jason Richardson,Phoenix Suns,3081070.055844437
31,Steve Nash,Phoenix Suns,2985539.4280762565
32,Tony Parker,San Antonio Spurs,2751473.136915078
33,Andrew Bynum,Los Angeles Lakers,2707972.2703639516
34,Carlos Boozer,Utah Jazz,2632209.8996533793
35,Brad Miller,Chicago Bulls,2600736.568457539
36,Andre Iguodala,Philadelphia 76ers,2579549.3934142115
37,Erick Dampier,Dallas Mavericks,2543940.0389948008
38,Baron Davis,LA Clippers,2537435.0086655114
39,Chauncey Billups,Denver Nuggets,2537435.0086655114
120,Samuel Dalembert,Philadelphia 76ers,2506365.965019688
121,Al Jefferson,Minnesota Timberwolves,2495667.2443674174
122,Tyson Chandler,Charlotte Bobcats,2372443.6741767763
123,Antawn Jamison,Washington Wizards,2348615.1264995667
124,Richard Hamilton,Detroit Pistons,2242471.8370883884
125,Bobby Simmons,New Jersey Nets,2190598.592505303
126,Troy Murphy,Indiana Pacers,2115249.316623241
127,Monta Ellis,Golden State Warriors,2097053.726169844
128,Josh Howard,Washington Wizards,2055322.357019064
129,Josh Smith,Atlanta Hawks,2021490.4679376082
130,Emeka Okafor,New Orleans Hornets,2020554.7010398614
131,Manu Ginobili,San Antonio Spurs,1994675.447086655
132,Nene Hilario,Denver Nuggets,1918031.1958405545
133,Eddy Curry,New York Knicks,1910899.1885429637
134,Chris Kaman,LA Clippers,1874523.396880416
135,Luol Deng,Chicago Bulls,1861927.6429809358
136,Tayshaun Prince,Detroit Pistons,1847362.6063154247
137,Danny Granger,Indiana Pacers,1778631.3734835356
138,Al Harrington,New York Knicks,1742430.1952448008
139,Andrew Bogut,Milwaukee Bucks,1733102.253032929
140,Ben Gordon,Detroit Pistons,1733102.253032929
141,Mike Dunleavy,Indiana Pacers,1658020.8752870709
142,Caron Butler,Washington Wizards,1658013.4166533796
143,Mike Miller,Washington Wizards,1658002.2287342981
144,Kevin Martin,Sacramento Kings,1624015.4459081457
145,Gerald Wallace,Charlotte Bobcats,1564124.7833622184
146,Cuttino Mobley,LA Clippers,1564124.7833622184
147,Kirk Hinrich,Chicago Bulls,1564124.7833622184
148,Jamal Crawford,Atlanta Hawks,1518363.9514731371
149,Marcus Camby,Portland Trail Blazers,1450996.533795494
150,Jason Terry,Dallas Mavericks,1427307.19237435
151,David West,New Orleans Hornets,1427307.19237435
152,Andris Biedrins,Golden State Warriors,1403812.8249566723
