,Player,Team,Salary
0,Stephen Curry,Golden State Warriors,14830441.192693459
1,Chris Paul,Oklahoma City Thunder,13585753.674329521
2,Russell Westbrook,Houston Rockets,13585753.674329521
3,John Wall,Washington Wizards,13369650.0
4,Kevin Durant,Brooklyn Nets,13369650.0
5,James Harden,Houston Rockets,13369650.0
6,LeBron James,Los Angeles Lakers,12841472.758953309
7,Kyle Lowry,Toronto Raptors,11221740.275972292
8,Blake Griffin,Detroit Pistons,10874106.831604324
9,Tobias Harris,Philadelphia 76ers,9822600.0
10,Jimmy Butler,Miami Heat,9822600.0
11,Kawhi Leonard,LA Clippers,9822600.0
12,Klay Thompson,Golden State Warriors,9822600.0
13,Kemba Walker,Boston Celtics,9822600.0
14,Gordon Hayward,Boston Celtics,9797829.636028038
15,Mike Conley,Utah Jazz,9684860.68460121
16,Kyrie Irving,Brooklyn Nets,9231762.54352208
17,Khris Middleton,Milwaukee Bucks,8581372.819211142
18,Paul George,LA Clippers,8557416.020615723
19,Paul Millsap,Denver Nuggets,8439824.995418727
20,Damian Lillard,Portland Trail Blazers,8137972.668013935
21,Kevin Love,Cleveland Cavaliers,7675347.337446399
22,Al Horford,Philadelphia 76ers,7183434.121312076
23,Nikola Vucevic,Orlando Magic,7183434.121312076
24,DeMar DeRozan,San Antonio Spurs,7050634.167130521
25,CJ McCollum,Portland Trail Blazers,6957907.177273969
26,Joel Embiid,Philadelphia 76ers,6931506.976698736
27,Andrew Wiggins,Minnesota Timberwolves,6931506.976698736
28,Nikola Jokic,Denver Nuggets,6931506.976698736
29,Devin Booker,Phoenix Suns,6821250.0
30,D'Angelo Russell,Minnesota Timberwolves,6821250.0
31,Karl-Anthony Towns,Minnesota Timberwolves,6821250.0
32,Kristaps Porzingis,Dallas Mavericks,6821250.0
33,Otto Porter Jr.,Chicago Bulls,6804048.358352804
34,Bradley Beal,Washington Wizards,6725597.201157789
35,Andre Drummond,Detroit Pistons,6725597.201157789
36,Anthony Davis,Los Angeles Lakers,6725596.704675865
37,Hassan Whiteside,Portland Trail Blazers,6725596.2081939615
38,Jrue Holiday,New Orleans Pelicans,6304482.172387035
39,LaMarcus Aldridge,San Antonio Spurs,6193879.42092725
