,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,10601440.959659914
1,Rashard Lewis,Washington Wizards,6600685.037411637
2,Tim Duncan,San Antonio Spurs,6112114.558182776
3,Kevin Garnett,Boston Celtics,6109949.025186686
4,Michael Redd,Milwaukee Bucks,5769588.587967749
5,Pau Gasol,Los Angeles Lakers,5472733.25408311
6,Andrei Kirilenko,Utah Jazz,5472733.25408311
7,Gilbert Arenas,Washington Wizards,5416193.055641169
8,Yao Ming,Houston Rockets,5388983.068189649
9,Zach Randolph,Memphis Grizzlies,5377146.432974227
10,Vince Carter,Phoenix Suns,5289670.347333488
11,Dirk Nowitzki,Dallas Mavericks,5143522.844564882
12,Carmelo Anthony,New York Knicks,5066786.153143288
13,Dwight Howard,Orlando Magic,4774457.341885466
14,Kenyon Martin,Denver Nuggets,4716285.026292399
15,Amar'e Stoudemire,New York Knicks,4682798.261066105
16,Joe Johnson,Atlanta Hawks,4591160.158672731
17,Elton Brand,Philadelphia 76ers,4387927.1051581735
18,Chris Paul,New Orleans Hornets,3845499.477351819
19,Deron Williams,Utah Jazz,3845499.477351819
20,Chris Bosh,Miami Heat,3622252.0846254565
21,LeBron James,Miami Heat,3622252.0846254565
22,Jason Richardson,Phoenix Suns,3594547.8185557337
23,Carlos Boozer,Chicago Bulls,3572462.2700020676
24,Dwyane Wade,Miami Heat,3473916.3393287854
25,Baron Davis,LA Clippers,3376748.673420164
26,Paul Pierce,Boston Celtics,3317350.3634318965
27,Andrew Bynum,Los Angeles Lakers,3233581.4209909723
28,Rudy Gay,Memphis Grizzlies,3188305.665744952
29,Brandon Roy,Portland Trail Blazers,3188305.665744952
30,Tony Parker,San Antonio Spurs,3139859.4169940045
31,Samuel Dalembert,Sacramento Kings,3106516.5812252946
32,Antawn Jamison,Cleveland Cavaliers,3074570.029615895
33,Nick Collison,Oklahoma City Thunder,3033782.992212804
34,Chauncey Billups,New York Knicks,2979162.3595892773
35,Al Jefferson,Utah Jazz,2911584.315346978
36,Tyson Chandler,Dallas Mavericks,2735166.4254703326
37,Richard Hamilton,Detroit Pistons,2691923.368479085
38,Andre Iguodala,Philadelphia 76ers,2625683.921895459
39,Manu Ginobili,San Antonio Spurs,2421114.3582981187
120,Chris Kaman,LA Clippers,2398869.822892978
121,Marcus Camby,Portland Trail Blazers,2378515.471508235
122,Josh Smith,Atlanta Hawks,2358383.2954310523
123,Eddy Curry,Dallas Mavericks,2290582.1768049067
124,Emeka Okafor,New Orleans Hornets,2276463.114189236
125,Nene Hilario,Denver Nuggets,2223306.457170422
126,Luol Deng,Chicago Bulls,2217438.925642616
127,LaMarcus Aldridge,Portland Trail Blazers,2178132.726896837
128,Tayshaun Prince,Detroit Pistons,2141390.144331886
129,Monta Ellis,Golden State Warriors,2084625.4565502033
130,Andrew Bogut,Milwaukee Bucks,2084625.4565502033
131,Danny Granger,Indiana Pacers,2074480.7754945215
132,David Lee,Golden State Warriors,2009510.026876163
133,Jamal Crawford,Atlanta Hawks,2009510.026876163
134,Ben Gordon,Detroit Pistons,2009510.026876163
135,Kevin Martin,Houston Rockets,1935774.6881680277
136,Mike Dunleavy,Indiana Pacers,1921912.7905770796
137,Caron Butler,Dallas Mavericks,1921904.0562607676
138,Gerald Wallace,Charlotte Bobcats,1899421.1287988422
139,Steve Nash,Phoenix Suns,1831635.3531776583
140,Hedo Turkoglu,Phoenix Suns,1798008.2561935773
141,Ray Allen,Boston Celtics,1722830.955826614
142,Mehmet Okur,Utah Jazz,1703931.9309489354
143,Jason Terry,Dallas Mavericks,1679348.9249534835
144,Corey Maggette,Milwaukee Bucks,1587761.0088898076
145,Cuttino Mobley,LA Clippers,1554854.9376335195
146,Mo Williams,LA Clippers,1490076.4936944386
147,Kirk Hinrich,Washington Wizards,1426676.3145200193
148,Rajon Rondo,Boston Celtics,1423827.8342278444
149,Andris Biedrins,Golden State Warriors,1395493.0742195577
150,Boris Diaw,Charlotte Bobcats,1395493.0742195577
151,Jose Calderon,Toronto Raptors,1395493.0742195577
