,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,15805215.477053547
1,Dirk Nowitzki,Dallas Mavericks,8798056.452004312
2,Amar'e Stoudemire,New York Knicks,8009982.455247175
3,Joe Johnson,Brooklyn Nets,7853235.087365566
4,Carmelo Anthony,New York Knicks,7796440.13081697
5,Dwight Howard,Houston Rockets,7171057.306015507
6,Pau Gasol,Los Angeles Lakers,6338622.168450382
7,Chris Bosh,Miami Heat,6195905.79679272
8,LeBron James,Miami Heat,6195905.79679272
9,Dwyane Wade,Miami Heat,5942175.718740947
10,Chris Paul,LA Clippers,5939268.15388403
11,Deron Williams,Brooklyn Nets,5811243.497280118
12,Zach Randolph,Memphis Grizzlies,5668753.568037782
13,Rudy Gay,Toronto Raptors,5453635.680577788
14,Kevin Durant,Oklahoma City Thunder,5419359.323116089
15,Derrick Rose,Chicago Bulls,5298517.120355561
16,Blake Griffin,LA Clippers,4606808.606997392
17,Paul Pierce,Brooklyn Nets,4006733.7813452175
18,Carlos Boozer,Chicago Bulls,3989331.788203616
19,LaMarcus Aldridge,Portland Trail Blazers,3772301.5729647744
20,Marc Gasol,Memphis Grizzlies,3763444.2276372975
21,Brook Lopez,Brooklyn Nets,3679525.44414247
22,Russell Westbrook,Oklahoma City Thunder,3679525.44414247
23,Kevin Love,Minnesota Timberwolves,3679525.44414247
24,Emeka Okafor,Philadelphia 76ers,3576878.546839585
25,Eric Gordon,New Orleans Pelicans,3477022.434198538
26,Roy Hibbert,Indiana Pacers,3477022.434198538
27,Luol Deng,Cleveland Cavaliers,3472718.0933553744
28,Tyson Chandler,New York Knicks,3388353.105701256
29,Andrew Bogut,Golden State Warriors,3340206.8883246137
30,David Lee,Golden State Warriors,3282245.505206292
31,James Harden,Houston Rockets,3199172.6437481893
32,Al Jefferson,Charlotte Bobcats,3105881.149985514
33,Josh Smith,Detroit Pistons,3105881.149985514
34,Nene Hilario,Washington Wizards,2880076.347586019
35,Andre Iguodala,Golden State Warriors,2822162.7763156155
36,Tony Parker,San Antonio Spurs,2662792.481126127
37,Kevin Garnett,Brooklyn Nets,2634635.321839585
38,Serge Ibaka,Oklahoma City Thunder,2599268.903696382
39,Nikola Pekovic,Minnesota Timberwolves,2495100.461834728
120,Al Horford,Atlanta Hawks,2454029.5506058387
121,Kris Humphries,Boston Celtics,2454029.5506058387
122,David West,Indiana Pacers,2454029.5506058387
123,Rajon Rondo,Boston Celtics,2435473.442918676
124,Andrea Bargnani,New York Knicks,2398113.571294671
125,Tyreke Evans,New Orleans Pelicans,2371401.068269892
126,Nicolas Batum,Portland Trail Blazers,2174247.5598169705
127,Joakim Noah,Chicago Bulls,2099729.0342371208
128,Richard Jefferson,Utah Jazz,2079348.9323267266
129,DeAndre Jordan,LA Clippers,2057026.8904122429
130,Ty Lawson,Denver Nuggets,1982803.8819899624
131,JaVale McGee,Denver Nuggets,1969401.3190408836
132,Tim Duncan,San Antonio Spurs,1829607.9212480783
133,Danilo Gallinari,Oklahoma City Thunder,1754632.610569795
134,Gerald Wallace,Boston Celtics,1740457.4938397892
135,Tiago Splitter,San Antonio Spurs,1704187.1879207212
136,Stephen Curry,Golden State Warriors,1666106.5171554391
137,Jrue Holiday,New Orleans Pelicans,1607930.8000861637
138,DeMar DeRozan,Toronto Raptors,1538028.9370984507
139,Paul Millsap,Atlanta Hawks,1538028.9370984507
140,Shawn Marion,Dallas Mavericks,1479280.282649943
141,Steve Nash,Los Angeles Lakers,1474109.9925015764
142,Anderson Varejao,Cleveland Cavaliers,1391568.9486953765
143,Thaddeus Young,Philadelphia 76ers,1334762.0102592069
144,Kendrick Perkins,Oklahoma City Thunder,1298047.9658646025
145,Jeff Green,Boston Celtics,1289899.282537194
146,Mike Conley,Memphis Grizzlies,1260417.1373063787
147,Charlie Villanueva,Detroit Pistons,1254561.25700847
148,Rodney Stuckey,Detroit Pistons,1231275.243272721
149,Jeremy Lin,Houston Rockets,1195226.4971338299
150,Omer Asik,Houston Rockets,1195226.4971338299
151,Ryan Anderson,New Orleans Pelicans,1176420.393155984
152,Marcus Thornton,Sacramento Kings,1104355.9024523254
153,O.J. Mayo,Milwaukee Bucks,1090679.8002692615
154,George Hill,Indiana Pacers,1090679.8002692615
155,Monta Ellis,Dallas Mavericks,1090679.8002692615
156,Jeff Teague,Atlanta Hawks,1090679.8002692615
157,Ersan Ilyasova,Milwaukee Bucks,1063583.2239813223
158,Trevor Ariza,Washington Wizards,1017584.7611308986
159,Marcin Gortat,Washington Wizards,1017584.7611308986
160,Brandon Jennings,Detroit Pistons,998768.3188706181
161,John Salmons,Toronto Raptors,979939.8251503945
162,Taj Gibson,Chicago Bulls,971429.301794509
163,Manu Ginobili,San Antonio Spurs,958605.2932054057
164,Arron Afflalo,Orlando Magic,958605.2932054057
165,Marvin Williams,Utah Jazz,958605.2932054057
166,Goran Dragic,Phoenix Suns,958605.2932054057
167,John Wall,Washington Wizards,948388.3673141157
