,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,8928571.42857143
1,LeBron James,Cleveland Cavaliers,7537769.575
2,Carmelo Anthony,New York Knicks,7475223.214285715
3,Dwight Howard,Houston Rockets,7142016.549778514
4,Chris Bosh,Miami Heat,7035960.92647
5,Chris Paul,LA Clippers,6584355.214328928
6,Kevin Durant,Oklahoma City Thunder,5805286.299126915
7,Derrick Rose,Chicago Bulls,5767588.870115656
8,Dwyane Wade,Miami Heat,5714285.714285714
9,LaMarcus Aldridge,San Antonio Spurs,5537953.157142857
10,DeAndre Jordan,LA Clippers,5537953.157142857
11,Brook Lopez,Brooklyn Nets,5537953.157142857
12,Kevin Love,Cleveland Cavaliers,5537953.157142857
13,Marc Gasol,Memphis Grizzlies,5537390.628571429
14,Blake Griffin,LA Clippers,5107172.892729657
15,Paul Millsap,Atlanta Hawks,4980440.711604014
16,Paul George,Indiana Pacers,4187114.7064462285
17,Russell Westbrook,Oklahoma City Thunder,4005269.0918789143
18,Kyrie Irving,Cleveland Cavaliers,3845801.272357157
19,Greg Monroe,Milwaukee Bucks,3845800.8035714286
20,Wesley Matthews,Dallas Mavericks,3845800.8035714286
21,Jimmy Butler,Chicago Bulls,3845800.8035714286
22,Kawhi Leonard,San Antonio Spurs,3845800.8035714286
23,Enes Kanter,Oklahoma City Thunder,3845800.8035714286
24,Tobias Harris,Orlando Magic,3657142.857142857
25,John Wall,Washington Wizards,3589775.982892857
26,DeMarcus Cousins,Sacramento Kings,3589775.982892857
27,James Harden,Houston Rockets,3546647.692112057
28,Roy Hibbert,Los Angeles Lakers,3473103.2996441284
29,Eric Gordon,New Orleans Pelicans,3438359.3981280145
30,Klay Thompson,Golden State Warriors,3432585.7285714285
31,Gordon Hayward,Utah Jazz,3392212.1083557145
32,Chandler Parsons,Dallas Mavericks,3371081.1750000003
33,Goran Dragic,Miami Heat,3121958.4142857143
34,Khris Middleton,Milwaukee Bucks,3087000.0
35,Draymond Green,Golden State Warriors,2905320.1879557143
36,Tristan Thompson,Cleveland Cavaliers,2905320.1879557143
37,Danilo Gallinari,Denver Nuggets,2800000.0
38,Reggie Jackson,Detroit Pistons,2765325.619227657
39,Andrew Bogut,Golden State Warriors,2720571.4285714286
120,DeMarre Carroll,Toronto Raptors,2642285.714285714
121,Eric Bledsoe,Phoenix Suns,2603571.4285714286
122,Al Jefferson,Charlotte Hornets,2603571.4285714286
123,Brandon Knight,Phoenix Suns,2603571.4285714286
124,Tony Parker,San Antonio Spurs,2579520.0892857146
125,Joakim Noah,Chicago Bulls,2565142.857142857
126,Nicolas Batum,Charlotte Hornets,2461052.251337657
127,Tyson Chandler,Phoenix Suns,2414285.7142857146
128,Nene Hilario,Washington Wizards,2414285.7142857146
129,Ricky Rubio,Minnesota Timberwolves,2304142.8571428573
130,Robin Lopez,New York Knicks,2286035.714285714
131,Rudy Gay,Sacramento Kings,2197670.205945729
132,Serge Ibaka,Oklahoma City Thunder,2143750.0
133,Nikola Pekovic,Minnesota Timberwolves,2091571.4285714284
134,Kyle Lowry,Toronto Raptors,2057142.8571428573
135,Al Horford,Atlanta Hawks,2057142.8571428573
136,Amir Johnson,Boston Celtics,2057142.8571428573
137,Derrick Favors,Utah Jazz,2057142.8571428573
138,Kemba Walker,Charlotte Hornets,2057142.8571428573
139,Andre Iguodala,Golden State Warriors,1959068.281827657
140,Stephen Curry,Golden State Warriors,1847068.2036828
141,Nikola Vucevic,Orlando Magic,1808035.7142857143
142,Kenneth Faried,Denver Nuggets,1803524.0680289287
143,Thaddeus Young,Brooklyn Nets,1803524.0680289287
144,Marcin Gortat,Washington Wizards,1797569.4406697284
145,Tyreke Evans,New Orleans Pelicans,1646161.9513056572
146,Jrue Holiday,New Orleans Pelicans,1603782.4083864142
147,Brendan Haywood,Portland Trail Blazers,1581757.2321428573
148,Wilson Chandler,Brooklyn Nets,1559867.9216549143
149,Monta Ellis,Indiana Pacers,1515571.4285714284
150,Luol Deng,Miami Heat,1472217.517122057
151,Gerald Wallace,Philadelphia 76ers,1458975.7897289286
152,DeMar DeRozan,Toronto Raptors,1442892.857142857
153,Danny Green,San Antonio Spurs,1428571.4285714284
154,Tiago Splitter,Atlanta Hawks,1359777.34375
155,Jeff Green,Memphis Grizzlies,1330321.4285714284
156,Zach Randolph,Memphis Grizzlies,1327167.7498289286
157,Mike Conley,Memphis Grizzlies,1313398.7593925141
158,Rajon Rondo,Sacramento Kings,1289285.714285714
159,Alec Burks,Utah Jazz,1279393.2774036573
160,Omer Asik,New Orleans Pelicans,1212689.5570184144
161,Lance Stephenson,Memphis Grizzlies,1157142.857142857
162,Iman Shumpert,Cleveland Cavaliers,1154255.6603603573
163,Taj Gibson,Chicago Bulls,1032142.8571428572
164,Kevin Garnett,Minnesota Timberwolves,1032142.8571428572
165,Ryan Anderson,New Orleans Pelicans,1032142.8571428572
166,Brandon Jennings,Orlando Magic,994723.2883287
167,Dirk Nowitzki,Dallas Mavericks,992063.6507936572
168,Corey Brewer,Houston Rockets,967465.8984375
169,Trevor Ariza,Houston Rockets,958939.1511557143
170,Channing Frye,Orlando Magic,958938.9170691571
171,Al-Farouq Aminu,Portland Trail Blazers,924116.5711575
172,Arron Afflalo,New York Knicks,914285.7142857142
173,O.J. Mayo,Milwaukee Bucks,914285.7142857142
174,George Hill,Indiana Pacers,914285.7142857142
175,Markieff Morris,Washington Wizards,914285.7142857142
176,Jeff Teague,Atlanta Hawks,914285.7142857142
177,Ersan Ilyasova,Orlando Magic,891571.4285714285
178,Avery Bradley,Boston Celtics,853687.2876224143
179,Kosta Koufos,Sacramento Kings,847000.0
180,Boris Diaw,San Antonio Spurs,803571.4285714285
181,Pau Gasol,Chicago Bulls,792628.9362514286
182,Jose Calderon,New York Knicks,782880.3643906285
183,JJ Redick,LA Clippers,717103.2142857143
184,Anthony Davis,New Orleans Pelicans,714217.4676128571
185,Cory Joseph,Toronto Raptors,700000.0
186,Marvin Williams,Charlotte Hornets,700000.0
187,Lou Williams,Los Angeles Lakers,700000.0
188,Rodney Stuckey,Indiana Pacers,700000.0
189,Ed Davis,Portland Trail Blazers,696165.6651886286
190,Isaiah Thomas,Boston Celtics,682682.2544451571
191,Jae Crowder,Boston Celtics,659817.2325384143
192,Greivis Vasquez,Milwaukee Bucks,622285.7142857143
