,Player,Team,Salary
0,Stephen Curry,Golden State Warriors,13772967.102648655
1,Chris Paul,Houston Rockets,12478952.5
2,LeBron James,Los Angeles Lakers,12478952.5
3,Russell Westbrook,Oklahoma City Thunder,12478952.5
4,Blake Griffin,Detroit Pistons,10108075.635380968
5,Gordon Hayward,Boston Celtics,9564560.487950457
6,Kyle Lowry,Toronto Raptors,9555802.059507798
7,Paul George,Oklahoma City Thunder,9168210.0
8,Mike Conley,Memphis Grizzlies,9144474.382228402
9,James Harden,Houston Rockets,9085091.64512576
10,Kevin Durant,Golden State Warriors,8834876.164485762
11,Paul Millsap,Denver Nuggets,8387614.056595833
12,Al Horford,Boston Celtics,8215160.69075657
13,Damian Lillard,Portland Trail Blazers,7683898.750166596
14,DeMar DeRozan,San Antonio Spurs,7553880.110736583
15,Otto Porter Jr.,Washington Wizards,6642056.149756736
16,Jrue Holiday,New Orleans Pelicans,6623784.8872995805
17,CJ McCollum,Portland Trail Blazers,6513910.457300612
18,Joel Embiid,Philadelphia 76ers,6366812.5
19,Andrew Wiggins,Minnesota Timberwolves,6366812.5
20,Bradley Beal,Washington Wizards,6350329.6817792365
21,Anthony Davis,New Orleans Pelicans,6350329.6817792365
22,Andre Drummond,Detroit Pistons,6350329.6817792365
23,Hassan Whiteside,Miami Heat,6350329.182426881
24,Nikola Jokic,Denver Nuggets,5943073.280809284
25,Steven Adams,Oklahoma City Thunder,5728683.782444208
26,Giannis Antetokounmpo,Milwaukee Bucks,5728683.782444208
27,Marc Gasol,Memphis Grizzlies,5710543.60944571
28,Kevin Love,Cleveland Cavaliers,5710543.60944571
29,Harrison Barnes,Sacramento Kings,5704972.938563881
30,Chandler Parsons,Memphis Grizzlies,5704972.938563881
31,Nicolas Batum,Charlotte Hornets,5654320.745270887
32,Rudy Gobert,Utah Jazz,5302601.532500849
33,Kawhi Leonard,Toronto Raptors,5244579.737510813
34,DeAndre Jordan,New York Knicks,5146627.21573786
35,LaMarcus Aldridge,San Antonio Spurs,4902267.416095426
36,Serge Ibaka,Toronto Raptors,4608315.178208179
37,Aaron Gordon,Orlando Magic,4576145.357726894
38,Danilo Gallinari,LA Clippers,4574733.89432743
39,Victor Oladipo,Indiana Pacers,4329089.320598023
120,Jimmy Butler,Philadelphia 76ers,4103602.4592058524
121,Ryan Anderson,Phoenix Suns,4093880.7785500595
122,Kyrie Irving,Boston Celtics,3965655.876250096
123,Jabari Parker,Washington Wizards,3926611.628660338
124,Zach LaVine,Chicago Bulls,3732735.179495234
125,Tyler Johnson,Phoenix Suns,3678163.292587775
126,Tim Hardaway Jr.,New York Knicks,3618813.150380675
127,John Wall,Washington Wizards,3607390.1976067303
128,George Hill,Milwaukee Bucks,3543766.9948659553
129,Jeff Teague,Minnesota Timberwolves,3543766.9948659553
130,Klay Thompson,Golden State Warriors,3539562.3509176
131,Allen Crabbe,Brooklyn Nets,3359707.0747725023
132,Goran Dragic,Miami Heat,3219254.328408299
133,Kent Bazemore,Atlanta Hawks,3212400.3541093855
134,Evan Turner,Portland Trail Blazers,3134377.558782446
135,Draymond Green,Golden State Warriors,2995864.308957828
136,Tristan Thompson,Cleveland Cavaliers,2995864.308957828
137,Evan Fournier,Orlando Magic,2887262.071876626
138,Reggie Jackson,Detroit Pistons,2851506.7619833704
139,Bismack Biyombo,Charlotte Hornets,2836976.9017070946
140,Derrick Favors,Utah Jazz,2803698.868154198
141,Jonas Valanciunas,Memphis Grizzlies,2685304.7004905907
142,Gary Harris,Denver Nuggets,2678337.8640454803
143,Timofey Mozgov,Orlando Magic,2513031.4423426166
144,Andre Iguodala,Golden State Warriors,2513031.4423426166
145,Ian Mahinmi,Washington Wizards,2495519.2136539673
146,Dennis Schroder,Oklahoma City Thunder,2358421.1094641155
147,DeMarre Carroll,Brooklyn Nets,2328088.034632715
148,Gorgui Dieng,Minnesota Timberwolves,2259301.4381153146
149,Trevor Ariza,Washington Wizards,2208719.0411214405
150,Eric Bledsoe,Milwaukee Bucks,2208719.0411214405
151,Ricky Rubio,Utah Jazz,2201362.779648372
152,Tobias Harris,Philadelphia 76ers,2150212.527854401
153,JR Smith,Cleveland Cavaliers,2127029.8127987906
154,James Johnson,Miami Heat,2107337.0003632116
155,Luke Babbitt,Miami Heat,2107337.0003632116
156,Brandon Knight,Houston Rockets,2101458.5061451476
157,Robin Lopez,Chicago Bulls,2023628.2388410605
158,Marvin Williams,Charlotte Hornets,1948165.3520698154
159,Taj Gibson,Minnesota Timberwolves,1924039.698043566
160,Thaddeus Young,Indiana Pacers,1914169.6960019732
161,Clint Capela,Houston Rockets,1867591.8871768252
