,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
501,501,Tyreke Evans,198.12,99.79024,1,1,10,1,4,2019
502,502,Tyrone Wallace,195.58,89.811216,1,1,3,2,60,2019
503,503,Tyson Chandler,215.9,108.86208,0,1,18,1,2,2019
504,504,Tyus Jones,187.96,88.904032,1,1,4,1,24,2019
505,505,Udonis Haslem,203.2,106.59411999999999,1,1,15,Undrafted,Undrafted,2019
506,506,Victor Oladipo,193.04,95.25432,1,1,6,1,2,2019
507,507,Vince Carter,198.12,99.79024,1,1,21,1,5,2019
508,508,Vince Edwards,203.2,102.0582,1,1,1,2,52,2019
509,509,Wade Baldwin,193.04,90.7184,1,1,3,1,17,2019
510,510,Walt Lemon Jr,190.5,81.64656,0,1,2,Undrafted,Undrafted,2019
511,511,Wayne Ellington,195.58,90.7184,1,1,10,1,28,2019
512,512,Wayne Selden,195.58,104.32616,1,1,3,Undrafted,Undrafted,2019
513,513,Wendell Carter Jr,208.28,115.66596000000001,1,1,1,1,7,2019
514,514,Wesley Iwundu,200.66,88.45044,1,1,2,2,33,2019
515,515,Wesley Johnson,200.66,97.52228000000001,1,1,9,1,4,2019
516,516,Wesley Matthews,195.58,99.79024,1,1,10,Undrafted,Undrafted,2019
517,517,Will Barton,198.12,86.18248,1,1,7,2,40,2019
518,518,Willie Cauley-Stein,213.36,108.86208,1,1,4,1,6,2019
519,519,Willy Hernangomez,210.82,108.86208,0,0,4,2,35,2019
520,520,Wilson Chandler,205.74,102.0582,1,1,12,1,23,2019
521,521,Yante Maten,203.2,108.86208,0,1,1,Undrafted,Undrafted,2019
522,522,Yogi Ferrell,182.88,81.64656,1,1,3,Undrafted,Undrafted,2019
523,523,Yuta Watanabe,205.74,92.98635999999999,1,0,1,Undrafted,Undrafted,2019
524,524,Zach Collins,213.36,106.59411999999999,1,1,2,1,10,2019
525,525,Zach LaVine,195.58,90.7184,1,1,5,1,13,2019
526,526,Zach Lofton,193.04,81.64656,1,1,1,Undrafted,Undrafted,2019
527,527,Zaza Pachulia,210.82,122.46983999999999,0,0,16,2,42,2019
528,528,Zhaire Smith,193.04,90.264808,1,1,1,1,16,2019
529,529,Zhou Qi,215.9,95.25432,0,0,3,2,43,2019
