,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,Aaron Brooks,182.88,73.028312,1,1,9,1,26,2016
1,Aaron Gordon,205.74,99.79024,1,1,2,1,4,2016
2,Aaron Harrison,198.12,95.25431999999999,1,1,1,Undrafted,Undrafted,2016
3,Adreian Payne,208.28,107.501304,1,1,2,1,15,2016
4,Al Horford,208.28,111.13004,1,0,9,1,3,2016
5,Al Jefferson,208.28,131.088088,0,1,12,1,15,2016
6,Al-Farouq Aminu,205.74,97.52228,1,1,6,1,8,2016
7,Alan Anderson,198.12,99.79024,1,1,5,Undrafted,Undrafted,2016
8,Alan Williams,203.2,117.93392,1,1,1,Undrafted,Undrafted,2016
9,Alec Burks,198.12,97.068688,1,1,5,1,12,2016
10,Alex Len,215.9,117.93392,1,0,3,1,5,2016
11,Alex Stepheson,208.28,122.46984,1,1,1,Undrafted,Undrafted,2016
12,Alexis Ajinca,218.44,112.490816,0,0,8,1,20,2016
13,Allen Crabbe,198.12,95.25431999999999,1,1,3,2,31,2016
14,Alonzo Gee,198.12,102.0582,1,1,7,Undrafted,Undrafted,2016
15,Amar'e Stoudemire,208.28,111.13004,0,1,14,1,9,2016
16,Amir Johnson,205.74,108.86208,0,1,11,2,56,2016
17,Anderson Varejao,210.82,123.83061599999999,0,0,12,2,30,2016
18,Andre Drummond,210.82,126.552168,1,1,4,1,9,2016
19,Andre Iguodala,198.12,97.52228,1,1,12,1,9,2016
20,Andre Miller,190.5,90.7184,1,1,17,1,8,2016
21,Andre Roberson,200.66,95.25431999999999,1,1,3,1,26,2016
22,Andrea Bargnani,213.36,111.13004,0,0,10,1,1,2016
23,Andrew Bogut,213.36,117.93392,1,0,11,1,1,2016
24,Andrew Goudelock,190.5,90.7184,1,1,5,2,46,2016
25,Andrew Nicholson,205.74,113.398,1,0,4,1,19,2016
26,Andrew Wiggins,203.2,90.264808,1,0,2,1,1,2016
27,Anthony Bennett,203.2,111.13004,1,0,3,1,1,2016
28,Anthony Brown,200.66,95.25431999999999,1,1,1,2,34,2016
29,Anthony Davis,208.28,114.758776,1,1,4,1,1,2016
30,Anthony Morrow,195.58,95.25431999999999,1,1,8,Undrafted,Undrafted,2016
31,Anthony Tolliver,203.2,108.86208,1,1,8,Undrafted,Undrafted,2016
