,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,0,Aaron Brooks,182.88,73.028312,1,1,11,1,26,2018
1,1,Aaron Gordon,205.74,99.79024,1,1,4,1,4,2018
2,2,Aaron Harrison,198.12,95.25432,1,1,3,Undrafted,Undrafted,2018
3,3,Aaron Jackson,190.5,83.007336,0,1,1,Undrafted,Undrafted,2018
4,4,Abdel Nader,198.12,104.32616,1,0,2,2,58,2018
5,5,Adreian Payne,208.28,107.501304,1,1,4,1,15,2018
6,6,Al Horford,208.28,111.13004,1,0,11,1,3,2018
7,7,Al Jefferson,208.28,127.00576000000001,0,1,14,1,15,2018
8,8,Al-Farouq Aminu,205.74,99.79024,1,1,8,1,8,2018
9,9,Alan Williams,203.2,120.20188,1,1,3,Undrafted,Undrafted,2018
10,10,Alec Burks,198.12,97.068688,1,1,7,1,12,2018
11,11,Alec Peters,205.74,106.59411999999999,1,1,1,2,54,2018
12,12,Alex Abrines,198.12,86.18248,0,0,5,2,32,2018
13,13,Alex Caruso,195.58,84.368112,1,1,1,Undrafted,Undrafted,2018
14,14,Alex Len,215.9,113.398,1,0,5,1,5,2018
15,15,Alex Poythress,205.74,106.59411999999999,1,1,2,Undrafted,Undrafted,2018
16,16,Alfonzo McKinnie,203.2,97.52228000000001,0,1,1,Undrafted,Undrafted,2018
17,17,Allen Crabbe,198.12,97.52228000000001,1,1,5,2,31,2018
18,18,Amir Johnson,205.74,108.86208,0,1,13,2,56,2018
19,19,Andre Drummond,210.82,126.552168,1,1,6,1,9,2018
20,20,Andre Iguodala,198.12,97.52228000000001,1,1,14,1,9,2018
21,21,Andre Ingram,190.5,86.18248,1,1,1,Undrafted,Undrafted,2018
22,22,Andre Roberson,200.66,95.25432,1,1,5,1,26,2018
23,23,Andrew Bogut,213.36,117.93392,1,0,13,1,1,2018
24,24,Andrew Harrison,198.12,96.615096,1,1,3,2,44,2018
25,25,Andrew White,200.66,95.25432,1,1,1,Undrafted,Undrafted,2018
26,26,Andrew Wiggins,203.2,91.625584,1,0,4,1,1,2018
27,27,Ante Zizic,210.82,113.398,0,0,2,1,23,2018
28,28,Anthony Brown,200.66,101.604608,1,1,3,2,34,2018
29,29,Anthony Davis,208.28,114.758776,1,1,6,1,1,2018
30,30,Anthony Tolliver,203.2,108.86208,1,1,10,Undrafted,Undrafted,2018
31,31,Antonio Blakeney,193.04,89.357624,1,1,1,Undrafted,Undrafted,2018
32,32,Antonius Cleveland,198.12,88.45044,1,1,1,Undrafted,Undrafted,2018
33,33,Aron Baynes,208.28,117.93392,1,0,6,Undrafted,Undrafted,2018
34,34,Arron Afflalo,195.58,95.25432,1,1,11,1,27,2018
35,35,Austin Rivers,193.04,90.7184,1,1,6,1,10,2018
36,36,Avery Bradley,187.96,81.64656,1,1,8,1,19,2018
37,37,Bam Adebayo,208.28,115.66596000000001,1,1,1,1,14,2018
38,38,Ben McLemore,195.58,88.45044,1,1,5,1,7,2018
