,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,AJ Price,187.96,83.91452,1,1,3,2,52,2012
1,Aaron Gray,213.36,122.46984,1,1,5,2,49,2012
2,Al Harrington,205.74,113.398,0,1,14,1,25,2012
3,Al Horford,208.28,113.398,1,0,5,1,3,2012
4,Al Jefferson,208.28,131.088088,0,1,8,1,15,2012
5,Al-Farouq Aminu,205.74,97.52228,1,1,2,1,8,2012
6,Alan Anderson,198.12,99.79024,1,1,1,Undrafted,Undrafted,2012
7,Alec Burks,198.12,91.625584,1,1,1,1,12,2012
8,Alonzo Gee,198.12,99.336648,1,1,3,Undrafted,Undrafted,2012
9,Amar'e Stoudemire,210.82,117.93392,0,1,10,1,9,2012
10,Amir Johnson,205.74,95.25431999999999,0,1,7,2,56,2012
11,Anderson Varejao,210.82,117.93392,0,0,8,2,30,2012
12,Andray Blatche,210.82,117.93392,0,1,7,2,49,2012
13,Andre Emmett,195.58,104.32616,1,1,8,2,35,2012
14,Andre Iguodala,198.12,93.893544,1,1,8,1,9,2012
15,Andre Miller,187.96,90.7184,1,1,13,1,8,2012
16,Andrea Bargnani,213.36,116.119552,0,0,6,1,1,2012
17,Andres Nocioni,200.66,102.0582,0,0,8,Undrafted,Undrafted,2012
18,Andrew Bogut,213.36,117.93392,1,0,7,1,1,2012
19,Andrew Bynum,213.36,129.27372,0,1,7,1,10,2012
20,Andrew Goudelock,190.5,90.7184,1,1,1,2,46,2012
21,Andris Biedrins,213.36,109.76926399999999,0,0,8,1,11,2012
22,Antawn Jamison,205.74,106.59412,1,1,14,1,4,2012
23,Anthony Carter,185.42,86.18248,1,1,8,Undrafted,Undrafted,2012
24,Anthony Morrow,195.58,95.25431999999999,1,1,4,Undrafted,Undrafted,2012
25,Anthony Parker,198.12,95.25431999999999,1,1,15,1,21,2012
26,Anthony Randolph,210.82,102.0582,1,1,4,1,14,2012
27,Anthony Tolliver,203.2,108.86208,1,1,4,Undrafted,Undrafted,2012
28,Armon Johnson,190.5,88.45044,1,1,2,2,34,2012
29,Arron Afflalo,195.58,97.52228,1,1,5,1,27,2012
30,Austin Daye,210.82,90.7184,1,1,3,1,15,2012
31,Avery Bradley,187.96,81.64656,1,1,2,1,19,2012
32,Baron Davis,190.5,96.161504,1,1,13,1,3,2012
33,Ben Gordon,190.5,90.7184,1,1,8,1,3,2012
34,Ben Uzoh,190.5,92.98636,1,1,2,Undrafted,Undrafted,2012
35,Ben Wallace,205.74,108.86208,1,1,8,Undrafted,Undrafted,2012
36,Beno Udrih,190.5,92.079176,0,0,8,1,28,2012
37,Bismack Biyombo,205.74,111.13004,0,0,1,1,7,2012
38,Blake Ahearn,187.96,86.18248,1,1,1,Undrafted,Undrafted,2012
39,Blake Griffin,208.28,113.851592,1,1,3,1,1,2012
40,Bobby Simmons,198.12,106.59412,1,1,11,2,41,2012
41,Boris Diaw,203.2,106.59412,0,0,9,1,21,2012
42,Brad Miller,213.36,118.38751200000002,1,1,8,Undrafted,Undrafted,2012
43,Brandan Wright,208.28,95.25431999999999,1,1,5,1,8,2012
44,Brandon Bass,203.2,113.398,1,1,7,2,33,2012
45,Brandon Jennings,185.42,76.657048,0,1,3,1,10,2012
46,Brandon Knight,190.5,85.728888,1,1,1,1,8,2012
47,Brandon Rush,198.12,102.0582,1,1,4,1,13,2012
48,Brendan Haywood,213.36,119.294696,1,1,11,1,20,2012
49,Brian Cardinal,203.2,108.86208,1,1,12,2,44,2012
50,Brian Cook,205.74,113.398,1,1,9,1,24,2012
51,Brian Scalabrine,205.74,106.59412,1,1,11,2,34,2012
52,Brian Skinner,205.74,115.66596,1,1,14,1,22,2012
53,Brook Lopez,213.36,120.20188,1,1,4,1,10,2012
54,Byron Mullens,213.36,124.7378,1,1,3,1,24,2012
55,C.J. Watson,187.96,79.3786,1,1,5,Undrafted,Undrafted,2012
56,CJ Miles,198.12,100.697424,0,1,7,2,34,2012
57,Carl Landry,205.74,112.490816,1,1,5,2,31,2012
58,Carldell Johnson,177.8,81.64656,1,1,1,Undrafted,Undrafted,2012
59,Carlos Boozer,205.74,120.655472,1,1,10,2,34,2012
60,Carlos Delfino,198.12,104.32616,0,0,9,1,25,2012
61,Carmelo Anthony,203.2,104.32616,1,1,9,1,3,2012
62,Caron Butler,200.66,103.418976,1,1,10,1,10,2012
63,Cartier Martin,200.66,99.79024,1,1,4,Undrafted,Undrafted,2012
64,Chandler Parsons,205.74,102.965384,1,1,1,2,38,2012
65,Channing Frye,210.82,111.13004,1,1,7,1,8,2012
