,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
44,Brandon Knight,187.96,82.553744,1,1,9,1,8,2020
45,Brian Bowen II,198.12,86.18248,0,1,1,Undrafted,Undrafted,2020
46,Brook Lopez,213.36,127.912944,1,1,12,1,10,2020
47,Bruce Brown,193.04,91.625584,1,1,2,2,42,2020
48,Bruno Caboclo,205.74,98.883056,0,0,6,1,20,2020
49,Bruno Fernando,205.74,108.86208,1,0,1,2,34,2020
50,Bryn Forbes,187.96,92.98636,1,1,4,Undrafted,Undrafted,2020
51,Buddy Hield,193.04,99.79024,1,0,4,1,6,2020
52,CJ McCollum,190.5,86.18248,1,1,7,1,10,2020
53,CJ Miles,198.12,99.79024,0,1,15,2,34,2020
54,Caleb Martin,195.58,92.98636,0,1,1,Undrafted,Undrafted,2020
55,Caleb Swanigan,205.74,117.93392,1,1,3,1,26,2020
56,Cam Reddish,203.2,98.883056,1,1,1,1,10,2020
57,Cameron Johnson,203.2,95.25431999999999,1,1,1,1,11,2020
58,Caris LeVert,198.12,92.98636,1,1,4,1,20,2020
59,Carmelo Anthony,203.2,107.954896,1,1,17,1,3,2020
60,Carsen Edwards,180.34,90.7184,1,1,1,2,33,2020
61,Cedi Osman,200.66,104.32616,0,0,5,2,31,2020
62,Chandler Hutchison,200.66,95.25431999999999,1,1,2,1,22,2020
63,Chandler Parsons,205.74,104.32616,1,1,9,2,38,2020
64,Charles Brown Jr.,198.12,90.264808,0,1,1,Undrafted,Undrafted,2020
65,Chasson Randle,187.96,83.91452,1,1,2,Undrafted,Undrafted,2020
66,Cheick Diallo,203.2,99.336648,1,0,4,2,33,2020
67,Chimezie Metu,205.74,102.0582,1,1,2,2,49,2020
68,Chris Boucher,205.74,90.7184,1,0,3,Undrafted,Undrafted,2020
69,Chris Chiozza,180.34,79.3786,0,1,2,Undrafted,Undrafted,2020
70,Chris Clemons,175.26,81.64656,0,1,1,Undrafted,Undrafted,2020
71,Chris Paul,185.42,79.3786,1,1,15,1,4,2020
72,Chris Silva,203.2,106.140528,1,0,1,Undrafted,Undrafted,2020
73,Christian Wood,208.28,97.068688,1,1,2,Undrafted,Undrafted,2020
74,Clint Capela,208.28,108.86208,0,0,6,1,25,2020
75,Coby White,193.04,88.45044,1,1,1,1,7,2020
76,Cody Martin,195.58,92.98636,1,1,1,2,36,2020
77,Cody Zeller,213.36,108.86208,1,1,7,1,4,2020
78,Collin Sexton,185.42,86.18248,1,1,2,1,8,2020
79,Cory Joseph,190.5,90.7184,1,0,9,1,29,2020
80,Courtney Lee,195.58,97.52228,1,1,12,1,22,2020
81,Cristiano Felicio,208.28,122.46984,0,0,5,Undrafted,Undrafted,2020
82,D'Angelo Russell,193.04,87.543256,1,1,5,1,2,2020
83,D.J. Augustin,180.34,83.007336,1,1,12,1,9,2020
84,D.J. Wilson,208.28,104.779752,1,1,3,1,17,2020
85,DaQuan Jeffries,195.58,104.32616,0,1,1,Undrafted,Undrafted,2020
86,Damian Jones,210.82,111.13004,1,1,4,1,30,2020
87,Damian Lillard,187.96,88.45044,1,1,8,1,6,2020
88,Damion Lee,195.58,95.25431999999999,1,1,3,Undrafted,Undrafted,2020
89,Damyean Dotson,195.58,95.25431999999999,1,1,3,2,44,2020
90,Daniel Gafford,208.28,106.140528,1,1,1,2,38,2020
91,Daniel Theis,203.2,111.13004,0,0,3,Undrafted,Undrafted,2020
92,Danilo Gallinari,208.28,105.68693600000002,0,0,12,1,6,2020
93,Danny Green,198.12,97.52228,1,1,11,2,46,2020
94,Dante Exum,195.58,97.068688,0,0,6,1,5,2020
95,Danuel House Jr.,198.12,99.79024,1,1,3,Undrafted,Undrafted,2020
96,Dario Saric,208.28,102.0582,0,0,6,1,12,2020
97,Darius Bazley,203.2,94.347136,0,1,1,1,23,2020
98,Darius Garland,185.42,87.089664,1,1,1,1,5,2020
99,Daryl Macon,187.96,83.91452,1,1,2,Undrafted,Undrafted,2020
100,David Nwaba,195.58,99.336648,0,1,4,Undrafted,Undrafted,2020
101,Davis Bertans,208.28,102.0582,0,0,9,2,42,2020
102,De'Aaron Fox,190.5,83.91452,1,1,3,1,5,2020
103,De'Andre Hunter,200.66,102.0582,1,1,1,1,4,2020
104,De'Anthony Melton,187.96,90.7184,1,1,2,2,46,2020
105,DeAndre Jordan,210.82,120.20188,1,1,12,2,35,2020
106,DeAndre' Bembry,195.58,95.25431999999999,0,1,4,1,21,2020
107,DeMar DeRozan,198.12,99.79024,1,1,11,1,9,2020
108,DeMarre Carroll,198.12,97.52228,1,1,11,1,27,2020
109,Dean Wade,205.74,103.418976,1,1,1,Undrafted,Undrafted,2020
110,Deandre Ayton,210.82,113.398,1,0,2,1,1,2020
111,Dejounte Murray,193.04,81.64656,1,1,4,1,29,2020
112,Delon Wright,195.58,83.91452,1,1,5,1,20,2020
113,Dennis Schroder,185.42,78.017824,0,0,7,1,17,2020
114,Dennis Smith Jr.,187.96,92.98636,1,1,3,1,9,2020
115,Denzel Valentine,193.04,99.79024,1,1,4,1,14,2020
116,Deonte Burton,193.04,108.86208,1,1,2,Undrafted,Undrafted,2020
117,Derrick Favors,205.74,120.20188,1,1,10,1,3,2020
118,Derrick Jones Jr.,198.12,95.25431999999999,1,1,4,Undrafted,Undrafted,2020
119,Derrick Rose,187.96,90.7184,1,1,12,1,1,2020
120,Derrick Walton Jr.,182.88,83.91452,1,1,1,Undrafted,Undrafted,2020
121,Derrick White,193.04,86.18248,1,1,3,1,29,2020
122,Devin Booker,195.58,93.439952,1,1,5,1,13,2020
123,Devon Hall,187.96,97.52228,1,1,2,2,53,2020
124,Devonte' Graham,185.42,88.45044,1,1,2,2,34,2020
125,Dewan Hernandez,208.28,106.59412,1,1,1,2,59,2020
126,Dewayne Dedmon,213.36,111.13004,1,1,7,Undrafted,Undrafted,2020
127,Dillon Brooks,200.66,102.0582,1,0,3,2,45,2020
128,Dion Waiters,190.5,95.25431999999999,1,1,8,1,4,2020
129,Domantas Sabonis,210.82,108.86208,1,0,4,1,11,2020
130,Donovan Mitchell,185.42,97.52228,1,1,3,1,13,2020
131,Donta Hall,205.74,103.872568,0,1,1,Undrafted,Undrafted,2020
132,Donte DiVincenzo,193.04,92.079176,1,1,2,1,17,2020
133,Dorian Finney-Smith,200.66,99.79024,1,1,4,Undrafted,Undrafted,2020
134,Doug McDermott,200.66,102.0582,1,1,6,1,11,2020
135,Dragan Bender,213.36,112.944408,0,0,4,1,4,2020
136,Draymond Green,198.12,104.32616,1,1,8,2,35,2020
137,Drew Eubanks,205.74,111.13004,0,1,2,Undrafted,Undrafted,2020
138,Duncan Robinson,200.66,97.52228,1,1,2,Undrafted,Undrafted,2020
139,Dusty Hannahs,190.5,95.25431999999999,1,1,2,Undrafted,Undrafted,2020
140,Dwayne Bacon,198.12,100.243832,1,1,3,2,40,2020
141,Dwight Howard,208.28,120.20188,0,1,16,1,1,2020
142,Dwight Powell,208.28,108.86208,1,0,6,2,45,2020
143,Dzanan Musa,205.74,98.429464,0,0,2,1,29,2020
144,E'Twaun Moore,190.5,86.636072,1,1,9,2,55,2020
145,Ed Davis,205.74,98.883056,1,1,10,1,13,2020
146,Edmond Sumner,193.04,88.904032,1,1,3,2,52,2020
147,Elfrid Payton,190.5,88.45044,1,1,6,1,10,2020
148,Elie Okobo,190.5,86.18248,0,0,2,2,31,2020
149,Emmanuel Mudiay,190.5,90.7184,0,0,5,1,7,2020
150,Enes Kanter,208.28,113.398,1,0,9,1,3,2020
151,Eric Bledsoe,185.42,97.068688,1,1,10,1,18,2020
152,Eric Gordon,190.5,97.52228,1,1,12,1,7,2020
153,Eric Mika,208.28,105.68693600000002,0,1,1,Undrafted,Undrafted,2020
154,Eric Paschall,198.12,115.66596,1,1,1,2,41,2020
155,Ersan Ilyasova,205.74,106.59412,0,0,15,2,36,2020
156,Evan Fournier,200.66,92.98636,0,0,8,1,20,2020
157,Evan Turner,198.12,99.79024,1,1,10,1,2,2020
158,Frank Jackson,190.5,92.98636,1,1,3,2,31,2020
159,Frank Kaminsky,213.36,108.86208,1,1,5,1,9,2020
160,Frank Mason,180.34,86.18248,1,1,3,2,34,2020
161,Frank Ntilikina,193.04,90.7184,0,0,3,1,8,2020
162,Fred VanVleet,185.42,89.357624,1,1,4,Undrafted,Undrafted,2020
163,Furkan Korkmaz,200.66,91.625584,0,0,4,1,26,2020
164,Gabe Vincent,190.5,90.7184,1,1,1,Undrafted,Undrafted,2020
165,Garrett Temple,195.58,88.45044,1,1,8,Undrafted,Undrafted,2020
166,Garrison Mathews,195.58,97.52228,0,1,1,Undrafted,Undrafted,2020
167,Gary Clark,198.12,102.0582,0,1,2,Undrafted,Undrafted,2020
168,Gary Harris,193.04,95.25431999999999,1,1,6,1,19,2020
169,Gary Payton II,190.5,88.45044,1,1,4,Undrafted,Undrafted,2020
170,Gary Trent Jr.,195.58,94.800728,0,1,2,Undrafted,Undrafted,2020
171,George Hill,190.5,85.275296,0,1,12,1,26,2020
172,Georges Niang,200.66,104.32616,1,1,4,2,50,2020
173,Giannis Antetokounmpo,210.82,109.76926399999999,0,0,7,1,15,2020
174,Glenn Robinson III,198.12,100.697424,1,1,6,2,40,2020
175,Goga Bitadze,210.82,113.398,0,0,1,1,18,2020
176,Goran Dragic,190.5,86.18248,0,0,12,2,45,2020
177,Gordon Hayward,200.66,102.0582,1,1,10,1,9,2020
178,Gorgui Dieng,208.28,114.305184,1,0,7,1,21,2020
179,Grant Williams,198.12,107.047712,1,1,1,1,22,2020
180,Grayson Allen,193.04,89.811216,1,1,2,1,21,2020
181,Hamidou Diallo,195.58,91.625584,1,1,2,2,45,2020
182,Harrison Barnes,203.2,102.0582,1,1,8,1,7,2020
183,Harry Giles III,210.82,108.86208,1,1,3,1,20,2020
184,Hassan Whiteside,213.36,120.20188,1,1,10,2,33,2020
185,Henry Ellenson,208.28,108.86208,1,1,4,1,18,2020
186,Ian Mahinmi,210.82,118.841104,0,0,15,1,28,2020
187,Ignas Brazdeikis,198.12,100.243832,1,0,1,2,47,2020
188,Iman Shumpert,195.58,96.161504,1,1,9,1,17,2020
189,Isaac Bonga,203.2,81.64656,0,0,2,2,39,2020
190,Isaiah Hartenstein,213.36,113.398,0,0,3,2,43,2020
191,Isaiah Roby,203.2,104.32616,1,1,1,2,45,2020
192,Isaiah Thomas,175.26,83.91452,1,1,9,2,60,2020
193,Ish Smith,182.88,79.3786,1,1,10,Undrafted,Undrafted,2020
194,Ivica Zubac,213.36,108.86208,0,0,4,2,32,2020
195,J.J. Barea,177.8,81.64656,1,0,14,Undrafted,Undrafted,2020
196,J.P. Macura,193.04,92.079176,1,1,2,Undrafted,Undrafted,2020
197,JJ Redick,190.5,90.7184,1,1,14,1,11,2020
198,Ja Morant,190.5,78.92500799999998,1,1,1,1,2,2020
199,JaKarr Sampson,200.66,97.068688,1,1,3,Undrafted,Undrafted,2020
200,JaMychal Green,203.2,102.965384,1,1,6,Undrafted,Undrafted,2020
201,JaVale McGee,213.36,122.46984,1,1,12,1,18,2020
202,Jabari Parker,203.2,111.13004,1,1,6,1,2,2020
203,Jacob Evans,193.04,95.25431999999999,1,1,2,1,28,2020
204,Jae Crowder,198.12,106.59412,1,1,8,2,34,2020
205,Jahlil Okafor,208.28,122.46984,1,1,5,1,3,2020
206,Jake Layman,203.2,94.800728,1,1,4,2,47,2020
207,Jakob Poeltl,215.9,111.13004,1,0,4,1,9,2020
208,Jalen Brunson,185.42,86.18248,1,1,2,2,33,2020
209,Jalen Lecque,193.04,83.91452,0,1,1,Undrafted,Undrafted,2020
210,Jalen McDaniels,208.28,92.98636,1,1,1,2,52,2020
211,Jamal Murray,193.04,97.52228,1,0,4,1,7,2020
212,James Ennis III,198.12,97.52228,1,1,7,2,50,2020
213,James Harden,195.58,99.79024,1,1,11,1,3,2020
214,James Johnson,200.66,108.86208,1,1,11,1,16,2020
215,Jared Dudley,198.12,107.501304,1,1,13,1,22,2020
216,Jared Harper,177.8,79.3786,0,1,1,Undrafted,Undrafted,2020
217,Jaren Jackson Jr.,210.82,109.76926399999999,1,1,2,1,4,2020
218,Jarred Vanderbilt,205.74,97.068688,1,1,2,2,41,2020
219,Jarrell Brantley,195.58,113.398,1,1,1,2,50,2020
220,Jarrett Allen,210.82,110.222856,1,1,3,1,22,2020
221,Jarrett Culver,198.12,88.45044,1,1,1,1,6,2020
222,Jarrod Uthoff,205.74,99.79024,1,1,1,Undrafted,Undrafted,2020
223,Javonte Green,193.04,92.98636,1,1,1,Undrafted,Undrafted,2020
224,Jaxson Hayes,210.82,99.79024,1,1,1,1,8,2020
225,Jaylen Brown,198.12,101.151016,1,1,4,1,3,2020
226,Jaylen Hoard,203.2,97.975872,0,0,1,Undrafted,Undrafted,2020
227,Jaylen Nowell,193.04,91.171992,1,1,1,2,43,2020
228,Jayson Tatum,203.2,95.25431999999999,1,1,3,1,3,2020
229,Jeff Green,203.2,106.59412,1,1,13,1,5,2020
230,Jeff Teague,190.5,88.45044,1,1,11,1,19,2020
231,Jerami Grant,203.2,95.25431999999999,1,1,6,2,39,2020
232,Jeremiah Martin,187.96,83.91452,1,1,1,Undrafted,Undrafted,2020
233,Jeremy Lamb,195.58,81.64656,1,1,8,1,12,2020
234,Jeremy Pargo,187.96,99.336648,1,1,1,Undrafted,Undrafted,2020
235,Jerome Robinson,193.04,86.18248,1,1,2,1,13,2020
236,Jevon Carter,185.42,90.7184,1,1,2,2,32,2020
237,Jimmy Butler,200.66,104.32616,1,1,9,1,30,2020
238,Joe Chealey,193.04,86.18248,1,1,2,Undrafted,Undrafted,2020
239,Joe Harris,198.12,99.79024,1,1,6,2,33,2020
240,Joe Ingles,200.66,99.79024,0,0,6,Undrafted,Undrafted,2020
241,Joel Embiid,213.36,127.00576,1,0,6,1,3,2020
242,John Collins,205.74,106.59412,1,1,3,1,19,2020
243,John Henson,205.74,99.336648,1,1,8,1,14,2020
244,John Konchar,195.58,95.25431999999999,0,1,1,Undrafted,Undrafted,2020
245,Johnathan Motley,203.2,104.32616,1,1,3,Undrafted,Undrafted,2020
246,Johnathan Williams,205.74,103.418976,1,1,2,Undrafted,Undrafted,2020
247,Jonah Bolden,203.2,102.0582,0,0,3,2,36,2020
248,Jonas Valanciunas,210.82,120.20188,0,0,9,1,5,2020
249,Jonathan Isaac,210.82,104.32616,1,1,3,1,6,2020
250,Jordan Bell,203.2,97.975872,1,1,3,2,38,2020
251,Jordan Bone,190.5,81.64656,1,1,1,2,57,2020
252,Jordan Clarkson,193.04,87.996848,1,1,6,2,46,2020
253,Jordan McLaughlin,180.34,83.91452,1,1,1,Undrafted,Undrafted,2020
254,Jordan McRae,195.58,81.19296800000002,1,1,6,2,58,2020
255,Jordan Poole,193.04,87.996848,1,1,1,1,28,2020
256,Josh Gray,182.88,81.64656,0,1,1,Undrafted,Undrafted,2020
257,Josh Hart,195.58,97.52228,1,1,3,1,30,2020
258,Josh Jackson,203.2,93.893544,1,1,3,1,4,2020
259,Josh Magette,185.42,72.57472,1,1,1,Undrafted,Undrafted,2020
260,Josh Okogie,193.04,96.615096,1,0,2,1,20,2020
261,Josh Reaves,193.04,97.068688,1,1,1,Undrafted,Undrafted,2020
262,Josh Richardson,195.58,90.7184,1,1,5,2,40,2020
263,Jrue Holiday,190.5,92.98636,1,1,11,1,17,2020
264,Juan Toscano-Anderson,198.12,94.800728,0,1,1,Undrafted,Undrafted,2020
265,Juancho Hernangomez,205.74,97.068688,0,0,4,1,15,2020
266,Julius Randle,203.2,113.398,1,1,6,1,7,2020
267,Justin Anderson,195.58,104.779752,1,1,5,1,21,2020
268,Justin Holiday,198.12,81.64656,1,1,6,Undrafted,Undrafted,2020
269,Justin Jackson,200.66,99.79024,1,1,3,1,15,2020
270,Justin James,200.66,86.18248,1,1,1,2,40,2020
271,Justin Patton,210.82,109.31567199999999,1,1,3,1,16,2020
272,Justin Robinson,185.42,88.45044,0,1,1,Undrafted,Undrafted,2020
273,Justin Wright-Foreman,182.88,86.18248,1,1,1,2,53,2020
274,Justise Winslow,198.12,100.697424,1,1,5,1,10,2020
275,Juwan Morgan,200.66,105.233344,1,1,1,Undrafted,Undrafted,2020
276,KZ Okpala,203.2,97.52228,1,1,1,2,32,2020
277,Kadeem Allen,185.42,90.7184,1,1,3,2,53,2020
278,Karl-Anthony Towns,210.82,112.490816,1,1,5,1,1,2020
279,Kawhi Leonard,200.66,102.0582,1,1,9,1,15,2020
280,Keita Bates-Diop,203.2,103.872568,1,1,2,2,48,2020
281,Kelan Martin,195.58,104.32616,0,1,1,Undrafted,Undrafted,2020
282,Keldon Johnson,195.58,99.79024,1,1,1,1,29,2020
283,Kelly Olynyk,210.82,108.86208,1,0,7,1,13,2020
284,Kelly Oubre Jr.,200.66,92.079176,1,1,5,1,15,2020
285,Kemba Walker,182.88,83.46092800000002,1,1,9,1,9,2020
286,Kendrick Nunn,187.96,86.18248,1,1,1,Undrafted,Undrafted,2020
287,Kenrich Williams,198.12,95.25431999999999,0,1,2,Undrafted,Undrafted,2020
288,Kent Bazemore,193.04,88.45044,1,1,8,Undrafted,Undrafted,2020
289,Kentavious Caldwell-Pope,195.58,92.532768,1,1,7,1,8,2020
290,Kevin Hervey,205.74,104.32616,1,1,2,2,57,2020
291,Kevin Huerter,200.66,86.18248,1,1,2,1,19,2020
292,Kevin Knox II,200.66,97.52228,1,1,2,1,9,2020
293,Kevin Love,203.2,113.851592,1,1,12,1,5,2020
294,Kevin Porter Jr.,193.04,92.079176,1,1,1,1,30,2020
295,Kevon Looney,205.74,100.697424,1,1,5,1,30,2020
296,Khem Birch,205.74,105.68693600000002,1,0,3,Undrafted,Undrafted,2020
297,Khris Middleton,200.66,100.697424,1,1,8,2,39,2020
298,Khyri Thomas,190.5,95.25431999999999,1,1,2,2,38,2020
299,Kostas Antetokounmpo,208.28,90.7184,1,0,2,2,60,2020
300,Kris Dunn,190.5,92.98636,1,1,4,1,5,2020
301,Kristaps Porzingis,220.98,108.86208,0,0,5,1,4,2020
302,Ky Bowman,185.42,84.821704,0,1,1,Undrafted,Undrafted,2020
303,Kyle Anderson,205.74,104.32616,1,1,6,1,30,2020
304,Kyle Guy,185.42,75.749864,1,1,1,2,55,2020
305,Kyle Korver,200.66,96.161504,1,1,17,2,51,2020
306,Kyle Kuzma,203.2,100.243832,1,1,3,1,27,2020
307,Kyle Lowry,182.88,88.904032,1,1,14,1,24,2020
308,Kyle O'Quinn,205.74,113.398,1,1,8,2,49,2020
309,Kyrie Irving,187.96,88.45044,1,0,9,1,1,2020
310,LaMarcus Aldridge,210.82,113.398,1,1,14,1,2,2020
311,Landry Shamet,193.04,86.18248,1,1,2,1,26,2020
312,Langston Galloway,185.42,90.7184,0,1,6,Undrafted,Undrafted,2020
313,Larry Nance Jr.,200.66,111.13004,1,1,5,1,27,2020
314,Lauri Markkanen,213.36,108.86208,1,0,3,1,7,2020
315,LeBron James,205.74,113.398,0,1,17,1,1,2020
316,Lonnie Walker IV,195.58,92.532768,1,1,2,1,18,2020
317,Lonzo Ball,198.12,86.18248,1,1,3,1,2,2020
318,Lou Williams,185.42,79.3786,0,1,15,2,45,2020
319,Louis King,200.66,92.98636,0,1,1,Undrafted,Undrafted,2020
320,Luguentz Dort,190.5,97.52228,0,0,1,Undrafted,Undrafted,2020
321,Luka Doncic,200.66,104.32616,0,0,2,1,3,2020
322,Luka Samanic,208.28,102.965384,0,0,1,1,19,2020
323,Luke Kennard,195.58,93.439952,1,1,3,1,12,2020
324,Luke Kornet,218.44,113.398,1,1,3,Undrafted,Undrafted,2020
325,Malcolm Brogdon,195.58,103.872568,1,1,4,2,36,2020
326,Malcolm Miller,200.66,95.25431999999999,1,1,3,Undrafted,Undrafted,2020
327,Malik Beasley,193.04,84.821704,1,1,4,1,19,2020
328,Malik Monk,190.5,90.7184,1,1,3,1,11,2020
329,Malik Newman,190.5,86.18248,1,1,1,Undrafted,Undrafted,2020
330,Marc Gasol,210.82,115.66596,0,0,13,2,48,2020
331,Marco Belinelli,195.58,99.79024,0,0,13,1,18,2020
332,Marcus Morris Sr.,203.2,98.883056,1,1,9,1,14,2020
333,Marcus Smart,190.5,99.79024,1,1,6,1,6,2020
334,Marial Shayok,195.58,89.811216,1,0,1,2,54,2020
335,Mario Hezonja,203.2,99.79024,0,0,5,1,5,2020
336,Markelle Fultz,190.5,94.800728,1,1,3,1,1,2020
337,Markieff Morris,203.2,111.13004,1,1,9,1,13,2020
338,Marko Guduric,198.12,91.171992,0,0,1,Undrafted,Undrafted,2020
339,Marques Bolden,208.28,112.944408,0,1,1,Undrafted,Undrafted,2020
340,Marquese Chriss,205.74,108.86208,1,1,4,1,8,2020
341,Marvin Bagley III,210.82,106.59412,1,1,2,1,2,2020
342,Marvin Williams,203.2,107.501304,1,1,15,1,2,2020
343,Mason Plumlee,210.82,115.212368,1,1,7,1,22,2020
344,Matisse Thybulle,195.58,91.171992,1,1,1,1,20,2020
345,Matt Mooney,187.96,90.264808,1,1,1,Undrafted,Undrafted,2020
346,Matt Thomas,193.04,86.18248,1,1,1,Undrafted,Undrafted,2020
347,Matthew Dellavedova,190.5,90.7184,1,0,7,Undrafted,Undrafted,2020
348,Maurice Harkless,200.66,99.79024,1,1,8,1,15,2020
349,Max Strus,195.58,97.52228,0,1,1,Undrafted,Undrafted,2020
350,Maxi Kleber,208.28,108.86208,0,0,3,Undrafted,Undrafted,2020
351,Melvin Frazier Jr.,195.58,97.52228,1,1,2,2,35,2020
352,Meyers Leonard,213.36,117.93392,1,1,8,1,11,2020
353,Mfiondu Kabengele,205.74,113.398,1,0,1,1,27,2020
354,Michael Carter-Williams,195.58,86.18248,1,1,7,1,11,2020
355,Michael Frazier,190.5,90.7184,1,1,1,Undrafted,Undrafted,2020
356,Michael Kidd-Gilchrist,198.12,105.233344,1,1,8,1,2,2020
357,Michael Porter Jr.,208.28,98.883056,1,1,2,1,14,2020
358,Mikal Bridges,198.12,94.800728,1,1,2,1,10,2020
359,Mike Conley,185.42,79.3786,1,1,13,1,4,2020
360,Mike Muscala,208.28,108.86208,1,1,7,2,44,2020
361,Mike Scott,200.66,107.501304,1,1,8,2,43,2020
362,Miles Bridges,198.12,102.0582,1,1,2,1,12,2020
363,Mitchell Robinson,213.36,108.86208,0,1,2,2,36,2020
364,Miye Oni,195.58,93.439952,1,1,1,2,58,2020
365,Mo Bamba,213.36,104.779752,1,1,2,1,6,2020
366,Monte Morris,187.96,83.007336,1,1,3,2,51,2020
367,Montrezl Harrell,200.66,108.86208,1,1,5,2,32,2020
368,Moritz Wagner,210.82,111.13004,1,0,2,1,25,2020
369,Moses Brown,218.44,111.13004,0,1,1,Undrafted,Undrafted,2020
370,Mychal Mulder,190.5,83.46092800000002,1,0,1,Undrafted,Undrafted,2020
371,Myles Turner,210.82,113.398,1,1,5,1,11,2020
372,Nassir Little,195.58,99.79024,1,1,1,1,25,2020
373,Naz Mitrou-Long,190.5,98.883056,1,0,3,Undrafted,Undrafted,2020
374,Naz Reid,205.74,119.748288,0,1,1,Undrafted,Undrafted,2020
375,Nemanja Bjelica,208.28,106.140528,0,0,10,2,35,2020
376,Nerlens Noel,208.28,99.79024,1,1,7,1,6,2020
377,Nickeil Alexander-Walker,195.58,92.98636,1,0,1,1,17,2020
378,Nicolas Batum,205.74,104.32616,0,0,12,1,25,2020
379,Nicolas Claxton,210.82,97.52228,1,1,1,2,31,2020
380,Nicolo Melli,205.74,107.047712,0,0,1,Undrafted,Undrafted,2020
381,Nigel Williams-Goss,187.96,86.18248,1,1,3,2,55,2020
382,Nikola Jokic,213.36,128.820128,0,0,6,2,41,2020
383,Nikola Vucevic,210.82,117.93392,1,0,9,1,16,2020
384,Noah Vonleh,208.28,116.573144,1,1,6,1,9,2020
385,Norman Powell,190.5,97.52228,1,1,5,2,46,2020
386,Norvel Pelle,208.28,104.779752,0,1,1,Undrafted,Undrafted,2020
387,OG Anunoby,200.66,105.233344,1,0,3,1,23,2020
388,Omari Spellman,203.2,111.13004,1,1,2,1,30,2020
389,Oshae Brissett,200.66,95.25431999999999,0,0,1,Undrafted,Undrafted,2020
390,Otto Porter Jr.,203.2,89.811216,1,1,7,1,3,2020
391,P.J. Tucker,195.58,111.13004,1,1,14,2,35,2020
392,P.J. Washington,200.66,104.32616,1,1,1,1,12,2020
393,PJ Dozier,198.12,92.98636,1,1,3,Undrafted,Undrafted,2020
394,Pascal Siakam,205.74,104.32616,1,0,4,1,27,2020
395,Pat Connaughton,195.58,94.800728,1,1,5,2,41,2020
396,Patrick Beverley,185.42,81.64656,0,1,11,2,42,2020
