,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,Aaron Gordon,203.2,106.59412,1,1,6,1,4,2020
1,Aaron Holiday,182.88,83.91452,1,1,2,1,23,2020
2,Abdel Nader,195.58,102.0582,1,0,4,2,58,2020
3,Adam Mokoka,195.58,86.18248,0,0,1,Undrafted,Undrafted,2020
4,Admiral Schofield,195.58,109.31567199999999,1,0,1,2,42,2020
5,Al Horford,205.74,108.86208,1,0,13,1,3,2020
6,Al-Farouq Aminu,203.2,99.79024,1,1,10,1,8,2020
7,Alec Burks,198.12,97.068688,1,1,9,1,12,2020
8,Alen Smailagic,208.28,97.52228,0,0,1,2,39,2020
9,Alex Caruso,195.58,84.368112,1,1,3,Undrafted,Undrafted,2020
10,Alex Len,213.36,113.398,1,0,7,1,5,2020
11,Alfonzo McKinnie,200.66,97.52228,0,1,3,Undrafted,Undrafted,2020
12,Alize Johnson,200.66,96.161504,1,1,2,2,50,2020
13,Allen Crabbe,195.58,96.161504,1,1,7,2,31,2020
14,Allonzo Trier,193.04,90.7184,1,1,2,Undrafted,Undrafted,2020
15,Amile Jefferson,205.74,100.697424,1,1,2,Undrafted,Undrafted,2020
16,Amir Coffey,200.66,95.25431999999999,0,1,1,Undrafted,Undrafted,2020
17,Andre Drummond,208.28,126.552168,1,1,8,1,9,2020
18,Andre Iguodala,198.12,97.52228,1,1,16,1,9,2020
19,Andrew Wiggins,200.66,89.357624,1,0,6,1,1,2020
20,Anfernee Simons,190.5,82.10015200000002,0,1,2,1,24,2020
21,Ante Zizic,208.28,120.655472,0,0,4,1,23,2020
22,Anthony Davis,208.28,114.758776,1,1,8,1,1,2020
23,Anthony Tolliver,203.2,108.86208,1,1,12,Undrafted,Undrafted,2020
24,Antonius Cleveland,195.58,88.45044,1,1,1,Undrafted,Undrafted,2020
25,Anzejs Pasecniks,218.44,103.872568,0,0,3,1,25,2020
26,Aron Baynes,208.28,117.93392,1,0,8,Undrafted,Undrafted,2020
27,Austin Rivers,190.5,90.7184,1,1,8,1,10,2020
28,Avery Bradley,190.5,81.64656,1,1,10,1,19,2020
29,BJ Johnson,200.66,90.7184,0,1,2,Undrafted,Undrafted,2020
30,Bam Adebayo,205.74,115.66596,1,1,3,1,14,2020
31,Ben McLemore,190.5,88.45044,1,1,7,1,7,2020
32,Ben Simmons,208.28,108.86208,1,0,4,1,1,2020
33,Bismack Biyombo,203.2,115.66596,0,0,9,1,7,2020
34,Blake Griffin,205.74,113.398,1,1,11,1,1,2020
35,Boban Marjanovic,223.52,131.54168,0,0,5,Undrafted,Undrafted,2020
36,Bobby Portis,208.28,113.398,1,1,5,1,22,2020
37,Bogdan Bogdanovic,198.12,99.79024,0,0,6,1,27,2020
38,Bojan Bogdanovic,203.2,102.511792,0,0,9,2,31,2020
39,Brad Wanamaker,190.5,95.25431999999999,1,1,2,Undrafted,Undrafted,2020
40,Bradley Beal,190.5,93.893544,1,1,8,1,3,2020
41,Brandon Clarke,203.2,97.52228,1,0,1,1,21,2020
42,Brandon Goodwin,182.88,81.64656,0,1,2,Undrafted,Undrafted,2020
43,Brandon Ingram,200.66,86.18248,1,1,4,1,2,2020
