,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,AJ Hammons,213.36,117.93392,1,1,1,2,46,2017
1,Aaron Brooks,182.88,73.028312,1,1,10,1,26,2017
2,Aaron Gordon,205.74,99.79024,1,1,3,1,4,2017
3,Aaron Harrison,198.12,95.25431999999999,1,1,2,Undrafted,Undrafted,2017
4,Adreian Payne,208.28,107.501304,1,1,3,1,15,2017
5,Al Horford,208.28,111.13004,1,0,10,1,3,2017
6,Al Jefferson,208.28,131.088088,0,1,13,1,15,2017
7,Al-Farouq Aminu,205.74,99.79024,1,1,7,1,8,2017
8,Alan Anderson,198.12,99.79024,1,1,6,Undrafted,Undrafted,2017
9,Alan Williams,203.2,117.93392,1,1,2,Undrafted,Undrafted,2017
10,Alec Burks,198.12,97.068688,1,1,6,1,12,2017
11,Alex Abrines,198.12,86.18248,0,0,4,2,32,2017
12,Alex Len,215.9,117.93392,1,0,4,1,5,2017
13,Alex Poythress,200.66,107.954896,1,1,1,Undrafted,Undrafted,2017
14,Alexis Ajinca,218.44,112.490816,0,0,9,1,20,2017
15,Allen Crabbe,198.12,97.52228,1,1,4,2,31,2017
16,Alonzo Gee,198.12,102.0582,1,1,8,Undrafted,Undrafted,2017
17,Amir Johnson,205.74,108.86208,0,1,12,2,56,2017
18,Anderson Varejao,210.82,123.83061599999999,0,0,13,2,30,2017
19,Andre Drummond,210.82,126.552168,1,1,5,1,9,2017
20,Andre Iguodala,198.12,97.52228,1,1,13,1,9,2017
21,Andre Roberson,200.66,95.25431999999999,1,1,4,1,26,2017
22,Andrew Bogut,213.36,117.93392,1,0,12,1,1,2017
23,Andrew Harrison,198.12,96.615096,1,1,2,2,44,2017
24,Andrew Nicholson,205.74,113.398,1,0,5,1,19,2017
25,Andrew Wiggins,203.2,90.264808,1,0,3,1,1,2017
26,Anthony Bennett,203.2,106.59412,1,0,4,1,1,2017
27,Anthony Brown,200.66,95.707912,1,1,2,2,34,2017
28,Anthony Davis,210.82,114.758776,1,1,5,1,1,2017
29,Anthony Morrow,195.58,95.25431999999999,1,1,9,Undrafted,Undrafted,2017
30,Anthony Tolliver,203.2,108.86208,1,1,9,Undrafted,Undrafted,2017
31,Archie Goodwin,195.58,92.98636,1,1,4,1,29,2017
32,Arinze Onuaku,205.74,115.66596,1,1,1,Undrafted,Undrafted,2017
33,Aron Baynes,208.28,117.93392,1,0,5,Undrafted,Undrafted,2017
34,Arron Afflalo,195.58,95.25431999999999,1,1,10,1,27,2017
35,Austin Rivers,193.04,90.7184,1,1,5,1,10,2017
36,Avery Bradley,187.96,81.64656,1,1,7,1,19,2017
37,Axel Toupane,200.66,95.25431999999999,0,0,2,Undrafted,Undrafted,2017
38,Ben Bentil,205.74,106.59412,1,0,1,2,51,2017
39,Ben McLemore,195.58,88.45044,1,1,4,1,7,2017
40,Beno Udrih,190.5,92.98636,0,0,13,1,28,2017
41,Bismack Biyombo,205.74,115.66596,0,0,6,1,7,2017
42,Blake Griffin,208.28,113.851592,1,1,8,1,1,2017
43,Boban Marjanovic,220.98,131.54168,0,0,2,Undrafted,Undrafted,2017
44,Bobby Brown,187.96,79.3786,1,1,1,Undrafted,Undrafted,2017
45,Bobby Portis,210.82,111.583632,1,1,2,1,22,2017
46,Bojan Bogdanovic,203.2,102.0582,0,0,6,2,31,2017
47,Boris Diaw,203.2,113.398,0,0,14,1,21,2017
48,Bradley Beal,195.58,93.893544,1,1,5,1,3,2017
49,Brandan Wright,208.28,95.25431999999999,1,1,10,1,8,2017
50,Brandon Bass,203.2,113.398,1,1,12,2,33,2017
51,Brandon Ingram,205.74,86.18248,1,1,1,1,2,2017
52,Brandon Jennings,185.42,77.11064,0,1,8,1,10,2017
53,Brandon Knight,190.5,88.45044,1,1,6,1,8,2017
54,Brandon Rush,198.12,102.0582,1,1,9,1,13,2017
55,Brian Roberts,185.42,78.471416,1,1,5,Undrafted,Undrafted,2017
56,Briante Weber,187.96,74.84268,1,1,2,Undrafted,Undrafted,2017
57,Brice Johnson,208.28,104.32616,1,1,1,1,25,2017
58,Brook Lopez,213.36,121.562656,1,1,9,1,10,2017
59,Bruno Caboclo,205.74,92.98636,0,0,3,1,20,2017
60,Bryn Forbes,190.5,86.18248,1,1,1,Undrafted,Undrafted,2017
61,Buddy Hield,193.04,97.068688,1,0,1,1,6,2017
62,C.J. Watson,187.96,79.3786,1,1,10,Undrafted,Undrafted,2017
63,CJ McCollum,190.5,86.18248,1,1,4,1,10,2017
64,CJ Miles,198.12,102.0582,0,1,12,2,34,2017
65,CJ Wilcox,195.58,88.45044,1,1,3,1,28,2017
66,Cameron Payne,190.5,83.91452,1,1,2,1,14,2017
67,Caris LeVert,200.66,92.079176,1,1,1,1,20,2017
68,Carmelo Anthony,203.2,108.86208,1,1,14,1,3,2017
69,Chandler Parsons,208.28,104.32616,1,1,6,2,38,2017
70,Channing Frye,210.82,115.66596,1,1,12,1,8,2017
71,Chasson Randle,187.96,83.91452,1,1,1,Undrafted,Undrafted,2017
72,Cheick Diallo,205.74,99.79024,1,0,1,2,33,2017
73,Chinanu Onuaku,208.28,111.13004,1,1,1,2,37,2017
74,Chris Andersen,208.28,111.13004,1,1,10,Undrafted,Undrafted,2017
75,Chris McCullough,205.74,97.52228,1,1,2,1,29,2017
76,Chris Paul,182.88,79.3786,1,1,12,1,4,2017
77,Christian Wood,210.82,99.79024,1,1,2,Undrafted,Undrafted,2017
78,Clint Capela,208.28,108.86208,0,0,3,1,25,2017
79,Cody Zeller,213.36,108.86208,1,1,4,1,4,2017
80,Cole Aldrich,210.82,113.398,1,1,7,1,11,2017
81,Corey Brewer,205.74,84.368112,1,1,10,1,7,2017
82,Cory Joseph,190.5,86.18248,1,0,6,1,29,2017
83,Courtney Lee,195.58,90.7184,1,1,9,1,22,2017
84,Cristiano Felicio,205.74,120.655472,0,0,2,Undrafted,Undrafted,2017
85,D'Angelo Russell,195.58,88.45044,1,1,2,1,2,2017
86,D.J. Augustin,182.88,83.007336,1,1,9,1,9,2017
87,Dahntay Jones,198.12,102.0582,1,1,14,1,20,2017
88,Damian Jones,213.36,111.13004,1,1,1,1,30,2017
89,Damian Lillard,190.5,88.45044,1,1,5,1,6,2017
90,Damjan Rudez,208.28,103.418976,0,0,3,Undrafted,Undrafted,2017
91,Daniel Ochefu,210.82,111.13004,1,1,1,Undrafted,Undrafted,2017
92,Danilo Gallinari,208.28,102.0582,0,0,9,1,6,2017
93,Danny Green,198.12,97.52228,1,1,8,2,46,2017
94,Dante Cunningham,203.2,104.32616,1,1,8,2,33,2017
95,Dante Exum,198.12,86.18248,0,0,3,1,5,2017
96,Danuel House,200.66,97.52228,1,1,1,Undrafted,Undrafted,2017
97,Dario Saric,208.28,101.151016,0,0,3,1,12,2017
98,Darrell Arthur,205.74,106.59412,1,1,9,1,27,2017
99,Darren Collison,182.88,79.3786,1,1,8,1,21,2017
100,Darrun Hilliard,198.12,92.98636,1,1,2,2,38,2017
101,David Lee,205.74,111.13004,1,1,12,1,30,2017
102,David Nwaba,193.04,94.800728,0,1,1,Undrafted,Undrafted,2017
103,David West,205.74,113.398,1,1,14,1,18,2017
104,Davis Bertans,208.28,95.25431999999999,0,0,6,2,42,2017
105,DeAndre Jordan,210.82,120.20188,1,1,9,2,35,2017
106,DeAndre Liggins,198.12,94.800728,1,1,6,2,53,2017
107,DeAndre' Bembry,198.12,95.25431999999999,1,1,1,1,21,2017
108,DeMar DeRozan,200.66,99.79024,1,1,8,1,9,2017
109,DeMarcus Cousins,210.82,122.46984,1,1,7,1,5,2017
110,DeMarre Carroll,203.2,96.161504,1,1,8,1,27,2017
111,Dejounte Murray,195.58,77.11064,1,1,1,1,29,2017
112,Delon Wright,195.58,86.18248,1,1,2,1,20,2017
113,Demetrius Jackson,185.42,91.171992,1,1,1,2,45,2017
114,Dennis Schroder,185.42,78.017824,0,0,4,1,17,2017
115,Denzel Valentine,198.12,96.161504,1,1,1,1,14,2017
116,Deron Williams,190.5,90.7184,1,1,12,1,3,2017
117,Derrick Favors,208.28,120.20188,1,1,7,1,3,2017
118,Derrick Jones Jr.,200.66,86.18248,1,1,1,Undrafted,Undrafted,2017
119,Derrick Rose,190.5,86.18248,1,1,9,1,1,2017
120,Derrick Williams,203.2,108.86208,1,1,6,1,2,2017
121,Devin Booker,198.12,93.439952,1,1,2,1,13,2017
122,Devin Harris,190.5,83.91452,1,1,13,1,5,2017
123,Dewayne Dedmon,213.36,111.13004,1,1,4,Undrafted,Undrafted,2017
124,Deyonta Davis,208.28,108.86208,1,1,1,2,31,2017
125,Diamond Stone,210.82,115.66596,1,1,1,2,40,2017
126,Dion Waiters,193.04,99.79024,1,1,5,1,4,2017
127,Dirk Nowitzki,213.36,111.13004,0,0,19,1,9,2017
128,Domantas Sabonis,210.82,108.86208,1,0,1,1,11,2017
129,Donatas Motiejunas,213.36,100.697424,0,0,6,1,20,2017
130,Dorian Finney-Smith,203.2,99.79024,1,1,1,Undrafted,Undrafted,2017
131,Doug McDermott,203.2,99.336648,1,1,3,1,11,2017
132,Dragan Bender,215.9,102.0582,0,0,1,1,4,2017
133,Draymond Green,200.66,104.32616,1,1,5,2,35,2017
134,Dwight Howard,210.82,120.20188,0,1,13,1,1,2017
135,Dwight Powell,210.82,108.86208,1,0,3,2,45,2017
136,Dwyane Wade,193.04,99.79024,1,1,14,1,5,2017
137,E'Twaun Moore,193.04,86.636072,1,1,6,2,55,2017
138,Ed Davis,208.28,111.13004,1,1,7,1,13,2017
139,Edy Tavares,220.98,120.20188,0,0,3,2,43,2017
140,Elfrid Payton,193.04,83.91452,1,1,3,1,10,2017
141,Elijah Millsap,200.66,97.52228,1,1,3,Undrafted,Undrafted,2017
142,Emmanuel Mudiay,195.58,90.7184,0,0,2,1,7,2017
143,Enes Kanter,210.82,111.13004,1,0,6,1,3,2017
144,Eric Bledsoe,185.42,92.98636,1,1,7,1,18,2017
145,Eric Gordon,193.04,97.52228,1,1,9,1,7,2017
146,Ersan Ilyasova,208.28,106.59412,0,0,12,2,36,2017
147,Evan Fournier,200.66,92.98636,0,0,5,1,20,2017
148,Evan Turner,200.66,99.79024,1,1,7,1,2,2017
149,Frank Kaminsky,213.36,108.86208,1,1,2,1,9,2017
150,Fred VanVleet,182.88,88.45044,1,1,1,Undrafted,Undrafted,2017
151,Garrett Temple,198.12,88.45044,1,1,5,Undrafted,Undrafted,2017
152,Gary Harris,193.04,95.25431999999999,1,1,3,1,19,2017
153,Gary Neal,193.04,95.25431999999999,1,1,7,Undrafted,Undrafted,2017
154,Gary Payton II,190.5,86.18248,1,1,1,Undrafted,Undrafted,2017
155,George Hill,190.5,85.275296,1,1,9,1,26,2017
156,Georges Niang,203.2,104.32616,1,1,1,2,50,2017
157,Georgios Papagiannis,215.9,108.86208,0,0,1,1,13,2017
158,Gerald Green,200.66,92.98636,0,1,12,1,18,2017
159,Gerald Henderson,195.58,97.52228,1,1,8,1,12,2017
160,Giannis Antetokounmpo,210.82,100.697424,0,0,4,1,15,2017
161,Glenn Robinson III,198.12,100.697424,1,1,3,2,40,2017
162,Goran Dragic,190.5,86.18248,0,0,9,2,45,2017
163,Gordon Hayward,203.2,102.511792,1,1,7,1,9,2017
164,Gorgui Dieng,210.82,108.86208,1,0,4,1,21,2017
165,Greg Monroe,210.82,120.20188,1,1,7,1,7,2017
166,Greivis Vasquez,198.12,98.429464,1,0,7,1,28,2017
167,Harrison Barnes,203.2,102.0582,1,1,5,1,7,2017
168,Hassan Whiteside,213.36,120.20188,1,1,7,2,33,2017
169,Henry Ellenson,210.82,111.13004,1,1,1,1,18,2017
170,Hollis Thompson,203.2,93.439952,1,1,4,Undrafted,Undrafted,2017
171,Ian Clark,190.5,79.3786,1,1,4,Undrafted,Undrafted,2017
172,Ian Mahinmi,210.82,118.841104,0,0,12,1,28,2017
173,Iman Shumpert,195.58,99.79024,1,1,6,1,17,2017
174,Isaiah Canaan,182.88,91.171992,1,1,4,2,34,2017
175,Isaiah Taylor,190.5,77.11064,1,1,1,Undrafted,Undrafted,2017
176,Isaiah Thomas,175.26,83.91452,1,1,6,2,60,2017
177,Isaiah Whitehead,193.04,96.615096,1,1,1,2,42,2017
178,Ish Smith,182.88,79.3786,1,1,7,Undrafted,Undrafted,2017
179,Ivica Zubac,215.9,108.86208,0,0,1,2,32,2017
180,J.J. Barea,182.88,83.91452,1,0,11,Undrafted,Undrafted,2017
181,JJ Redick,193.04,86.18248,1,1,11,1,11,2017
182,JR Smith,198.12,102.0582,0,1,13,1,18,2017
183,JaMychal Green,205.74,102.965384,1,1,3,Undrafted,Undrafted,2017
184,JaVale McGee,213.36,122.46984,1,1,9,1,18,2017
185,Jabari Parker,203.2,113.398,1,1,3,1,2,2017
186,Jae Crowder,198.12,106.59412,1,1,5,2,34,2017
187,Jahlil Okafor,210.82,124.7378,1,1,2,1,3,2017
188,Jake Layman,205.74,95.25431999999999,1,1,1,2,47,2017
189,Jakob Poeltl,213.36,104.32616,1,0,1,1,9,2017
190,Jamal Crawford,195.58,88.45044,1,1,17,1,8,2017
191,Jamal Murray,193.04,93.893544,1,0,1,1,7,2017
192,Jameer Nelson,182.88,86.18248,1,1,13,1,20,2017
193,James Ennis III,200.66,95.25431999999999,1,1,4,2,50,2017
194,James Harden,195.58,99.79024,1,1,8,1,3,2017
195,James Johnson,205.74,113.398,1,1,8,1,16,2017
196,James Jones,203.2,98.883056,1,1,14,2,49,2017
197,James Michael McAdoo,205.74,108.86208,1,1,3,Undrafted,Undrafted,2017
198,James Young,198.12,97.52228,1,1,3,1,17,2017
199,Jared Dudley,200.66,102.0582,1,1,10,1,22,2017
200,Jared Sullinger,205.74,117.93392,1,1,5,1,21,2017
201,Jarell Eddie,200.66,98.883056,1,1,2,Undrafted,Undrafted,2017
202,Jarell Martin,208.28,108.408488,1,1,2,1,25,2017
203,Jarnell Stokes,205.74,115.66596,1,1,3,2,35,2017
204,Jarrett Jack,190.5,90.7184,1,1,12,1,22,2017
205,Jarrod Uthoff,205.74,100.243832,1,1,1,Undrafted,Undrafted,2017
206,Jason Smith,213.36,108.86208,1,1,10,1,20,2017
207,Jason Terry,187.96,83.91452,1,1,18,1,10,2017
208,Jaylen Brown,200.66,102.0582,1,1,1,1,3,2017
209,Jeff Green,205.74,106.59412,1,1,10,1,5,2017
210,Jeff Teague,187.96,84.368112,1,1,8,1,19,2017
211,Jeff Withey,213.36,104.779752,1,1,4,2,39,2017
212,Jerami Grant,205.74,95.25431999999999,1,1,3,2,39,2017
213,Jeremy Lamb,195.58,83.91452,1,1,5,1,12,2017
214,Jeremy Lin,190.5,90.7184,1,1,7,Undrafted,Undrafted,2017
215,Jerian Grant,193.04,89.811216,1,1,2,1,19,2017
216,Jerryd Bayless,190.5,90.7184,1,1,9,1,11,2017
217,Jimmy Butler,200.66,104.779752,1,1,6,1,30,2017
218,Joakim Noah,210.82,104.32616,1,1,10,1,9,2017
219,Jodie Meeks,193.04,95.25431999999999,1,1,8,2,41,2017
220,Joe Harris,198.12,99.336648,1,1,3,2,33,2017
221,Joe Ingles,203.2,102.511792,0,0,3,Undrafted,Undrafted,2017
222,Joe Johnson,200.66,108.86208,1,1,16,1,10,2017
223,Joe Young,187.96,81.64656,1,1,2,2,43,2017
224,Joel Anthony,205.74,111.13004,1,0,10,Undrafted,Undrafted,2017
225,Joel Bolomboy,205.74,106.59412,1,0,1,2,52,2017
226,Joel Embiid,213.36,113.398,1,0,3,1,3,2017
227,Joffrey Lauvergne,210.82,99.79024,0,0,4,2,55,2017
228,John Henson,210.82,103.872568,1,1,5,1,14,2017
229,John Jenkins,193.04,97.52228,1,1,5,1,23,2017
230,John Lucas III,180.34,75.296272,1,1,1,Undrafted,Undrafted,2017
231,John Wall,193.04,95.25431999999999,1,1,7,1,1,2017
232,Johnny O'Bryant III,205.74,116.573144,1,1,3,2,36,2017
233,Jon Leuer,208.28,103.418976,1,1,6,2,40,2017
234,Jonas Jerebko,208.28,104.779752,0,0,8,2,39,2017
235,Jonas Valanciunas,213.36,115.66596,0,0,6,1,5,2017
236,Jonathan Gibson,187.96,83.91452,1,1,1,Undrafted,Undrafted,2017
237,Jonathon Simmons,198.12,88.45044,1,1,2,Undrafted,Undrafted,2017
238,Jordan Clarkson,195.58,87.996848,1,1,3,2,46,2017
239,Jordan Crawford,195.58,88.45044,1,1,7,1,27,2017
240,Jordan Farmar,187.96,81.64656,1,1,11,1,26,2017
241,Jordan Hill,208.28,108.86208,1,1,8,1,8,2017
242,Jordan McRae,195.58,81.19296800000002,1,1,3,2,58,2017
