,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,0,AJ Price,187.96,82.10015200000002,1,1,1,2,52,2010
1,1,Aaron Brooks,182.88,73.028312,1,1,3,1,26,2010
2,2,Aaron Gray,213.36,122.46983999999999,1,1,3,2,49,2010
3,3,Acie Law,190.5,91.625584,1,1,3,1,11,2010
4,4,Adam Morrison,203.2,92.98635999999999,1,1,4,1,3,2010
5,5,Al Harrington,205.74,113.398,0,1,12,1,25,2010
6,6,Al Horford,208.28,111.13004,1,0,3,1,3,2010
7,7,Al Jefferson,208.28,120.20188,0,1,6,1,15,2010
8,8,Al Thornton,203.2,99.79024,1,1,3,1,14,2010
9,9,Alando Tucker,198.12,92.98635999999999,1,1,3,1,29,2010
10,10,Alexis Ajinca,213.36,99.79024,0,0,2,1,20,2010
11,11,Allen Iverson*,182.88,74.84268,1,1,14,1,1,2010
12,12,Alonzo Gee,198.12,99.79024,1,1,1,Undrafted,Undrafted,2010
13,13,Amare Stoudemire,208.28,112.94440800000001,0,1,8,1,9,2010
14,14,Amir Johnson,205.74,95.25432,0,1,5,2,56,2010
15,15,Anderson Varejao,210.82,117.93392,0,0,6,2,30,2010
16,16,Andray Blatche,210.82,112.490816,0,1,5,2,49,2010
17,17,Andre Iguodala,198.12,93.89354399999999,1,1,6,1,9,2010
18,18,Andre Miller,187.96,90.7184,1,1,11,1,8,2010
19,19,Andrea Bargnani,213.36,113.398,0,0,4,1,1,2010
20,20,Andrei Kirilenko,205.74,102.0582,0,0,11,1,24,2010
21,21,Andres Nocioni,200.66,102.0582,0,0,6,Undrafted,Undrafted,2010
22,22,Andrew Bogut,213.36,117.93392,1,0,5,1,1,2010
23,23,Andrew Bynum,213.36,129.27372,0,1,5,1,10,2010
24,24,Andris Biedrins,210.82,108.86208,0,0,6,1,11,2010
25,25,Antawn Jamison,205.74,106.59411999999999,1,1,12,1,4,2010
26,26,Anthony Carter,187.96,88.45044,1,1,6,Undrafted,Undrafted,2010
27,27,Anthony Johnson,190.5,88.45044,1,1,13,2,39,2010
28,28,Anthony Morrow,195.58,95.25432,1,1,2,Undrafted,Undrafted,2010
29,29,Anthony Parker,198.12,97.52228000000001,1,1,13,1,21,2010
30,30,Anthony Randolph,208.28,95.25432,1,1,2,1,14,2010
31,31,Anthony Tolliver,205.74,110.22285600000001,1,1,2,Undrafted,Undrafted,2010
32,32,Antoine Wright,200.66,97.52228000000001,1,1,5,1,15,2010
33,33,Antonio Anderson,198.12,97.52228000000001,1,1,1,Undrafted,Undrafted,2010
34,34,Antonio McDyess,205.74,111.13004,1,1,15,1,2,2010
35,35,Arron Afflalo,195.58,97.52228000000001,1,1,3,1,27,2010
36,36,Austin Daye,210.82,90.7184,1,1,1,1,15,2010
37,37,Baron Davis,190.5,97.52228000000001,1,1,11,1,3,2010
