,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,0,AJ Price,187.96,82.10015200000002,1,1,2,2,52,2011
1,1,Aaron Brooks,182.88,73.028312,1,1,4,1,26,2011
2,2,Aaron Gray,213.36,122.46983999999999,1,1,4,2,49,2011
3,3,Acie Law,190.5,91.625584,1,1,4,1,11,2011
4,4,Al Harrington,205.74,113.398,0,1,13,1,25,2011
5,5,Al Horford,208.28,111.13004,1,0,4,1,3,2011
6,6,Al Jefferson,208.28,127.00576000000001,0,1,7,1,15,2011
7,7,Al Thornton,203.2,106.59411999999999,1,1,4,1,14,2011
8,8,Al-Farouq Aminu,205.74,97.52228000000001,1,1,1,1,8,2011
9,9,Alexis Ajinca,218.44,112.490816,0,0,3,1,20,2011
10,10,Alonzo Gee,198.12,99.79024,1,1,2,Undrafted,Undrafted,2011
11,11,Amare Stoudemire,208.28,108.86208,0,1,9,1,9,2011
12,12,Amir Johnson,205.74,95.25432,0,1,6,2,56,2011
13,13,Anderson Varejao,210.82,117.93392,0,0,7,2,30,2011
14,14,Andray Blatche,210.82,117.93392,0,1,6,2,49,2011
15,15,Andre Iguodala,198.12,93.89354399999999,1,1,7,1,9,2011
16,16,Andre Miller,187.96,90.7184,1,1,12,1,8,2011
17,17,Andrea Bargnani,213.36,113.398,0,0,5,1,1,2011
18,18,Andrei Kirilenko,205.74,106.59411999999999,0,0,12,1,24,2011
19,19,Andres Nocioni,200.66,102.0582,0,0,7,Undrafted,Undrafted,2011
20,20,Andrew Bogut,213.36,117.93392,1,0,6,1,1,2011
21,21,Andrew Bynum,213.36,129.27372,0,1,6,1,10,2011
22,22,Andris Biedrins,213.36,108.86208,0,0,7,1,11,2011
23,23,Andy Rautins,193.04,86.18248,1,1,1,2,38,2011
24,24,Antawn Jamison,205.74,106.59411999999999,1,1,13,1,4,2011
25,25,Anthony Carter,187.96,88.45044,1,1,7,Undrafted,Undrafted,2011
26,26,Anthony Morrow,195.58,95.25432,1,1,3,Undrafted,Undrafted,2011
27,27,Anthony Parker,198.12,95.25432,1,1,14,1,21,2011
28,28,Anthony Randolph,210.82,102.0582,1,1,3,1,14,2011
29,29,Anthony Tolliver,205.74,110.22285600000001,1,1,3,Undrafted,Undrafted,2011
30,30,Antoine Wright,200.66,97.52228000000001,1,1,6,1,15,2011
31,31,Antonio Daniels,193.04,92.98635999999999,1,1,14,1,4,2011
32,32,Antonio McDyess,205.74,111.13004,1,1,16,1,2,2011
33,33,Armon Johnson,190.5,88.45044,1,1,1,2,34,2011
34,34,Arron Afflalo,195.58,97.52228000000001,1,1,4,1,27,2011
35,35,Austin Daye,210.82,90.7184,1,1,2,1,15,2011
36,36,Avery Bradley,187.96,81.64656,1,1,1,1,19,2011
37,37,Baron Davis,190.5,97.52228000000001,1,1,12,1,3,2011
38,38,Ben Gordon,190.5,90.7184,1,1,7,1,3,2011
39,39,Ben Uzoh,190.5,92.98635999999999,1,1,1,Undrafted,Undrafted,2011
40,40,Ben Wallace,205.74,108.86208,1,1,7,Undrafted,Undrafted,2011
41,41,Beno Udrih,190.5,92.98635999999999,0,0,7,1,28,2011
42,42,Blake Griffin,208.28,113.851592,1,1,2,1,1,2011
43,43,Bobby Simmons,198.12,106.59411999999999,1,1,10,2,41,2011
44,44,Boris Diaw,203.2,106.59411999999999,0,0,8,1,21,2011
45,45,Brad Miller,213.36,118.38751200000002,1,1,7,Undrafted,Undrafted,2011
46,46,Brandan Wright,208.28,95.25432,1,1,4,1,8,2011
47,47,Brandon Bass,203.2,113.398,1,1,6,2,33,2011
48,48,Brandon Jennings,185.42,76.657048,0,1,2,1,10,2011
49,49,Brandon Roy,198.12,95.707912,1,1,5,1,6,2011
50,50,Brandon Rush,198.12,95.25432,1,1,3,1,13,2011
51,51,Brendan Haywood,213.36,119.294696,1,1,10,1,20,2011
52,52,Brian Cardinal,203.2,108.86208,1,1,11,2,44,2011
53,53,Brian Cook,205.74,113.398,1,1,8,1,24,2011
54,54,Brian Scalabrine,205.74,106.59411999999999,1,1,10,2,34,2011
55,55,Brian Skinner,205.74,115.66596000000001,1,1,13,1,22,2011
56,56,Brook Lopez,213.36,120.20188,1,1,3,1,10,2011
57,57,Byron Mullens,213.36,124.7378,1,1,2,1,24,2011
58,58,CJ Watson,187.96,79.3786,1,1,4,Undrafted,Undrafted,2011
59,59,CJ Miles,198.12,105.23334399999999,0,1,6,2,34,2011
60,60,Carl Landry,205.74,112.490816,1,1,4,2,31,2011
61,61,Carlos Arroyo,187.96,90.7184,1,0,2,Undrafted,Undrafted,2011
62,62,Carlos Boozer,205.74,120.655472,1,1,9,2,34,2011
63,63,Carlos Delfino,198.12,104.32616,0,0,8,1,25,2011
64,64,Carmelo Anthony,203.2,104.32616,1,1,8,1,3,2011
65,65,Caron Butler,200.66,103.418976,1,1,9,1,10,2011
66,66,Cartier Martin,200.66,99.79024,1,1,3,Undrafted,Undrafted,2011
67,67,Channing Frye,210.82,111.13004,1,1,6,1,8,2011
68,68,Charlie Bell,190.5,90.7184,1,1,6,Undrafted,Undrafted,2011
69,69,Charlie Villanueva,210.82,105.23334399999999,1,1,6,1,7,2011
70,70,Chase Budinger,200.66,98.88305600000001,1,1,2,2,44,2011
71,71,Chauncey Billups,190.5,95.25432,1,1,14,1,3,2011
72,72,Chris Andersen,208.28,103.418976,1,1,4,Undrafted,Undrafted,2011
73,73,Chris Bosh,210.82,106.59411999999999,1,1,8,1,4,2011
74,74,Chris Douglas-Roberts,200.66,95.25432,1,1,3,2,40,2011
75,75,Chris Duhon,185.42,86.18248,1,1,7,2,38,2011
76,76,Chris Johnson,210.82,95.25432,1,1,1,Undrafted,Undrafted,2011
77,77,Chris Kaman,213.36,120.20188,1,1,8,1,6,2011
78,78,Chris Paul,182.88,79.3786,1,1,6,1,4,2011
79,79,Chris Quinn,187.96,79.3786,1,1,5,Undrafted,Undrafted,2011
80,80,Chris Wilcox,208.28,106.59411999999999,1,1,9,1,8,2011
81,81,Christian Eyenga,195.58,95.25432,0,0,2,1,30,2011
82,82,Chuck Hayes,198.12,107.95489599999999,1,1,6,Undrafted,Undrafted,2011
83,83,Cole Aldrich,210.82,111.13004,1,1,1,1,11,2011
84,84,Corey Brewer,205.74,85.275296,1,1,4,1,7,2011
85,85,Corey Maggette,198.12,102.0582,1,1,12,1,13,2011
86,86,Courtney Lee,195.58,90.7184,1,1,3,1,22,2011
87,87,Craig Brackins,208.28,104.32616,1,1,1,1,21,2011
88,88,Craig Smith,200.66,120.20188,1,1,5,2,36,2011
89,89,DJ Augustin,182.88,81.64656,1,1,3,1,9,2011
90,90,DJ Mbenga,213.36,115.66596000000001,0,0,7,Undrafted,Undrafted,2011
91,91,DJ White,205.74,113.851592,1,1,3,1,29,2011
92,92,DaJuan Summers,203.2,108.86208,1,1,2,2,35,2011
93,93,Daequan Cook,195.58,95.25432,1,1,4,1,21,2011
94,94,Dahntay Jones,198.12,95.25432,1,1,8,1,20,2011
95,95,Damien Wilkins,198.12,102.0582,1,1,7,Undrafted,Undrafted,2011
96,96,Damion James,200.66,99.79024,1,1,1,1,24,2011
97,97,Dan Gadzuric,210.82,108.86208,1,0,9,2,33,2011
98,98,Daniel Gibson,187.96,90.7184,1,1,5,2,42,2011
99,99,Danilo Gallinari,208.28,102.0582,0,0,3,1,6,2011
100,100,Danny Granger,203.2,103.418976,1,1,6,1,17,2011
