,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,AJ Price,187.96,88.45044,1,1,6,2,52,2015
1,Aaron Brooks,182.88,73.028312,1,1,8,1,26,2015
2,Aaron Gordon,205.74,99.79024,1,1,1,1,4,2015
3,Adreian Payne,208.28,111.13004,1,1,1,1,15,2015
4,Al Horford,208.28,113.398,1,0,8,1,3,2015
5,Al Jefferson,208.28,131.088088,0,1,11,1,15,2015
6,Al-Farouq Aminu,205.74,97.52228,1,1,5,1,8,2015
7,Alan Anderson,198.12,99.79024,1,1,4,Undrafted,Undrafted,2015
8,Alec Burks,198.12,95.707912,1,1,4,1,12,2015
9,Alex Kirk,213.36,111.13004,1,1,1,Undrafted,Undrafted,2015
10,Alex Len,215.9,115.66596,1,0,2,1,5,2015
11,Alexey Shved,198.12,84.821704,0,0,3,Undrafted,Undrafted,2015
12,Alexis Ajinca,218.44,112.490816,0,0,7,1,20,2015
13,Allen Crabbe,198.12,95.25431999999999,1,1,2,2,31,2015
14,Alonzo Gee,198.12,102.0582,1,1,6,Undrafted,Undrafted,2015
15,Amar'e Stoudemire,208.28,111.13004,0,1,13,1,9,2015
16,Amir Johnson,205.74,108.86208,0,1,10,2,56,2015
17,Anderson Varejao,210.82,121.109064,0,0,11,2,30,2015
18,Andre Dawkins,195.58,99.336648,1,1,1,Undrafted,Undrafted,2015
19,Andre Drummond,210.82,126.552168,1,1,3,1,9,2015
20,Andre Iguodala,198.12,97.52228,1,1,11,1,9,2015
21,Andre Miller,187.96,90.7184,1,1,16,1,8,2015
22,Andre Roberson,200.66,95.25431999999999,1,1,2,1,26,2015
23,Andrea Bargnani,213.36,111.13004,0,0,9,1,1,2015
24,Andrei Kirilenko,205.74,106.59412,0,0,16,1,24,2015
25,Andrew Bogut,213.36,117.93392,1,0,10,1,1,2015
26,Andrew Nicholson,205.74,113.398,1,0,3,1,19,2015
27,Andrew Wiggins,203.2,90.264808,1,0,1,1,1,2015
28,Anthony Bennett,203.2,111.13004,1,0,2,1,1,2015
29,Anthony Davis,208.28,99.79024,1,1,3,1,1,2015
30,Anthony Morrow,195.58,95.25431999999999,1,1,7,Undrafted,Undrafted,2015
31,Anthony Tolliver,203.2,108.86208,1,1,7,Undrafted,Undrafted,2015
32,Archie Goodwin,195.58,89.811216,1,1,2,1,29,2015
33,Arinze Onuaku,205.74,124.7378,1,1,2,Undrafted,Undrafted,2015
34,Aron Baynes,208.28,117.93392,1,0,3,Undrafted,Undrafted,2015
35,Arron Afflalo,195.58,97.52228,1,1,8,1,27,2015
36,Austin Daye,210.82,99.79024,1,1,6,1,15,2015
37,Austin Rivers,193.04,90.7184,1,1,3,1,10,2015
38,Avery Bradley,187.96,81.64656,1,1,5,1,19,2015
39,Ben Gordon,190.5,92.98636,1,1,11,1,3,2015
40,Ben McLemore,195.58,88.45044,1,1,2,1,7,2015
41,Beno Udrih,190.5,92.98636,0,0,11,1,28,2015
42,Bernard James,208.28,106.59412,1,1,3,2,33,2015
43,Bismack Biyombo,205.74,111.13004,0,0,4,1,7,2015
44,Blake Griffin,208.28,113.851592,1,1,6,1,1,2015
45,Bojan Bogdanovic,203.2,97.975872,0,0,4,2,31,2015
46,Boris Diaw,203.2,113.398,0,0,12,1,21,2015
47,Bradley Beal,195.58,93.893544,1,1,3,1,3,2015
48,Brandan Wright,208.28,95.25431999999999,1,1,8,1,8,2015
49,Brandon Bass,203.2,113.398,1,1,10,2,33,2015
50,Brandon Davies,208.28,108.86208,1,1,2,Undrafted,Undrafted,2015
51,Brandon Jennings,185.42,76.657048,0,1,6,1,10,2015
52,Brandon Knight,190.5,85.728888,1,1,4,1,8,2015
53,Brandon Rush,198.12,99.79024,1,1,7,1,13,2015
54,Brendan Haywood,213.36,119.294696,1,1,14,1,20,2015
55,Brian Roberts,185.42,78.471416,1,1,3,Undrafted,Undrafted,2015
56,Brook Lopez,213.36,124.7378,1,1,7,1,10,2015
57,Bruno Caboclo,205.74,92.98636,0,0,1,1,20,2015
58,Bryce Cotton,185.42,74.84268,1,1,1,Undrafted,Undrafted,2015
59,C.J. Watson,187.96,79.3786,1,1,8,Undrafted,Undrafted,2015
60,CJ McCollum,193.04,90.7184,1,1,2,1,10,2015
61,CJ Miles,198.12,104.779752,0,1,10,2,34,2015
62,CJ Wilcox,195.58,88.45044,1,1,1,1,28,2015
63,Cameron Bairstow,205.74,113.398,1,0,1,2,49,2015
64,Carl Landry,205.74,112.490816,1,1,8,2,31,2015
65,Carlos Boozer,205.74,117.026736,1,1,13,2,34,2015
66,Carmelo Anthony,203.2,108.86208,1,1,12,1,3,2015
67,Caron Butler,200.66,103.418976,1,1,13,1,10,2015
68,Cartier Martin,200.66,99.79024,1,1,7,Undrafted,Undrafted,2015
69,Chandler Parsons,205.74,102.965384,1,1,4,2,38,2015
70,Channing Frye,210.82,115.66596,1,1,10,1,8,2015
71,Charlie Villanueva,210.82,105.233344,1,1,10,1,7,2015
72,Chase Budinger,200.66,94.800728,1,1,6,2,44,2015
73,Chris Andersen,208.28,111.13004,1,1,8,Undrafted,Undrafted,2015
74,Chris Bosh,210.82,106.59412,1,1,12,1,4,2015
75,Chris Copeland,203.2,106.59412,1,1,3,Undrafted,Undrafted,2015
76,Chris Douglas-Roberts,200.66,95.25431999999999,1,1,7,2,40,2015
77,Chris Johnson,198.12,91.171992,1,1,5,Undrafted,Undrafted,2015
78,Chris Kaman,213.36,120.20188,1,1,12,1,6,2015
79,Chris Paul,182.88,79.3786,1,1,10,1,4,2015
80,Chuck Hayes,198.12,108.86208,1,1,10,Undrafted,Undrafted,2015
81,Cleanthony Early,203.2,99.79024,1,1,1,2,34,2015
82,Clint Capela,208.28,108.86208,0,0,1,1,25,2015
83,Cody Zeller,213.36,108.86208,1,1,2,1,4,2015
84,Cole Aldrich,210.82,113.398,1,1,5,1,11,2015
85,Corey Brewer,205.74,84.368112,1,1,8,1,7,2015
86,Cory Jefferson,205.74,98.883056,1,1,1,2,60,2015
87,Cory Joseph,190.5,86.18248,1,0,4,1,29,2015
88,Courtney Lee,195.58,90.7184,1,1,7,1,22,2015
89,D.J. Augustin,182.88,83.007336,1,1,7,1,9,2015
90,Dahntay Jones,198.12,102.0582,1,1,12,1,20,2015
91,Damian Lillard,190.5,88.45044,1,1,3,1,6,2015
92,Damjan Rudez,208.28,90.7184,0,0,1,Undrafted,Undrafted,2015
93,Danilo Gallinari,208.28,102.0582,0,0,7,1,6,2015
94,Danny Granger,205.74,100.697424,1,1,10,1,17,2015
95,Danny Green,198.12,97.52228,1,1,6,2,46,2015
96,Dante Cunningham,203.2,104.32616,1,1,6,2,33,2015
97,Dante Exum,198.12,86.18248,0,0,1,1,5,2015
98,Darius Miller,203.2,102.0582,1,1,3,2,46,2015
99,Darius Morris,193.04,88.45044,1,1,4,2,41,2015
100,Darrell Arthur,205.74,106.59412,1,1,7,1,27,2015
101,Darren Collison,182.88,79.3786,1,1,6,1,21,2015
102,David Lee,205.74,111.13004,1,1,10,1,30,2015
103,David Stockton,180.34,74.84268,1,1,1,Undrafted,Undrafted,2015
104,David Wear,208.28,104.32616,1,1,1,Undrafted,Undrafted,2015
105,David West,205.74,113.398,1,1,12,1,18,2015
106,DeAndre Jordan,210.82,120.20188,1,1,7,2,35,2015
107,DeJuan Blair,200.66,122.46984,1,1,6,2,37,2015
108,DeMar DeRozan,200.66,99.79024,1,1,6,1,9,2015
109,DeMarcus Cousins,210.82,122.46984,1,1,5,1,5,2015
110,DeMarre Carroll,203.2,96.161504,1,1,6,1,27,2015
111,Dennis Schroder,185.42,76.203456,0,0,2,1,17,2015
112,Deron Williams,190.5,90.7184,1,1,10,1,3,2015
113,Derrick Favors,208.28,118.841104,1,1,5,1,3,2015
114,Derrick Rose,190.5,86.18248,1,1,7,1,1,2015
115,Derrick Williams,203.2,108.86208,1,1,4,1,2,2015
116,Devin Harris,190.5,87.089664,1,1,11,1,5,2015
117,Devyn Marble,198.12,90.7184,1,1,1,2,56,2015
118,Dewayne Dedmon,213.36,111.13004,1,1,2,Undrafted,Undrafted,2015
119,Dion Waiters,193.04,102.0582,1,1,3,1,4,2015
120,Dirk Nowitzki,213.36,111.13004,0,0,17,1,9,2015
121,Donald Sloan,190.5,92.98636,1,1,4,Undrafted,Undrafted,2015
122,Donatas Motiejunas,213.36,115.66596,0,0,4,1,20,2015
123,Dorell Wright,205.74,92.98636,0,1,11,1,19,2015
124,Doug McDermott,203.2,102.0582,1,1,1,1,11,2015
125,Draymond Green,200.66,104.32616,1,1,3,2,35,2015
126,Drew Gooden,208.28,113.398,1,1,13,1,4,2015
127,Drew Gordon,205.74,111.13004,1,1,1,Undrafted,Undrafted,2015
128,Dwight Buycks,190.5,86.18248,1,1,2,Undrafted,Undrafted,2015
129,Dwight Howard,210.82,124.7378,0,1,11,1,1,2015
130,Dwight Powell,210.82,108.86208,1,0,1,2,45,2015
131,Dwyane Wade,193.04,99.79024,1,1,12,1,5,2015
132,E'Twaun Moore,193.04,86.636072,1,1,4,2,55,2015
133,Earl Barron,213.36,113.398,1,1,1,Undrafted,Undrafted,2015
134,Earl Clark,208.28,106.140528,1,1,6,1,14,2015
135,Ed Davis,208.28,108.86208,1,1,5,1,13,2015
136,Ekpe Udoh,208.28,111.13004,1,1,5,1,6,2015
137,Elfrid Payton,193.04,83.91452,1,1,1,1,10,2015
138,Elijah Millsap,198.12,97.52228,1,1,1,Undrafted,Undrafted,2015
139,Elliot Williams,196.0,86.0,1,1,5,1,22,2015
140,Elton Brand,205.74,115.212368,1,1,16,1,1,2015
141,Enes Kanter,210.82,111.13004,1,0,4,1,3,2015
142,Eric Bledsoe,185.42,88.45044,1,1,5,1,18,2015
143,Eric Gordon,193.04,97.52228,1,1,7,1,7,2015
144,Eric Moreland,208.28,98.883056,1,1,1,Undrafted,Undrafted,2015
145,Erick Green,193.04,83.91452,1,1,2,2,46,2015
146,Ersan Ilyasova,208.28,106.59412,0,0,10,2,36,2015
147,Evan Fournier,200.66,92.98636,0,0,3,1,20,2015
148,Evan Turner,200.66,99.79024,1,1,5,1,2,2015
149,Festus Ezeli,210.82,120.20188,1,0,3,1,30,2015
150,Francisco Garcia,200.66,97.52228,1,0,10,1,23,2015
151,Furkan Aldemir,208.28,108.86208,0,0,3,2,53,2015
152,Gal Mekel,190.5,86.636072,1,0,2,Undrafted,Undrafted,2015
153,Garrett Temple,198.12,88.45044,1,1,3,Undrafted,Undrafted,2015
154,Gary Harris,193.04,95.25431999999999,1,1,1,1,19,2015
155,Gary Neal,193.04,95.25431999999999,1,1,5,Undrafted,Undrafted,2015
156,George Hill,190.5,85.275296,1,1,7,1,26,2015
157,Gerald Green,203.2,95.25431999999999,0,1,10,1,18,2015
158,Gerald Henderson,195.58,97.52228,1,1,6,1,12,2015
159,Gerald Wallace,200.66,99.79024,1,1,14,1,25,2015
160,Giannis Antetokounmpo,210.82,98.429464,0,0,2,1,15,2015
161,Gigi Datome,203.2,97.52228,0,0,2,Undrafted,Undrafted,2015
162,Glen Davis,205.74,131.088088,1,1,8,2,35,2015
163,Glen Rice,198.12,93.439952,1,1,2,2,35,2015
164,Glenn Robinson III,200.66,100.697424,1,1,1,2,40,2015
165,Goran Dragic,190.5,86.18248,0,0,7,2,45,2015
166,Gordon Hayward,203.2,102.0582,1,1,5,1,9,2015
167,Gorgui Dieng,210.82,105.68693600000002,1,0,2,1,21,2015
168,Grant Jerrett,208.28,105.233344,1,1,2,2,40,2015
169,Greg Monroe,210.82,113.398,1,1,5,1,7,2015
170,Greg Smith,208.28,113.398,1,1,4,Undrafted,Undrafted,2015
171,Greg Stiemsma,210.82,117.93392,1,1,4,Undrafted,Undrafted,2015
172,Greivis Vasquez,198.12,90.7184,1,0,5,1,28,2015
173,Harrison Barnes,203.2,102.0582,1,1,3,1,7,2015
174,Hassan Whiteside,213.36,120.20188,1,1,5,2,33,2015
175,Hedo Turkoglu,208.28,99.79024,0,0,15,1,16,2015
176,Henry Sims,208.28,112.490816,1,1,3,Undrafted,Undrafted,2015
177,Henry Walker,198.12,106.59412,1,1,7,2,47,2015
178,Hollis Thompson,203.2,93.439952,1,1,2,Undrafted,Undrafted,2015
179,Ian Clark,190.5,81.64656,1,1,2,Undrafted,Undrafted,2015
180,Ian Mahinmi,210.82,113.398,0,0,10,1,28,2015
181,Iman Shumpert,195.58,99.79024,1,1,4,1,17,2015
182,Isaiah Canaan,182.88,91.171992,1,1,2,2,34,2015
183,Isaiah Thomas,175.26,83.91452,1,1,4,2,60,2015
184,Ish Smith,182.88,79.3786,1,1,5,Undrafted,Undrafted,2015
185,J.J. Barea,182.88,83.91452,1,0,9,Undrafted,Undrafted,2015
186,JJ Hickson,205.74,109.76926399999999,1,1,7,1,19,2015
187,JJ Redick,193.04,86.18248,1,1,9,1,11,2015
188,JR Smith,198.12,102.0582,0,1,11,1,18,2015
189,JaKarr Sampson,205.74,97.068688,1,1,1,Undrafted,Undrafted,2015
190,JaMychal Green,203.2,104.32616,1,1,1,Undrafted,Undrafted,2015
191,JaVale McGee,213.36,122.46984,1,1,7,1,18,2015
192,Jabari Brown,195.58,97.068688,1,1,1,Undrafted,Undrafted,2015
193,Jabari Parker,203.2,108.86208,1,1,1,1,2,2015
194,Jack Cooley,205.74,111.583632,1,1,1,Undrafted,Undrafted,2015
195,Jae Crowder,198.12,106.59412,1,1,3,2,34,2015
196,Jamaal Franklin,195.58,86.636072,1,1,2,2,41,2015
197,Jamal Crawford,195.58,90.7184,1,1,15,1,8,2015
198,Jameer Nelson,182.88,86.18248,1,1,11,1,20,2015
199,James Ennis III,200.66,94.347136,1,1,2,2,50,2015
200,James Harden,195.58,102.0582,1,1,6,1,3,2015
201,James Johnson,205.74,113.398,1,1,6,1,16,2015
202,James Jones,203.2,97.52228,1,1,12,2,49,2015
203,James Michael McAdoo,205.74,104.32616,1,1,1,Undrafted,Undrafted,2015
