,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Quincy Acy,PF,25,SAC,59,876,0.0,0.0,0.0,92.0,8.0,29,2.0,3.6,0.556,0.3,0.8,0.38799999999999996,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,14.7,0.629,0.22899999999999998,0.318,8.1,15.1,11.6,1.6,2.2,10.0,13.1,1.8,0.7,2.5,0.13699999999999998,-0.2,0.2,-0.1,0.4
1,Jordan Adams,SG,21,MEM,2,15,0.0,60.0,40.0,0.0,0.0,0,1.0,3.0,0.33299999999999996,0.0,0.5,0.0,1.0,2.5,0.4,0.33299999999999996,1.5,2.5,0.6,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5,17.3,0.42700000000000005,0.16699999999999998,0.833,0.0,15.9,7.6,10.3,0.0,19.6,30.5,0.0,0.0,0.0,0.015,-2.5,9.4,6.9,0.0
2,Steven Adams,C,22,OKC,80,2014,0.0,0.0,0.0,0.0,100.0,80,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.613,0.613,1.4,2.5,0.5820000000000001,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.0,0.2,0.2,1.1
3,Arron Afflalo,SG,30,NYK,71,2371,1.0,81.0,18.0,0.0,0.0,57,5.0,11.3,0.44299999999999995,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8,10.9,0.531,0.298,0.16399999999999998,1.1,11.0,6.1,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-1.3,-1.6,-2.9,-0.5
4,Alexis Ajinca,C,27,NOP,59,861,0.0,0.0,0.0,0.0,100.0,17,2.5,5.3,0.47600000000000003,0.0,0.0,0.0,2.5,5.3,0.478,0.47600000000000003,0.9,1.1,0.8390000000000001,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0,13.8,0.514,0.003,0.19699999999999998,9.3,25.9,17.3,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.057999999999999996,-3.4,-0.6,-4.0,-0.4
5,Cole Aldrich,C,27,LAC,60,800,0.0,0.0,0.0,3.0,97.0,5,2.2,3.8,0.596,0.0,0.0,0.0,2.2,3.8,0.596,0.596,1.0,1.4,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,21.3,0.626,0.0,0.373,11.9,27.1,19.6,2.9,6.7,19.6,18.4,1.4,2.0,3.5,0.209,-0.9,3.4,2.4,0.9
6,LaMarcus Aldridge,PF,30,SAS,74,2261,0.0,0.0,0.0,54.0,46.0,74,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,22.4,0.565,0.015,0.289,9.2,22.2,15.9,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,2.0,0.3,2.3,2.5
7,Cliff Alexander,PF,20,POR,8,36,0.0,0.0,0.0,100.0,0.0,0,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,11.6,0.5,0.0,0.0,6.0,12.1,9.0,1.4,4.4,9.1,13.3,0.0,0.0,0.0,0.052000000000000005,-0.5,0.5,0.0,0.0
8,Lavoy Allen,PF,26,IND,79,1599,0.0,0.0,1.0,89.0,11.0,28,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4,12.4,0.532,0.0,0.19699999999999998,11.1,17.8,14.5,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-1.7,0.1,-1.6,0.2
9,Tony Allen,SG,34,MEM,64,1620,6.0,93.0,2.0,0.0,0.0,57,3.4,7.3,0.45799999999999996,0.2,0.7,0.35700000000000004,3.1,6.7,0.46799999999999997,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,12.9,0.505,0.09,0.294,7.0,14.1,10.4,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.07200000000000001,-2.2,1.2,-1.0,0.4
10,Al-Farouq Aminu,SF,25,POR,82,2341,0.0,0.0,56.0,44.0,1.0,82,3.6,8.8,0.41600000000000004,1.5,4.3,0.361,2.1,4.5,0.46799999999999997,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,12.7,0.5329999999999999,0.485,0.217,4.5,18.6,11.5,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.08199999999999999,-0.2,0.2,0.1,1.2
