,Player,PG%,SG%,SF%,PF%,C%,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
238,Orlando Johnson,0.0,92,9,0.0,0.0,SG,24,TOT,45,0,8.7,0.8,2.5,.319,0.2,1.0,.191,0.6,1.5,.409,.358,0.4,0.6,.731,0.2,1.0,1.2,0.4,0.1,0.0,0.3,0.6,2.2,5.3,.402,.416,.230,2.7,12.6,7.9,0.8,0.4,10.8,16.2,-0.5,0.5,0.1,.008,-4.8,-0.3,-5.1,-0.3
239,Wesley Johnson,0.0,3,64,33,0.0,SF,26,LAL,79,62,28.4,3.5,8.2,.425,1.3,3.4,.369,2.2,4.8,.466,.502,0.8,1.0,.792,0.9,3.5,4.4,1.6,1.1,1.0,1.1,2.6,9.1,11.0,.522,.416,.118,3.3,13.3,8.3,1.9,2.5,11.6,15.1,0.4,1.5,1.9,.041,-1.6,0.5,-1.1,0.5
240,Darius Johnson-Odom,59,39,2,0.0,0.0,SG,24,PHI,3,0,5.0,0.0,2.3,.000,0.0,1.0,.000,0.0,1.3,.000,.000,0.0,0.7,.000,0.0,0.7,0.7,0.3,0.3,0.0,0.7,1.0,0.0,-23.0,.000,.429,.286,0.0,15.0,7.2,3.2,0.0,20.2,27.9,-0.2,0.0,-0.2,-0.661,-23.0,-4.4,-27.3,-0.1
241,James Jones,0.0,56,44,0.0,0.0,SF,33,MIA,20,6,11.8,1.6,3.4,.456,1.4,2.7,.519,0.2,0.7,.214,.662,0.4,0.6,.636,0.1,1.1,1.2,0.5,0.2,0.2,0.2,0.3,4.9,15.4,.666,.794,.162,1.1,10.8,6.1,0.7,1.5,5.2,15.6,0.6,0.1,0.7,.147,4.1,-0.9,3.2,0.3
242,Perry Jones,0.0,0.0,2,58,41,PF,22,OKC,62,7,12.3,1.3,2.9,.459,0.4,1.0,.361,1.0,1.9,.508,.519,0.5,0.7,.667,0.5,1.4,1.8,0.4,0.2,0.3,0.3,1.0,3.5,10.1,.541,.337,.232,4.3,12.1,8.4,0.9,2.0,9.5,12.8,0.7,0.8,1.5,.094,-1.2,-0.2,-1.4,0.1
243,Solomon Jones,0.0,0.0,0.0,66,35,PF,29,ORL,11,0,7.7,0.5,1.5,.353,0.0,0.0,0.0,0.5,1.5,.353,.353,0.2,0.4,.500,0.7,0.7,1.5,0.2,0.2,0.2,0.2,1.1,1.3,5.8,.373,.000,.235,10.6,10.7,10.7,1.2,1.8,9.6,11.1,0.0,0.1,0.0,.013,-5.1,-1.5,-6.6,-0.1
244,Terrence Jones,0.0,0.0,0.0,90,9,PF,22,HOU,76,71,27.3,5.1,9.4,.542,0.4,1.3,.307,4.7,8.0,.581,.564,1.6,2.6,.605,2.1,4.8,6.9,1.1,0.7,1.3,0.9,1.8,12.1,19.1,.577,.142,.274,9.2,18.5,14.1,1.3,3.5,8.2,18.3,4.6,2.7,7.3,.169,1.9,0.3,2.2,2.2
245,DeAndre Jordan,0.0,0.0,0.0,1,99,C,25,LAC,82,82,35.0,4.2,6.3,.676,0.0,0.0,0.0,4.2,6.3,.676,.676,2.0,4.6,.428,4.0,9.5,13.6,0.9,1.0,2.5,1.5,3.2,10.4,18.2,.630,.000,.726,13.3,29.3,21.6,1.4,5.4,15.3,12.4,5.3,5.8,11.1,.186,0.9,1.6,2.5,3.3
246,Cory Joseph,47,53,0.0,0.0,0.0,SG,22,SAS,68,19,13.8,1.9,3.9,.475,0.2,0.6,.316,1.7,3.3,.502,.498,1.2,1.4,.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5.0,14.7,.558,.143,.362,4.0,8.7,6.4,1.9,1.1,12.3,16.9,1.6,1.3,2.9,.148,-0.4,1.3,0.9,0.7
247,Chris Kaman,0.0,0.0,0.0,2,98,C,31,LAL,39,13,18.9,4.5,8.9,.509,0.0,0.1,.000,4.5,8.8,.513,.509,1.3,1.7,.765,1.4,4.5,5.9,1.5,0.3,1.0,1.9,2.4,10.4,17.0,.537,.009,.197,7.8,25.4,16.6,0.7,3.9,16.4,26.7,-0.2,0.7,0.5,.036,-1.7,0.3,-1.4,0.1
248,Enes Kanter,0.0,0.0,0.0,3,97,C,21,UTA,80,37,26.7,5.2,10.7,.491,0.0,0.0,.000,5.2,10.7,.492,.491,1.9,2.6,.730,2.8,4.7,7.5,0.9,0.4,0.5,1.8,2.9,12.3,15.6,.523,.001,.239,11.6,20.9,16.1,0.7,1.5,13.3,23.3,1.3,0.9,2.2,.050,-1.2,-2.4,-3.6,-0.9
249,Sergey Karasev,0.0,11,82,7,0.0,SF,20,CLE,22,1,7.1,0.5,1.6,.343,0.2,0.9,.211,0.4,0.7,.500,.400,0.4,0.5,.900,0.0,0.7,0.7,0.3,0.1,0.0,0.5,1.0,1.7,2.3,.470,.543,.286,0.0,11.8,5.8,1.0,0.5,21.8,14.4,-0.2,0.1,-0.1,-0.041,-7.5,-0.9,-8.4,-0.3
250,Ryan Kelly,0.0,0.0,1,80,20,PF,22,LAL,59,25,22.2,2.7,6.3,.423,0.8,2.4,.338,1.8,3.9,.476,.488,1.9,2.3,.815,0.7,3.0,3.7,1.6,0.5,0.8,0.8,2.5,8.0,12.6,.548,.383,.364,3.4,14.4,8.9,1.2,2.5,9.8,15.9,1.5,0.7,2.2,.081,-1.4,-0.1,-1.5,0.2
251,Michael Kidd-Gilchrist,0.0,0.0,100,0.0,0.0,SF,20,CHA,62,62,24.2,2.7,5.7,.473,0.0,0.1,.111,2.7,5.5,.483,.475,1.8,3.0,.614,1.8,3.5,5.2,0.8,0.7,0.6,1.0,2.3,7.2,12.0,.516,.025,.521,8.2,16.2,12.2,1.5,2.1,12.1,15.2,0.9,2.2,3.1,.098,-2.9,0.8,-2.1,0.0
252,Andrei Kirilenko,0.0,0.0,7,91,2,PF,32,BRK,45,4,19.0,1.8,3.6,.513,0.0,0.1,.200,1.8,3.4,.523,.516,1.4,2.6,.513,1.2,2.0,3.2,1.6,0.9,0.4,1.2,1.4,5.0,12.4,.532,.031,.744,7.7,12.7,10.2,2.5,1.9,20.3,14.6,0.4,0.9,1.3,.070,-1.1,0.8,-0.4,0.4
253,Brandon Knight,89,11,0.0,0.0,0.0,PG,22,MIL,72,69,33.3,6.4,15.2,.422,1.5,4.7,.325,4.9,10.5,.466,.473,3.6,4.5,.802,0.6,2.9,3.5,4.9,1.0,0.2,2.6,2.0,17.9,16.5,.523,.310,.296,2.1,10.3,6.1,1.5,0.6,13.2,26.8,2.4,0.4,2.8,.055,1.7,-2.2,-0.5,0.9
254,Kyle Korver,0.0,68,31,0.0,0.0,SG,32,ATL,71,71,33.9,4.1,8.6,.475,2.6,5.5,.472,1.5,3.1,.479,.626,1.2,1.3,.926,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,12.0,13.5,.653,.644,.154,1.1,12.4,6.8,1.5,0.8,13.6,14.2,3.9,2.0,5.9,.118,0.9,0.2,1.1,1.9
255,Kosta Koufos,0.0,0.0,0.0,11,89,C,24,MEM,80,22,16.9,2.8,5.7,.495,0.0,0.0,0.0,2.8,5.7,.495,.495,0.8,1.2,.645,2.0,3.2,5.2,0.5,0.4,0.9,0.8,2.3,6.4,16.5,.514,.000,.203,14.0,22.7,18.4,1.3,4.4,11.8,19.4,1.3,2.2,3.5,.124,-1.5,0.1,-1.5,0.2
256,Viacheslav Kravtsov,0.0,0.0,0.0,16,84,C,26,PHO,20,0,3.0,0.4,0.8,.533,0.0,0.0,0.0,0.4,0.8,.533,.533,0.2,0.4,.500,0.5,0.4,0.9,0.1,0.0,0.1,0.3,0.4,1.0,10.5,.540,.000,.533,17.2,15.2,16.2,0.0,1.3,24.5,18.3,0.0,0.0,0.0,.027,-3.8,-3.0,-6.9,-0.1
257,Ognjen Kuzmić,0.0,0.0,0.0,0.0,100,C,23,GSW,21,0,4.4,0.2,0.6,.385,0.0,0.0,0.0,0.2,0.6,.385,.385,0.2,0.5,.455,0.5,0.5,1.0,0.1,0.1,0.2,0.5,0.8,0.7,3.4,.420,.000,.846,12.1,12.8,12.5,1.6,3.3,35.9,13.3,-0.2,0.1,0.0,-0.025,-8.7,-0.2,-8.9,-0.2
258,Doron Lamb,0.0,44,56,1,0.0,SG,22,ORL,53,0,13.1,1.2,3.0,.394,0.7,1.7,.400,0.5,1.3,.386,.506,0.5,0.7,.806,0.2,0.8,0.9,0.8,0.2,0.0,0.5,1.0,3.6,7.5,.543,.563,.225,1.3,6.7,4.0,0.8,0.1,13.3,13.3,0.3,0.2,0.5,.036,-3.0,-1.6,-4.6,-0.5
259,Jeremy Lamb,4,67,29,0.0,0.0,SG,21,OKC,78,0,19.7,3.4,7.8,.432,1.1,3.2,.356,2.2,4.6,.483,.504,0.7,0.8,.797,0.3,2.1,2.4,1.5,0.7,0.3,0.8,1.8,8.5,13.4,.522,.406,.105,2.1,11.3,6.9,1.8,1.4,8.7,20.1,1.4,1.8,3.3,.102,-0.1,0.2,0.1,0.8
260,Carl Landry,0.0,0.0,0.0,41,59,PF,30,SAC,18,1,12.9,1.7,3.3,.517,0.0,0.0,0.0,1.7,3.3,.517,.517,0.8,0.9,.824,0.8,2.3,3.2,0.3,0.2,0.1,0.5,1.9,4.2,11.2,.563,.000,.283,7.2,20.6,13.8,0.7,0.3,11.8,14.5,0.3,0.1,0.4,.088,-2.4,-0.7,-3.1,-0.1
261,Shane Larkin,100,0.0,0.0,0.0,0.0,PG,21,DAL,48,0,10.2,1.1,2.9,.380,0.3,0.8,.316,0.8,2.1,.404,.423,0.3,0.5,.640,0.2,0.6,0.9,1.5,0.5,0.0,0.8,1.0,2.8,8.3,.446,.277,.182,2.6,7.3,5.0,2.7,0.2,20.9,17.4,-0.4,0.3,-0.1,-0.010,-3.8,0.0,-3.8,-0.2
262,Ty Lawson,76,25,0.0,0.0,0.0,PG,26,DEN,62,61,35.8,5.6,13.0,.431,1.2,3.3,.356,4.4,9.7,.455,.475,5.2,6.5,.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.6,19.0,.554,.251,.504,1.9,8.5,5.2,2.2,0.3,16.9,22.7,4.8,1.5,6.3,.136,2.9,-0.5,2.3,2.5
263,Ricky Ledo,0.0,28,67,5,0.0,SG,21,DAL,11,0,3.0,0.5,1.5,.353,0.3,0.7,.375,0.3,0.8,.333,.441,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.1,0.0,0.2,0.2,1.7,12.7,.506,.471,.235,0.0,7.0,3.5,1.6,0.0,9.6,28.6,0.0,0.0,0.0,.024,-1.4,-2.5,-3.9,0.0
264,Courtney Lee,21,73,6,0.0,0.0,SG,28,TOT,79,47,25.0,3.7,7.8,.480,0.9,2.5,.371,2.8,5.3,.531,.539,1.3,1.4,.884,0.4,2.0,2.4,1.5,0.8,0.4,0.9,1.6,9.6,13.8,.574,.316,.182,1.7,9.5,5.6,1.7,1.2,9.9,17.0,2.8,1.9,4.7,.114,0.1,0.8,0.9,1.5
265,David Lee,0.0,0.0,0.0,81,19,PF,30,GSW,69,67,33.2,7.4,14.2,.523,0.0,0.0,.000,7.4,14.2,.523,.523,3.3,4.3,.780,2.6,6.7,9.3,2.1,0.7,0.4,2.2,3.0,18.2,19.1,.566,.001,.302,8.8,21.6,15.3,1.0,0.9,12.0,24.3,4.1,3.5,7.6,.160,1.1,0.3,1.3,1.9
266,Alex Len,0.0,0.0,0.0,0.0,100,C,20,PHO,42,3,8.6,0.8,1.9,.423,0.0,0.0,0.0,0.8,1.9,.423,.423,0.5,0.7,.645,0.9,1.4,2.4,0.1,0.1,0.4,0.6,1.6,2.0,7.3,.469,.000,.397,12.1,18.6,15.3,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,.024,-5.9,-0.7,-6.6,-0.4
267,Kawhi Leonard,0.0,0.0,87,13,0.0,SF,22,SAS,66,65,29.1,5.1,9.8,.522,1.0,2.8,.379,4.1,7.0,.579,.576,1.5,1.9,.802,1.2,5.1,6.2,2.0,1.7,0.8,1.2,1.9,12.8,19.4,.602,.282,.195,4.6,18.9,12.1,3.0,1.9,10.3,18.3,3.8,3.9,7.7,.193,2.1,3.0,5.1,3.5
268,Meyers Leonard,0.0,0.0,0.0,0.0,100,C,21,POR,40,0,8.9,1.0,2.3,.451,0.0,0.2,.000,1.0,2.1,.482,.451,0.4,0.5,.762,0.7,2.1,2.8,0.5,0.2,0.1,0.4,1.9,2.5,9.4,.489,.066,.231,8.0,25.5,16.8,1.0,1.0,13.0,14.2,0.2,0.5,0.6,.086,-4.7,0.8,-4.0,-0.2
269,Jon Leuer,0.0,0.0,1,96,3,PF,24,MEM,49,0,13.1,2.5,5.0,.492,0.5,1.0,.469,2.0,4.0,.497,.539,0.8,1.0,.787,0.8,2.5,3.2,0.4,0.4,0.3,0.6,1.3,6.2,17.6,.566,.199,.191,6.8,22.4,14.6,1.5,1.7,9.2,21.1,1.1,0.9,2.0,.149,1.0,0.0,1.0,0.5
270,Rashard Lewis,0.0,0.0,55,45,0.0,SF,34,MIA,60,6,16.2,1.6,3.9,.415,0.8,2.2,.343,0.9,1.7,.510,.513,0.4,0.6,.788,0.4,1.4,1.8,1.0,0.9,0.1,0.6,1.5,4.5,10.7,.535,.568,.140,3.2,10.7,7.1,2.9,0.7,12.3,14.1,0.5,1.1,1.7,.083,-1.3,1.0,-0.3,0.4
271,DeAndre Liggins,0.0,100,0.0,0.0,0.0,SG,25,MIA,1,0,1.0,1.0,1.0,1.000,0.0,0.0,0.0,1.0,1.0,1.000,1.000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,129.1,1.000,.000,.000,100.0,0.0,62.8,0.0,0.0,0.0,47.8,0.0,0.0,0.0,2.123,42.1,-0.6,41.5,0.0
272,Damian Lillard,66,34,0.0,0.0,0.0,PG,23,POR,82,82,35.8,6.7,15.9,.424,2.7,6.8,.394,4.1,9.1,.447,.508,4.5,5.2,.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7,18.6,.568,.425,.327,1.3,9.2,5.3,1.1,0.5,11.5,25.0,7.8,1.8,9.6,.157,3.8,-0.6,3.2,3.9
273,Jeremy Lin,66,34,0.0,0.0,0.0,PG,25,HOU,71,33,28.9,4.2,9.3,.446,1.2,3.2,.358,3.0,6.1,.492,.508,3.1,3.7,.823,0.5,2.2,2.6,4.1,1.0,0.4,2.5,2.3,12.5,14.3,.572,.346,.400,2.0,7.8,5.1,1.7,1.0,18.4,20.4,2.8,1.6,4.4,.103,0.2,-0.4,-0.2,0.9
274,Shaun Livingston,52,48,1,0.0,0.0,PG,28,BRK,76,54,26.0,3.1,6.4,.483,0.0,0.1,.167,3.1,6.3,.486,.484,2.1,2.5,.827,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,8.3,14.5,.551,.012,.392,4.1,10.8,7.5,2.5,1.3,15.5,16.1,2.6,1.8,4.4,.108,-0.6,1.1,0.4,1.2
275,Brook Lopez,0.0,0.0,0.0,0.0,100,C,25,BRK,17,17,31.4,7.6,13.5,.563,0.0,0.1,.000,7.6,13.4,.566,.563,5.5,6.8,.817,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1,20.7,25.4,.629,.004,.502,8.8,14.1,11.5,0.9,4.8,9.1,27.1,1.9,0.5,2.3,.211,4.0,-0.3,3.7,0.8
276,Robin Lopez,0.0,0.0,0.0,3,98,C,25,POR,82,82,31.7,4.3,7.9,.551,0.0,0.0,.000,4.3,7.8,.552,.551,2.4,3.0,.818,4.0,4.6,8.5,0.9,0.3,1.7,1.0,2.4,11.1,17.7,.605,.002,.376,13.6,15.3,14.5,0.5,3.7,10.1,14.0,7.0,2.6,9.5,.176,1.2,-0.1,1.2,2.1
277,Kevin Love,0.0,0.0,0.0,73,27,PF,25,MIN,77,77,36.3,8.4,18.5,.457,2.5,6.6,.376,6.0,11.9,.502,.524,6.8,8.2,.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,26.9,.591,.355,.445,8.5,29.5,18.7,1.0,1.0,10.3,28.8,10.6,3.7,14.3,.245,8.3,0.6,8.9,7.7
278,Kyle Lowry,100,0.0,0.0,0.0,0.0,PG,27,TOR,79,79,36.2,5.8,13.7,.423,2.4,6.3,.380,3.4,7.3,.460,.511,4.0,4.9,.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9,20.1,.567,.463,.356,3.6,11.5,7.5,2.2,0.4,13.4,22.9,8.4,3.3,11.7,.197,4.1,0.6,4.7,4.8
279,John Lucas III,100,0.0,0.0,0.0,0.0,PG,31,UTA,42,6,14.1,1.5,4.5,.326,0.6,2.0,.298,0.9,2.5,.349,.392,0.2,0.4,.625,0.3,0.6,0.9,1.0,0.3,0.0,0.5,1.0,3.8,5.2,.403,.442,.084,2.3,5.4,3.8,1.2,0.0,10.0,17.0,-0.7,0.0,-0.7,-0.058,-4.1,-1.7,-5.9,-0.6
280,Shelvin Mack,18,72,11,0.0,0.0,PG,23,ATL,73,11,20.4,2.9,6.9,.417,0.8,2.5,.337,2.0,4.3,.464,.479,0.9,1.0,.865,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,7.5,13.2,.510,.367,.148,1.6,10.7,6.2,1.7,0.1,14.3,19.0,1.2,1.2,2.3,.074,-0.6,-0.5,-1.1,0.3
281,Ian Mahinmi,0.0,0.0,0.0,0.0,100,C,27,IND,77,1,16.2,1.2,2.5,.481,0.0,0.0,.000,1.2,2.4,.484,.481,1.2,1.9,.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5,10.2,.538,.005,.767,10.1,12.9,11.6,1.7,4.4,18.7,11.4,0.7,2.7,3.3,.129,-4.1,2.7,-1.3,0.2
282,Shawn Marion,0.0,0.0,54,46,0.0,SF,35,DAL,76,76,31.7,4.5,9.3,.482,0.8,2.1,.358,3.7,7.2,.518,.523,0.7,0.9,.785,1.7,4.8,6.5,1.6,1.2,0.5,1.3,1.6,10.4,13.7,.537,.229,.092,6.4,17.4,11.9,1.9,1.3,11.4,15.7,2.2,2.1,4.3,.086,0.1,0.1,0.2,1.3
283,Kendall Marshall,90,9,1,0.0,0.0,PG,22,LAL,54,45,29.0,3.1,7.8,.406,1.3,3.3,.399,1.8,4.5,.411,.490,0.4,0.7,.528,0.3,2.6,2.9,8.8,0.9,0.1,2.8,1.4,8.0,12.6,.494,.425,.086,1.0,9.6,5.3,1.5,0.2,25.6,16.3,0.6,0.3,0.9,.029,0.0,-2.4,-2.4,-0.2
284,Cartier Martin,0.0,21,76,4,0.0,SF,29,TOT,59,6,14.7,1.9,4.5,.420,1.0,2.6,.391,0.9,1.9,.460,.532,0.8,1.1,.738,0.2,1.6,1.9,0.6,0.5,0.1,0.6,1.2,5.6,11.0,.562,.572,.246,1.7,12.8,7.3,1.6,0.6,10.4,17.1,0.5,0.8,1.3,.070,-0.9,-0.3,-1.3,0.2
285,Kenyon Martin,0.0,0.0,0.0,80,21,PF,36,NYK,32,15,19.8,2.0,3.8,.512,0.0,0.0,.000,2.0,3.8,.516,.512,0.3,0.6,.579,1.1,3.1,4.2,1.6,0.8,0.8,0.8,2.7,4.3,12.2,.521,.008,.154,6.5,18.7,12.5,2.1,3.8,16.5,11.6,0.5,0.7,1.2,.090,-2.2,2.1,0.0,0.3
286,Kevin Martin,0.0,98,2,0.0,0.0,SG,30,MIN,68,68,32.0,6.5,15.0,.430,1.7,4.4,.387,4.8,10.7,.448,.486,4.5,5.0,.891,0.5,2.5,3.0,1.8,1.0,0.1,1.6,1.8,19.1,16.3,.553,.290,.332,1.7,8.7,5.1,1.5,0.2,8.3,25.0,3.8,1.5,5.3,.117,1.1,-0.8,0.3,1.3
287,Roger Mason,28,70,1,0.0,0.0,SG,33,MIA,25,2,10.4,1.0,2.7,.373,0.7,1.9,.354,0.3,0.8,.421,.500,0.3,0.3,1.000,0.0,0.8,0.9,0.8,0.2,0.0,0.4,1.0,3.0,8.2,.528,.716,.104,0.5,9.8,5.3,1.2,0.3,11.4,14.5,0.1,0.2,0.3,.055,-1.9,-0.8,-2.7,0.0
288,Wesley Matthews,0.0,78,22,1,0.0,SG,27,POR,82,82,33.9,5.4,12.3,.441,2.5,6.2,.393,3.0,6.1,.490,.541,3.1,3.7,.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4,15.7,.588,.506,.298,2.0,9.1,5.6,1.4,0.4,8.8,19.6,6.3,1.9,8.2,.142,1.9,0.1,1.9,2.7
289,Jason Maxiell,0.0,0.0,14,77,8,PF,30,ORL,34,13,14.4,1.4,3.1,.448,0.0,0.0,0.0,1.4,3.1,.448,.448,0.4,0.9,.484,0.8,1.7,2.5,0.3,0.2,0.6,0.4,1.4,3.2,8.1,.459,.000,.295,6.5,13.5,10.0,0.8,3.2,10.6,12.4,-0.1,0.4,0.3,.029,-4.2,0.0,-4.2,-0.3
290,Eric Maynor,100,0.0,0.0,0.0,0.0,PG,26,TOT,31,0,10.5,1.0,3.3,.317,0.4,1.2,.324,0.6,2.1,.313,.376,0.2,0.4,.545,0.3,1.0,1.3,1.7,0.3,0.1,0.9,0.5,2.6,6.2,.387,.366,.109,3.1,10.6,6.7,1.4,0.7,21.5,18.2,-0.6,0.2,-0.4,-0.058,-4.4,-1.6,-6.0,-0.3
291,O.J. Mayo,2,87,12,0.0,0.0,SG,26,MIL,52,23,25.9,4.3,10.6,.407,1.6,4.4,.370,2.7,6.2,.433,.484,1.5,1.7,.864,0.5,1.9,2.4,2.2,0.5,0.3,1.8,2.1,11.7,11.2,.516,.413,.160,2.0,8.8,5.3,1.1,0.8,13.9,23.0,0.0,0.0,0.1,.002,-1.0,-2.4,-3.4,-0.5
292,Luc Mbah a Moute,0.0,0.0,73,26,0.0,PF-SF,27,TOT,64,7,15.7,1.4,3.0,.451,0.1,0.3,.235,1.3,2.8,.472,.461,0.7,1.0,.687,0.9,1.4,2.3,0.6,0.5,0.2,0.6,1.1,3.5,8.3,.503,.088,.347,6.0,10.1,8.0,1.5,1.1,15.2,11.2,0.2,0.8,1.0,.049,-3.0,0.2,-2.8,-0.2
293,Ray McCallum,82,18,0.0,0.0,0.0,PG,22,SAC,45,10,19.9,2.5,6.7,.377,0.5,1.3,.373,2.0,5.4,.378,.413,0.7,1.0,.744,0.4,1.4,1.8,2.7,0.5,0.2,0.9,1.5,6.2,9.7,.439,.197,.143,2.2,7.8,5.0,1.2,0.8,10.9,17.6,0.0,0.4,0.4,.020,-2.3,-0.8,-3.1,-0.3
294,CJ McCollum,11,85,4,0.0,0.0,SG,22,POR,38,0,12.5,1.9,4.7,.416,0.8,2.1,.375,1.2,2.6,.449,.500,0.6,0.9,.676,0.2,1.1,1.3,0.7,0.4,0.1,0.9,1.4,5.3,9.0,.521,.449,.191,1.6,9.2,5.4,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,.019,-2.9,-0.6,-3.4,-0.2
295,JaVale McGee,0.0,0.0,0.0,0.0,100,C,26,DEN,5,5,15.8,3.4,7.6,.447,0.0,0.0,0.0,3.4,7.6,.447,.447,0.2,0.2,1.000,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0,10.2,.455,.000,.026,13.6,9.6,11.6,0.6,6.5,17.2,25.0,-0.1,0.1,-0.1,-0.039,-6.3,-0.1,-6.5,-0.1
296,Ben McLemore,0.0,91,9,0.0,0.0,SG,20,SAC,82,55,26.7,3.1,8.3,.376,1.2,3.6,.320,2.0,4.7,.419,.446,1.4,1.7,.804,0.6,2.2,2.9,1.0,0.5,0.2,1.2,2.5,8.8,7.7,.485,.437,.211,2.7,9.5,6.1,1.0,0.7,11.5,16.9,-0.1,0.9,0.8,.016,-2.9,-1.1,-4.0,-1.1
297,Josh McRoberts,0.0,0.0,0.0,95,5,PF,26,CHA,78,78,30.3,3.2,7.3,.436,1.3,3.7,.361,1.8,3.5,.516,.529,0.8,1.1,.729,1.1,3.7,4.8,4.3,0.7,0.6,1.1,2.4,8.5,13.8,.548,.514,.150,4.0,13.8,8.9,1.3,1.5,12.1,13.4,3.5,3.0,6.5,.132,0.5,1.5,2.0,2.3
298,Jodie Meeks,19,79,2,0.0,0.0,SG,26,LAL,77,70,33.2,5.4,11.6,.463,2.1,5.2,.401,3.3,6.3,.514,.554,2.9,3.4,.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7,14.7,.601,.453,.289,1.3,6.9,4.1,2.1,0.1,9.9,19.1,3.8,0.7,4.5,.084,0.4,-0.5,-0.1,1.2
299,Gal Mekel,87,13,0.0,0.0,0.0,PG,25,DAL,31,1,9.4,1.0,2.8,.349,0.2,0.6,.250,0.8,2.1,.379,.378,0.3,0.4,.667,0.2,0.7,0.9,2.0,0.1,0.0,1.0,1.0,2.4,5.4,.400,.233,.140,2.0,8.6,5.3,0.7,0.3,25.4,19.0,-0.5,0.1,-0.4,-0.073,-4.9,-2.7,-7.6,-0.4
300,Khris Middleton,0.0,19,70,11,0.0,SF,22,MIL,82,64,30.0,4.6,10.4,.440,1.5,3.5,.414,3.1,6.9,.454,.511,1.4,1.7,.861,0.7,3.0,3.8,2.1,1.0,0.2,1.5,3.0,12.1,12.5,.541,.340,.160,2.7,12.0,7.2,1.8,0.7,11.9,19.1,1.9,0.8,2.7,.053,-1.2,-1.1,-2.3,-0.2
301,C.J. Miles,0.0,60,39,1,0.0,SG,26,CLE,51,34,19.3,3.5,8.0,.435,1.6,4.1,.393,1.9,3.9,.480,.537,1.3,1.5,.853,0.4,1.7,2.0,1.0,0.9,0.3,0.9,2.0,9.9,16.0,.569,.516,.183,2.0,9.9,5.9,2.4,1.3,9.1,22.0,1.5,0.9,2.5,.122,1.5,0.9,2.4,1.1
302,Andre Miller,45,52,3,0.0,0.0,SG,37,TOT,58,2,16.9,1.8,4.0,.459,0.2,0.4,.524,1.6,3.6,.452,.483,1.0,1.3,.779,0.5,1.8,2.2,3.4,0.6,0.2,1.1,1.3,4.9,13.9,.534,.091,.333,3.1,11.7,7.4,1.7,0.7,18.7,14.5,1.4,0.8,2.2,.108,-0.3,1.1,0.8,0.7
303,Darius Miller,0.0,7,81,13,0.0,SF,23,NOP,45,7,16.1,1.6,3.7,.440,0.6,1.7,.325,1.1,2.0,.539,.515,0.6,0.8,.806,0.2,1.0,1.2,1.0,0.5,0.2,0.5,2.0,4.4,9.0,.550,.464,.217,1.4,7.0,4.2,1.7,1.0,10.8,12.8,0.6,0.2,0.8,.055,-2.8,0.0,-2.8,-0.1
304,Mike Miller,0.0,33,65,2,0.0,SF,33,MEM,82,4,20.8,2.6,5.4,.481,1.3,2.8,.459,1.3,2.6,.505,.602,0.6,0.7,.821,0.4,2.2,2.5,1.6,0.3,0.1,0.9,1.2,7.1,12.5,.619,.526,.126,2.1,12.3,7.2,0.8,0.2,14.1,14.7,2.6,1.4,3.9,.111,0.7,-0.3,0.4,1.0
305,Quincy Miller,0.0,0.0,21,75,4,PF,21,DEN,52,16,15.2,1.8,4.9,.367,0.6,1.8,.319,1.2,3.1,.395,.426,0.8,1.1,.709,0.7,2.1,2.8,0.5,0.4,0.6,0.9,1.3,4.9,8.6,.459,.367,.215,4.9,15.2,10.1,1.4,3.0,14.6,17.7,-0.7,0.7,0.0,.002,-3.4,-0.4,-3.7,-0.4
