,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Quincy Acy,PF,24,NYK,68,1287,0.0,0.0,13.0,81.0,7.0,22,2.2,4.9,0.45899999999999996,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,11.9,0.5329999999999999,0.18100000000000002,0.293,6.9,20.5,13.5,1.1,1.4,13.8,15.5,1.0,0.7,1.7,0.063,-2.1,-1.0,-3.1,-0.3
1,Jordan Adams,SG,20,MEM,30,248,35.0,60.0,6.0,0.0,0.0,0,1.2,2.9,0.40700000000000003,0.3,0.8,0.4,0.8,2.0,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,12.8,0.489,0.29100000000000004,0.267,4.2,8.7,6.4,3.4,2.3,12.7,20.4,0.0,0.4,0.4,0.073,-1.2,2.6,1.4,0.2
2,Steven Adams,C,21,OKC,70,1771,0.0,0.0,0.0,0.0,100.0,67,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,14.1,0.5489999999999999,0.005,0.514,12.2,19.3,15.8,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3
3,Jeff Adrien,PF,28,MIN,17,215,0.0,0.0,0.0,49.0,52.0,0,1.1,2.6,0.43200000000000005,0.0,0.0,0.0,1.1,2.6,0.43200000000000005,0.43200000000000005,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,14.2,0.494,0.0,0.8640000000000001,11.9,29.6,20.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-1.9,-0.6,-2.4,0.0
4,Arron Afflalo,SG,29,TOT,78,2502,0.0,88.0,12.0,0.0,0.0,72,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,10.7,0.5329999999999999,0.377,0.22399999999999998,1.1,9.7,5.3,0.8,0.2,10.7,19.0,1.6,1.0,2.6,0.05,-1.4,-1.1,-2.5,-0.3
5,Alexis Ajinca,C,26,NOP,68,957,0.0,0.0,0.0,0.0,100.0,8,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,19.9,0.595,0.0,0.301,12.4,25.0,18.7,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.7,0.4,-0.3,0.4
6,Furkan Aldemir,PF,23,PHI,41,540,0.0,0.0,0.0,37.0,63.0,9,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.5479999999999999,0.513,0.3,0.7,0.48100000000000004,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,12.0,0.517,0.064,0.34600000000000003,14.9,20.7,17.7,1.6,2.4,15.9,8.6,0.7,0.7,1.4,0.122,-3.9,0.4,-3.6,-0.2
7,Cole Aldrich,C,26,NYK,61,976,0.0,0.0,0.0,52.0,48.0,16,2.4,4.9,0.478,0.0,0.0,0.0,2.4,4.9,0.478,0.478,0.8,1.0,0.7809999999999999,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,18.1,0.513,0.0,0.213,11.6,28.9,20.0,2.0,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-0.8,1.1,0.3,0.6
8,LaMarcus Aldridge,PF,29,POR,71,2512,0.0,0.0,0.0,91.0,9.0,71,9.3,19.9,0.466,0.5,1.5,0.35200000000000004,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,22.8,0.528,0.07400000000000001,0.256,7.7,22.9,15.5,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1
9,Lavoy Allen,C,25,IND,63,1070,0.0,0.0,0.0,32.0,68.0,0,2.2,4.7,0.47200000000000003,0.0,0.0,0.0,2.2,4.7,0.47200000000000003,0.47200000000000003,0.5,0.7,0.7020000000000001,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,14.9,0.493,0.0,0.157,12.8,20.5,16.7,0.7,3.1,11.1,15.2,1.3,1.6,2.8,0.127,-0.5,0.5,0.0,0.6
