,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%
125,Reggie Evans,32,BRK,80,56,24.6,1.6,3.3,.479,0.0,0.0,0.0,1.6,3.3,.479,.479,1.4,2.8,.509,3.3,7.9,11.1,0.5,0.9,0.2,1.4,2.5,4.5,PF,12.8,.506,.000,.851,15.5,38.0,26.7,3.2,2.0,0.5,23.6,11.0,0.8,3.5,4.3,.105,-1.7,0.0,-1.7,0.1,0.0,0.0,0.0,97,3
126,Tyreke Evans,23,SAC,65,61,31.0,5.6,11.8,.478,0.7,2.0,.338,4.9,9.7,.508,.508,3.2,4.2,.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,2.0,15.2,SG,18.1,.558,.174,.354,3.1,13.5,8.2,19.0,2.3,1.0,12.6,22.3,3.6,0.8,4.4,.105,2.0,-0.2,1.8,1.9,1,69,29,1,0.0
127,Festus Ezeli,23,GSW,78,41,14.4,0.9,2.2,.438,0.0,0.0,0.0,0.9,2.2,.438,.438,0.6,1.0,.531,1.8,2.2,4.0,0.3,0.3,0.9,0.8,2.0,2.4,C,9.3,.467,.000,.479,14.3,16.4,15.4,2.7,1.0,5.2,23.5,10.7,0.0,1.5,1.5,.066,-4.0,0.7,-3.4,-0.4,0.0,0.0,0.0,0.0,100
128,Kenneth Faried,23,DEN,80,80,28.1,4.8,8.6,.552,0.0,0.0,0.0,4.8,8.6,.552,.552,2.0,3.3,.613,3.3,5.9,9.2,1.0,1.0,1.0,1.4,2.9,11.5,PF,18.5,.573,.000,.386,13.2,23.2,18.3,5.1,1.8,2.9,12.3,17.7,4.5,3.4,7.8,.167,0.9,0.2,1.1,1.7,0.0,0.0,0.0,79,21
129,Derrick Favors,21,UTA,77,8,23.2,3.6,7.4,.482,0.0,0.1,.000,3.6,7.3,.487,.482,2.3,3.4,.688,2.4,4.7,7.1,1.0,0.9,1.7,1.7,3.2,9.4,PF,17.5,.533,.009,.458,11.9,24.0,17.9,6.8,2.0,5.7,15.9,20.6,1.5,2.9,4.4,.117,-1.6,1.1,-0.5,0.7,0.0,0.0,0.0,80,20
130,Raymond Felton,28,NYK,68,68,34.0,5.5,13.0,.427,1.4,3.8,.360,4.2,9.2,.455,.480,1.5,1.9,.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,1.9,13.9,PG,15.2,.505,.293,.145,2.5,7.5,4.9,27.0,2.2,0.5,14.2,22.1,2.5,1.7,4.2,.087,0.9,-0.8,0.1,1.2,100,0.0,0.0,0.0,0.0
131,Landry Fields,24,TOR,51,22,20.3,2.0,4.4,.457,0.0,0.3,.143,2.0,4.1,.478,.462,0.7,1.0,.642,1.2,2.9,4.1,1.2,0.6,0.2,0.8,1.2,4.7,SF,10.3,.487,.063,.238,6.7,17.4,11.9,8.9,1.6,0.6,14.6,12.9,0.3,0.8,1.1,.052,-1.8,0.0,-1.8,0.1,0.0,1,56,43,0.0
132,Derek Fisher,38,TOT,33,9,17.4,1.7,4.9,.342,0.9,2.4,.375,0.8,2.5,.309,.435,1.1,1.2,.921,0.1,1.1,1.1,1.4,0.6,0.1,0.9,1.7,5.3,SG-PG,7.7,.492,.497,.236,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,0.0,0.4,0.4,.034,-3.1,-0.3,-3.4,-0.2,30,69,1,0.0,0.0
133,Evan Fournier,20,DEN,38,4,11.3,2.0,4.0,.493,0.6,1.4,.407,1.4,2.6,.541,.566,0.8,1.0,.769,0.2,0.8,0.9,1.2,0.5,0.0,0.8,1.7,5.3,SG,13.8,.597,.355,.257,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,0.7,0.3,1.0,.115,-1.3,0.0,-1.4,0.1,18,57,23,2,0.0
134,Randy Foye,29,UTA,82,72,27.4,3.6,9.0,.397,2.2,5.3,.410,1.4,3.7,.378,.518,1.4,1.8,.819,0.2,1.3,1.5,2.0,0.8,0.3,1.1,2.3,10.8,SG,11.7,.550,.588,.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,2.8,0.9,3.7,.080,0.1,-0.7,-0.6,0.8,11,89,0.0,0.0,0.0
