,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26,OKC,63,1680,0.0,0.0,0.0,0.0,100.0,63,4.5,7.6,0.5920000000000001,0.0,0.0,0.33299999999999996,4.5,7.5,0.594,0.593,1.9,3.2,0.5820000000000001,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,20.5,0.604,0.006,0.42100000000000004,14.0,24.0,19.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1
1,Bam Adebayo,PF,22,MIA,72,2417,0.0,0.0,0.0,57.0,44.0,72,6.1,11.0,0.557,0.0,0.2,0.14300000000000002,6.1,10.8,0.564,0.5579999999999999,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,20.3,0.598,0.018000000000000002,0.484,8.5,24.9,17.0,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3
2,LaMarcus Aldridge,C,34,SAS,53,1754,0.0,0.0,0.0,6.0,94.0,53,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.8270000000000001,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,19.7,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5
3,Kyle Alexander,PF,23,MIA,2,13,0.0,0.0,0.0,90.0,10.0,0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,33.3,10.2,0.0,0.0,0.0,-0.003,-6.1,-3.5,-9.6,0.0
4,Nickeil Alexander-Walker,SG,21,NOP,47,591,3.0,49.0,45.0,3.0,0.0,1,2.1,5.7,0.368,1.0,2.8,0.34600000000000003,1.1,2.8,0.391,0.455,0.5,0.8,0.6759999999999999,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,8.9,0.473,0.5,0.139,1.6,13.5,7.5,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4
5,Grayson Allen,SG,24,MEM,38,718,3.0,74.0,23.0,0.0,0.0,0,3.1,6.6,0.466,1.5,3.7,0.40399999999999997,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,12.0,0.609,0.562,0.179,1.2,11.1,6.2,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.08199999999999999,-0.1,-1.2,-1.3,0.1
6,Jarrett Allen,C,21,BRK,70,1852,0.0,0.0,0.0,0.0,100.0,64,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.6579999999999999,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,20.7,0.664,0.013000000000000001,0.581,12.3,24.9,18.7,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0
7,Kadeem Allen,SG,27,NYK,10,117,83.0,15.0,2.0,0.0,0.0,0,1.9,4.4,0.43200000000000005,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,14.0,0.512,0.364,0.25,1.8,6.6,4.1,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0.0
8,Al-Farouq Aminu,PF,29,ORL,18,380,0.0,0.0,34.0,65.0,1.0,2,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,0.32,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,7.6,0.395,0.419,0.337,6.6,18.4,12.3,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1
9,Justin Anderson,SF,26,BRK,10,107,0.0,31.0,33.0,32.0,5.0,1,1.0,3.8,0.263,0.6,2.9,0.207,0.4,0.9,0.444,0.342,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,3.2,0.35200000000000004,0.763,0.105,1.0,18.9,10.2,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054000000000000006,-6.8,-0.9,-7.7,-0.2
10,Kyle Anderson,PF,26,MEM,67,1330,0.0,0.0,14.0,71.0,15.0,28,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,12.5,0.534,0.257,0.23600000000000002,4.7,17.6,11.3,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9
11,Ryan Anderson,C,31,HOU,2,14,0.0,0.0,0.0,0.0,100.0,0,1.0,3.5,0.28600000000000003,0.5,2.5,0.2,0.5,1.0,0.5,0.35700000000000004,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,9.4,0.35700000000000004,0.7140000000000001,0.0,0.0,52.9,26.2,3.3,0.0,12.5,23.7,0.0,0.0,0.0,-0.037000000000000005,-3.3,0.5,-2.8,0.0
12,Giannis Antetokounmpo,PF,25,MIL,63,1917,0.0,0.0,0.0,76.0,24.0,63,10.9,19.7,0.5529999999999999,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,31.9,0.613,0.237,0.508,7.7,34.8,22.1,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.27899999999999997,7.4,4.1,11.5,6.6
13,Kostas Antetokounmpo,PF,22,LAL,5,20,0.0,0.0,0.0,28.0,72.0,0,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.6,1.0,1.0,0.2,0.4,0.5,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,16.3,0.902,0.0,0.667,11.1,5.4,8.2,0.0,0.0,20.5,10.3,0.1,0.0,0.1,0.193,0.2,-0.9,-0.7,0.0
14,Thanasis Antetokounmpo,SF,27,MIL,20,129,0.0,22.0,65.0,13.0,0.0,2,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.5,0.4,0.9,0.41200000000000003,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,12.2,0.496,0.20800000000000002,0.354,9.8,8.7,9.2,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0
15,Carmelo Anthony,PF,35,POR,58,1902,0.0,0.0,5.0,89.0,5.0,58,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.44799999999999995,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8
16,OG Anunoby,SF,22,TOR,69,2066,0.0,2.0,62.0,35.0,1.0,68,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,13.2,0.6,0.40299999999999997,0.18,4.2,14.2,9.3,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7
17,Ryan Arcidiacono,PG,25,CHI,58,930,100.0,0.0,0.0,0.0,0.0,4,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,9.0,0.551,0.627,0.17300000000000001,2.3,11.2,6.5,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2
18,Trevor Ariza,SF,34,TOT,53,1493,0.0,2.0,88.0,10.0,0.0,21,2.7,6.1,0.43799999999999994,1.5,3.9,0.37200000000000005,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,11.0,0.593,0.639,0.228,2.5,15.7,9.0,2.2,0.9,13.6,11.8,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.5
19,DJ Augustin,PG,32,ORL,57,1420,100.0,0.0,0.0,0.0,0.0,13,3.2,8.1,0.39899999999999997,1.2,3.5,0.348,2.0,4.6,0.43799999999999994,0.475,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,14.0,0.5539999999999999,0.436,0.39299999999999996,1.6,7.8,4.6,1.2,0.1,13.7,19.1,2.0,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2
20,Deandre Ayton,C,21,PHO,38,1236,0.0,0.0,0.0,1.0,99.0,32,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.5529999999999999,0.5479999999999999,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,20.0,0.568,0.023,0.157,13.0,26.3,19.6,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7
