,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
13,David Andersen,PF,30,TOT,40,0,9.3,1.4,3.0,.463,0.2,0.6,.348,1.2,2.5,.490,.496,0.4,0.6,.636,0.5,1.6,2.1,0.3,0.1,0.2,0.6,1.0,3.4,10.9,.513,.190,.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,-0.1,0.3,0.3,.032,-2.8,-3.4,-0.1,,,,58%,42%,0.7,4.0,5,9,10,3,9,2,28,2,11
14,James Anderson,SF,21,SAS,26,2,11.0,1.2,3.1,.383,0.7,1.8,.391,0.5,1.3,.371,.494,0.5,0.7,.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.3,.051,-1.1,-1.7,0.0,,25%,73%,2%,,-7.8,-15.4,3,5,16,2,9,4,40,2,6
15,Ryan Anderson,PF,22,ORL,64,14,22.3,3.5,8.2,.430,2.1,5.3,.393,1.4,2.9,.500,.558,1.5,1.8,.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,19.0,.591,.650,.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,.216,4.2,4.6,2.4,,,1%,67%,33%,9.2,4.8,21,11,69,8,52,9,124,10,25
16,Carmelo Anthony,SF,26,TOT,77,77,35.7,8.9,19.5,.455,1.2,3.3,.378,7.6,16.3,.470,.487,6.6,7.9,.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,21.7,.557,.167,.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,5.4,2.5,7.9,.138,3.2,1.9,2.7,,1%,81%,19%,,3.5,0.6,68,52,85,50,270,12,517,65,108
17,Joel Anthony,C,28,MIA,75,11,19.5,0.7,1.3,.535,0.0,0.0,,0.7,1.3,.535,.535,0.6,1.0,.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0,7.3,.583,.000,.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,.107,-3.2,-1.6,0.2,,,,3%,97%,7.0,-2.6,7,6,120,15,21,7,55,1,13
18,Gilbert Arenas,PG,29,TOT,70,16,25.7,3.8,10.5,.366,1.4,4.7,.297,2.5,5.8,.423,.433,1.7,2.2,.784,0.3,2.4,2.7,3.9,1.1,0.3,2.5,2.7,10.8,10.8,.471,.446,.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,-1.6,2.2,0.5,.014,-2.2,-2.4,-0.2,81%,19%,,,,-0.6,0.7,106,30,86,22,67,10,632,14,29
19,Trevor Ariza,SF,25,NOH,75,75,34.7,4.0,10.2,.398,1.1,3.6,.303,2.9,6.5,.450,.451,1.8,2.6,.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11.0,11.3,.487,.356,.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,-0.4,3.8,3.4,.062,-1.7,-0.4,1.0,,,90%,10%,,-0.2,-2.9,42,34,68,22,93,9,361,22,43
20,Hilton Armstrong,C,26,TOT,53,2,9.2,0.7,1.4,.487,0.0,0.1,.500,0.7,1.4,.486,.500,0.3,0.6,.485,0.8,1.7,2.5,0.3,0.3,0.4,0.5,1.6,1.7,8.8,.508,.053,.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,-0.1,0.6,0.5,.045,-4.7,-3.7,-0.2,,,,6%,94%,-10.1,-5.9,3,8,36,15,13,9,32,3,12
21,Carlos Arroyo,PG,31,TOT,64,43,18.5,1.9,4.3,.440,0.5,1.1,.449,1.4,3.2,.436,.496,0.6,0.7,.830,0.3,1.3,1.6,2.0,0.3,0.0,0.9,1.1,4.8,9.0,.528,.253,.172,2.2,7.9,5.2,15.8,0.9,0.1,17.0,14.0,0.5,1.1,1.7,.068,-2.1,-2.3,-0.1,96%,4%,,,,5.0,-2.8,32,13,35,4,13,7,266,2,3
22,Darrell Arthur,PF,22,MEM,80,9,20.1,3.9,7.8,.497,0.0,0.1,.000,3.9,7.7,.502,.497,1.4,1.7,.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,9.1,15.7,.534,.010,.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,.113,-1.8,-1.6,0.2,,,,95%,5%,2.1,-0.5,30,27,118,19,62,9,116,15,31
