,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Alex Abrines,SG,24,OKC,75,1134,5.0,90.0,5.0,0.0,0.0,8,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.44299999999999995,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,9.0,0.5670000000000001,0.759,0.158,2.5,8.9,5.6,1.7,0.6,7.4,12.7,1.3,1.0,2.2,0.094,-1.9,0.4,-1.5,0.1
1,Quincy Acy,PF,27,BRK,70,1359,0.0,0.0,0.0,59.0,42.0,8,1.9,5.2,0.35600000000000004,1.5,4.2,0.349,0.4,1.0,0.384,0.496,0.7,0.9,0.8170000000000001,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,8.2,0.525,0.8,0.16399999999999998,3.1,17.1,10.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,0.036000000000000004,-2.6,0.1,-2.5,-0.2
2,Steven Adams,C,24,OKC,76,2487,0.0,0.0,0.0,0.0,100.0,76,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.5589999999999999,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,20.6,0.63,0.003,0.402,16.6,13.9,15.3,1.8,2.8,13.3,16.7,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0
3,Bam Adebayo,C,20,MIA,69,1368,0.0,0.0,0.0,4.0,96.0,19,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,15.7,0.57,0.021,0.526,9.7,21.6,15.6,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.1,0.7,-0.4,0.6
4,Arron Afflalo,SG,32,ORL,53,682,5.0,77.0,18.0,0.0,0.0,3,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,5.8,0.516,0.43200000000000005,0.16,0.6,10.1,5.3,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009000000000000001,-3.8,-1.5,-5.4,-0.6
5,Cole Aldrich,C,29,MIN,21,49,0.0,0.0,0.0,0.0,100.0,0,0.2,0.7,0.33299999999999996,0.0,0.0,0.0,0.2,0.7,0.33299999999999996,0.33299999999999996,0.1,0.3,0.33299999999999996,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,6.0,0.34,0.0,0.4,7.0,28.6,17.6,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013000000000000001,-6.8,-0.7,-7.5,-0.1
6,LaMarcus Aldridge,C,32,SAS,75,2509,0.0,0.0,0.0,38.0,62.0,75,9.2,18.0,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.8370000000000001,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,25.0,0.57,0.068,0.29600000000000004,10.8,17.3,14.0,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7
7,Jarrett Allen,C,19,BRK,72,1441,0.0,0.0,0.0,2.0,98.0,31,3.3,5.5,0.589,0.1,0.2,0.33299999999999996,3.2,5.3,0.599,0.596,1.6,2.0,0.7759999999999999,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,17.5,0.636,0.038,0.37,10.5,18.1,14.3,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5
8,Kadeem Allen,PG,25,BOS,18,107,69.0,32.0,0.0,0.0,0.0,1,0.3,1.2,0.273,0.0,0.6,0.0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,2.6,0.366,0.5,0.409,4.1,7.1,5.6,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2
9,Tony Allen,SF,36,NOP,22,273,0.0,18.0,73.0,9.0,0.0,0,2.0,4.1,0.484,0.2,0.5,0.33299999999999996,1.8,3.6,0.506,0.505,0.5,1.0,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,8.7,0.514,0.132,0.231,8.2,10.4,9.3,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2
10,Al-Farouq Aminu,PF,27,POR,69,2072,0.0,0.0,3.0,96.0,1.0,67,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.43200000000000005,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,12.0,0.522,0.5820000000000001,0.13699999999999998,5.2,22.3,13.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.09699999999999999,-0.7,1.1,0.4,1.3
11,Justin Anderson,SF,24,PHI,38,519,0.0,10.0,73.0,17.0,0.0,0,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1.0,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,13.0,0.54,0.51,0.188,5.4,13.6,9.6,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
12,Kyle Anderson,SF,24,SAS,74,1978,0.0,0.0,63.0,37.0,0.0,67,3.1,5.9,0.527,0.3,0.8,0.33299999999999996,2.9,5.1,0.556,0.5489999999999999,1.4,2.0,0.7120000000000001,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,15.9,0.5820000000000001,0.13,0.33299999999999996,4.7,17.6,11.1,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
13,Ryan Anderson,PF,29,HOU,66,1725,0.0,0.0,0.0,76.0,24.0,50,3.1,7.3,0.431,2.0,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,12.6,0.5920000000000001,0.706,0.19399999999999998,6.2,15.4,10.8,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
14,Ike Anigbogu,C,19,IND,11,30,0.0,0.0,0.0,0.0,100.0,0,0.4,0.8,0.444,0.0,0.0,0.0,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2,21.6,0.5579999999999999,0.0,0.667,19.0,15.0,16.9,1.7,8.9,14.7,20.3,0.1,0.0,0.1,0.165,1.8,0.1,1.9,0.0
15,Giannis Antetokounmpo,PF,23,MIL,75,2756,0.0,0.0,0.0,93.0,7.0,75,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.5539999999999999,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,27.3,0.598,0.1,0.457,6.7,25.3,16.0,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
16,Carmelo Anthony,PF,33,OKC,78,2501,0.0,0.0,0.0,90.0,10.0,78,6.1,15.0,0.40399999999999997,2.2,6.1,0.35700000000000004,3.9,8.9,0.43700000000000006,0.47600000000000003,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,12.7,0.503,0.406,0.165,2.9,17.7,10.0,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0
17,OG Anunoby,SF,20,TOR,74,1481,0.0,0.0,76.0,24.0,0.0,62,2.2,4.7,0.47100000000000003,1.0,2.7,0.371,1.2,2.0,0.604,0.5770000000000001,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,10.0,0.5870000000000001,0.569,0.179,3.4,10.4,7.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,0.098,-1.2,0.6,-0.6,0.5
18,Ryan Arcidiacono,PG,23,CHI,24,304,97.0,3.0,0.0,0.0,0.0,0,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0,7.3,0.55,0.7559999999999999,0.146,0.3,8.8,4.4,2.1,0.0,23.0,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2
19,Trevor Ariza,SF,32,HOU,67,2269,0.0,14.0,81.0,5.0,0.0,67,4.0,9.7,0.41200000000000003,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.8540000000000001,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,11.8,0.5670000000000001,0.71,0.13699999999999998,1.7,12.9,7.3,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.0,0.7,0.7,1.5
20,Darrell Arthur,PF,29,DEN,19,141,0.0,0.0,1.0,93.0,6.0,1,1.2,2.5,0.46799999999999997,0.4,1.2,0.348,0.7,1.3,0.583,0.5529999999999999,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,8.4,0.5589999999999999,0.489,0.064,2.4,9.5,6.0,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.011000000000000001,-4.8,-0.5,-5.3,-0.1
21,Jamel Artis,SG,25,ORL,15,279,0.0,48.0,46.0,6.0,0.0,1,2.1,5.3,0.392,0.5,1.9,0.276,1.5,3.3,0.46,0.44299999999999995,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,6.9,0.457,0.36700000000000005,0.152,1.6,13.5,7.5,0.4,0.9,8.7,14.5,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2
22,Omer Ask,C,31,TOT,18,182,0.0,0.0,0.0,0.0,100.0,0,0.5,1.2,0.409,0.0,0.0,0.0,0.5,1.2,0.409,0.409,0.2,0.7,0.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2,3.1,0.397,0.0,0.591,5.5,22.2,14.0,0.5,1.9,24.5,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8.0,-0.3
23,DJ Augustin,PG,30,ORL,75,1760,100.0,0.0,0.0,0.0,0.0,36,3.3,7.2,0.452,1.5,3.6,0.419,1.7,3.6,0.485,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2,15.4,0.615,0.504,0.35,1.9,8.2,5.0,1.5,0.0,16.5,18.6,3.3,0.8,4.1,0.11,1.0,-1.2,-0.2,0.8
24,Luke Babbitt,SF,28,TOT,50,715,0.0,4.0,22.0,74.0,1.0,14,1.8,4.3,0.423,1.2,3.1,0.385,0.6,1.2,0.525,0.563,0.3,0.4,0.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,9.8,0.5760000000000001,0.726,0.102,1.1,13.9,7.5,0.5,0.8,7.8,15.0,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
25,Dwayne Bacon,SG,22,CHO,53,713,0.0,7.0,76.0,17.0,0.0,6,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.40399999999999997,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3,5.8,0.431,0.22399999999999998,0.13,0.6,18.5,9.4,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.006999999999999999,-4.8,0.1,-4.7,-0.5
26,Ron Baker,SG,24,NYK,29,385,7.0,74.0,19.0,0.0,0.0,1,0.7,2.0,0.33899999999999997,0.4,1.1,0.33299999999999996,0.3,0.9,0.34600000000000003,0.43200000000000005,0.7,0.9,0.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4,9.3,0.504,0.5589999999999999,0.441,1.4,7.2,4.3,3.3,1.3,20.4,10.0,0.1,0.4,0.5,0.059000000000000004,-2.8,2.4,-0.4,0.2
27,Wade Baldwin,PG,21,POR,7,80,50.0,50.0,0.0,0.0,0.0,0,2.0,3.0,0.667,0.6,0.7,0.8,1.4,2.3,0.625,0.762,0.9,1.4,0.6,0.1,1.0,1.1,0.7,0.3,0.1,0.6,1.7,5.4,16.6,0.748,0.23800000000000002,0.47600000000000003,1.4,9.5,5.5,1.2,1.0,13.6,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1
28,Lonzo Ball,PG,20,LAL,52,1780,84.0,14.0,2.0,0.0,0.0,50,3.9,10.8,0.36,1.7,5.7,0.305,2.2,5.2,0.42,0.44,0.6,1.4,0.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,12.5,0.444,0.523,0.126,4.2,17.3,10.8,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.7,1.6,1.0,1.3
29,JJ Barea,PG,33,DAL,69,1603,100.0,0.0,0.0,0.0,0.0,10,4.4,10.0,0.439,1.7,4.5,0.36700000000000005,2.7,5.5,0.499,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0.0,2.1,1.2,11.6,17.8,0.545,0.45399999999999996,0.14800000000000002,1.0,13.4,7.0,1.1,0.2,16.3,24.9,2.3,1.0,3.3,0.098,2.7,-1.5,1.2,1.3
30,Harrison Barnes,PF,25,DAL,77,2634,0.0,6.0,38.0,56.0,0.0,77,7.0,15.7,0.445,1.5,4.3,0.35700000000000004,5.4,11.4,0.478,0.494,3.4,4.1,0.8270000000000001,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9,15.8,0.539,0.276,0.259,3.1,17.1,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,0.8,-1.3,-0.5,1.0
31,Will Barton,SG,27,DEN,81,2683,13.0,84.0,3.0,0.0,0.0,40,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7,16.2,0.562,0.41100000000000003,0.22,3.0,14.2,8.6,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1
32,Nicolas Batum,SG,29,CHO,64,1981,0.0,66.0,29.0,4.0,0.0,64,4.2,10.2,0.415,1.4,4.3,0.336,2.8,5.9,0.473,0.486,1.7,2.0,0.831,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6,14.4,0.523,0.42200000000000004,0.2,3.1,13.8,8.4,1.6,1.0,15.6,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2
33,Jerryd Bayless,SG,29,PHI,39,925,8.0,75.0,16.0,0.0,0.0,11,2.8,6.7,0.41600000000000004,1.4,3.7,0.37,1.4,3.0,0.474,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,7.5,0.546,0.557,0.168,1.8,7.3,4.7,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2
34,Aron Baynes,C,31,BOS,81,1485,0.0,0.0,0.0,1.0,99.0,67,2.6,5.5,0.47100000000000003,0.0,0.3,0.14300000000000002,2.6,5.2,0.48700000000000004,0.474,0.7,1.0,0.7559999999999999,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0,12.0,0.502,0.047,0.175,9.7,22.1,16.0,0.7,2.9,14.3,16.8,0.5,2.5,3.0,0.09699999999999999,-3.6,0.7,-2.9,-0.3
35,Kent Bazemore,SG,28,ATL,65,1789,2.0,77.0,21.0,0.0,0.0,65,4.4,10.4,0.42,1.7,4.2,0.39399999999999996,2.7,6.2,0.43799999999999994,0.5,2.5,3.1,0.7959999999999999,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,14.5,0.547,0.405,0.297,1.6,13.9,7.7,2.7,2.2,17.0,22.5,0.2,2.0,2.2,0.059000000000000004,-0.4,1.0,0.6,1.2
36,Bradley Beal,SG,24,WAS,82,2977,37.0,59.0,4.0,0.0,0.0,82,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.7909999999999999,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,18.4,0.564,0.35700000000000004,0.249,2.3,11.5,6.9,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1
37,Malik Beasley,SG,21,DEN,62,583,1.0,40.0,58.0,2.0,0.0,0,1.2,2.9,0.41,0.5,1.3,0.341,0.7,1.5,0.469,0.489,0.4,0.5,0.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,9.0,0.509,0.461,0.185,2.7,11.0,6.9,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.027999999999999997,-2.4,-1.4,-3.8,-0.3
38,Michael Beasley,PF,29,NYK,74,1653,0.0,0.0,5.0,93.0,3.0,30,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2,17.8,0.556,0.107,0.19699999999999998,6.5,21.2,13.9,1.1,2.3,14.0,26.9,0.9,1.5,2.4,0.069,0.6,-0.8,-0.2,0.7
39,Marco Belinelli,SG,31,TOT,80,1947,0.0,49.0,49.0,1.0,0.0,2,4.2,9.6,0.441,1.9,4.9,0.377,2.4,4.6,0.509,0.539,1.9,2.0,0.9079999999999999,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,14.1,0.581,0.517,0.213,1.1,7.3,4.3,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8
40,Jordan Bell,C,23,GSW,57,809,0.0,0.0,0.0,39.0,61.0,13,2.0,3.2,0.627,0.0,0.1,0.0,2.0,3.2,0.6409999999999999,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1.0,0.9,1.6,4.6,18.0,0.6409999999999999,0.022000000000000002,0.23800000000000002,8.9,19.0,14.3,2.1,5.5,20.0,13.9,1.6,1.4,2.9,0.174,0.0,2.8,2.8,1.0
41,DeAndre Bembry,SF,23,ATL,26,455,0.0,19.0,70.0,12.0,0.0,3,2.0,4.9,0.414,0.4,1.2,0.36700000000000005,1.6,3.8,0.429,0.457,0.7,1.3,0.5760000000000001,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,7.6,0.47700000000000004,0.23399999999999999,0.258,2.0,15.7,8.8,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
