,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
42,Dragan Bender,PF,20,PHO,82,2069,0.0,0.0,0.0,66.0,34.0,37,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2.0,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2.0,6.5,7.1,0.524,0.665,0.105,2.0,16.8,9.3,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9
43,Davis Bertans,PF,25,SAS,77,1086,0.0,0.0,0.0,92.0,7.0,10,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2.0,1.0,0.3,0.4,0.5,1.2,5.9,14.1,0.588,0.6890000000000001,0.134,1.8,13.9,7.8,1.2,2.1,8.5,17.4,1.6,1.4,3.1,0.135,1.0,0.6,1.6,1.0
44,Patrick Beverley,SG,29,LAC,11,334,62.0,38.0,0.0,0.0,0.0,11,4.4,10.8,0.40299999999999997,2.2,5.5,0.4,2.2,5.4,0.40700000000000003,0.504,1.3,1.5,0.8240000000000001,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,12.4,0.53,0.504,0.14300000000000002,5.3,9.4,7.4,2.8,1.3,16.5,19.6,0.1,0.3,0.4,0.055999999999999994,-0.3,0.8,0.5,0.2
45,Khem Birch,C,25,ORL,42,578,0.0,0.0,0.0,47.0,53.0,0,1.6,3.0,0.54,0.0,0.0,0.0,1.6,3.0,0.54,0.54,1.0,1.5,0.6890000000000001,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2,16.4,0.5820000000000001,0.0,0.484,13.2,21.1,17.1,1.3,2.9,12.1,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2
46,Jabari Bird,SG,23,BOS,13,115,0.0,67.0,34.0,0.0,0.0,1,1.2,2.0,0.5770000000000001,0.2,0.5,0.429,0.9,1.5,0.632,0.635,0.5,1.0,0.462,0.5,1.0,1.5,0.6,0.2,0.1,0.6,0.5,3.0,12.1,0.615,0.26899999999999996,0.5,5.8,12.2,9.0,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0.0
47,Bismack Biyombo,C,25,ORL,82,1495,0.0,0.0,0.0,15.0,86.0,25,2.2,4.3,0.52,0.0,0.0,0.0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4.0,5.7,0.8,0.3,1.2,1.0,1.9,5.7,14.1,0.556,0.003,0.446,10.5,24.0,17.2,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-2.6,0.2,-2.4,-0.2
48,Nemanja Bjelica,PF,29,MIN,67,1371,0.0,0.0,11.0,87.0,3.0,21,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,12.6,0.581,0.493,0.121,4.4,18.8,11.5,1.8,1.0,11.7,14.3,1.7,1.1,2.8,0.09699999999999999,-0.1,0.2,0.1,0.7
49,Tarik Black,C,26,HOU,51,536,0.0,0.0,4.0,14.0,83.0,2,1.5,2.5,0.591,0.0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2.0,3.2,0.3,0.4,0.6,0.7,2.1,3.5,14.3,0.5820000000000001,0.087,0.496,13.4,20.9,17.1,1.9,4.8,18.4,15.6,0.5,1.0,1.5,0.136,-3.7,1.2,-2.6,-0.1
50,Antonio Blakeney,SG,21,CHI,19,314,0.0,96.0,4.0,0.0,0.0,0,2.8,7.5,0.371,0.8,2.7,0.28800000000000003,2.0,4.8,0.418,0.423,1.6,2.1,0.769,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1.0,7.9,10.1,0.47100000000000003,0.364,0.273,1.3,10.3,5.6,1.1,0.3,6.4,23.7,-0.2,0.1,0.0,-0.006,-2.8,-2.4,-5.2,-0.3
51,Eric Bledsoe,PG,28,TOT,74,2322,100.0,1.0,0.0,0.0,0.0,74,6.3,13.4,0.473,1.7,4.9,0.34700000000000003,4.6,8.5,0.545,0.536,3.4,4.3,0.795,0.7,3.1,3.8,5.0,2.0,0.6,2.9,2.5,17.7,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.3,0.3,2.5,2.6
52,Vander Blue,SG,25,LAL,5,45,15.0,85.0,0.0,0.0,0.0,0,0.2,1.0,0.2,0.0,0.4,0.0,0.2,0.6,0.33299999999999996,0.2,0.2,0.4,0.5,0.0,0.2,0.2,0.6,0.2,0.0,0.6,0.4,0.6,-1.8,0.255,0.4,0.4,0.0,2.3,1.2,1.1,0.0,33.8,8.4,-0.1,0.0,-0.1,-0.10300000000000001,-7.6,-0.7,-8.4,-0.1
53,Bogdan Bogdanovic,SG,25,SAC,78,2175,0.0,38.0,59.0,3.0,0.0,53,4.4,9.9,0.446,1.7,4.2,0.392,2.8,5.7,0.485,0.529,1.3,1.5,0.84,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,13.5,0.556,0.426,0.154,1.6,10.5,5.8,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3
54,Bojan Bogdanovic,SF,28,IND,80,2464,0.0,0.0,87.0,13.0,0.0,80,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3.0,3.4,1.5,0.7,0.1,1.3,1.6,14.3,13.9,0.605,0.45299999999999996,0.24100000000000002,1.4,10.9,6.2,1.1,0.3,10.1,19.0,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8
55,Andrew Bogut,C,33,LAL,24,216,0.0,0.0,0.0,1.0,99.0,5,0.7,1.0,0.68,0.0,0.0,0.0,0.7,1.0,0.68,0.68,0.1,0.1,1.0,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5,10.9,0.696,0.0,0.08,12.9,25.4,19.2,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1
56,Joel Bolomboy,PF,24,MIL,6,38,0.0,0.0,0.0,50.0,50.0,0,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.5,1.0,0.5,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5,11.7,0.521,0.16699999999999998,1.0,18.6,12.3,15.4,2.6,0.0,18.8,12.6,0.0,0.0,0.1,0.079,-2.6,-2.4,-5.0,0.0
57,Devin Booker,SG,21,PHO,54,1865,5.0,83.0,12.0,0.0,0.0,54,8.4,19.5,0.43200000000000005,2.7,7.1,0.38299999999999995,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9,18.1,0.561,0.364,0.312,1.5,12.7,7.0,1.2,0.6,13.9,31.7,1.9,0.6,2.4,0.063,2.9,-2.0,0.9,1.4
58,Trevor Booker,PF,30,TOT,68,1158,0.0,0.0,2.0,73.0,25.0,7,2.6,5.0,0.516,0.1,0.5,0.242,2.5,4.6,0.545,0.528,1.0,1.4,0.71,1.7,3.0,4.7,1.2,0.4,0.3,0.9,1.8,6.3,14.9,0.557,0.096,0.271,11.1,18.6,14.9,1.2,1.5,13.3,16.6,1.6,1.3,2.9,0.121,-0.6,0.0,-0.6,0.4
59,Chris Boucher,PF,25,GSW,1,1,0.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5,0.0,1.0,0.0,0.0,100.0,55.9,0.0,0.0,0.0,43.9,0.0,0.0,0.0,-0.899,-21.7,-11.4,-33.1,0.0
60,Avery Bradley,SG,27,TOT,46,1433,7.0,91.0,2.0,0.0,0.0,46,5.6,13.6,0.414,1.6,4.4,0.369,4.0,9.2,0.436,0.474,1.4,1.8,0.768,0.5,2.0,2.5,2.0,1.1,0.2,2.2,2.0,14.3,9.6,0.496,0.325,0.131,1.7,7.3,4.5,1.8,0.5,13.3,23.5,-1.4,1.2,-0.2,-0.006999999999999999,-3.0,-1.0,-4.0,-0.7
