,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Arron Afflalo,SG,24,DEN,82,2221,0.0,92.0,7.0,0.0,0.0,75,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,10.9,0.5760000000000001,0.426,0.168,3.1,9.9,6.5,1.0,1.0,10.5,14.0,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9
1,Alexis Ajinca,C,21,CHA,6,30,0.0,0.0,0.0,0.0,100.0,0,0.8,1.7,0.5,0.0,0.0,0.0,0.8,1.7,0.5,0.5,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,6.3,0.479,0.0,0.1,4.1,11.8,8.0,1.8,2.7,16.1,19.3,-0.1,0.0,0.0,-0.013000000000000001,-6.3,1.0,-5.3,0.0
2,LaMarcus Aldridge,PF,24,POR,78,2922,0.0,0.0,0.0,88.0,12.0,78,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.49700000000000005,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,18.2,0.535,0.013999999999999999,0.26,8.1,18.6,13.3,1.3,1.3,7.4,22.9,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3
3,Joe Alexander,SF,23,CHI,8,29,0.0,0.0,86.0,14.0,0.0,0,0.1,0.8,0.16699999999999998,0.0,0.1,0.0,0.1,0.6,0.2,0.16699999999999998,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,2.8,0.273,0.16699999999999998,0.5,7.8,11.3,9.6,1.8,2.6,0.0,11.3,0.0,0.0,0.0,0.03,-9.1,0.9,-8.3,0.0
4,Malik Allen,PF,31,DEN,51,456,0.0,0.0,0.0,50.0,50.0,3,0.9,2.3,0.397,0.0,0.1,0.16699999999999998,0.9,2.2,0.409,0.401,0.2,0.3,0.9229999999999999,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1,5.9,0.431,0.052000000000000005,0.11199999999999999,9.2,11.5,10.4,1.2,0.8,15.3,14.0,-0.3,0.3,0.1,0.009000000000000001,-4.7,-1.0,-5.7,-0.4
5,Ray Allen*,SG,34,BOS,80,2819,0.0,83.0,17.0,0.0,0.0,80,5.8,12.2,0.47700000000000004,1.8,5.0,0.363,4.0,7.2,0.556,0.551,2.9,3.2,0.9129999999999999,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,15.2,0.601,0.41,0.26,2.0,8.8,5.5,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3
6,Tony Allen,SG,28,BOS,54,889,9.0,83.0,9.0,0.0,0.0,8,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,14.2,0.54,0.02,0.47,7.4,12.5,10.0,3.5,1.7,17.8,19.6,0.2,1.6,1.9,0.1,-1.8,2.2,0.4,0.5
7,Rafer Alston,PG,33,TOT,52,1421,100.0,0.0,0.0,0.0,0.0,38,3.0,8.6,0.348,1.1,3.2,0.345,1.9,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2,8.2,0.44299999999999995,0.377,0.182,1.0,9.7,5.3,1.9,0.5,16.5,18.8,-1.6,1.2,-0.4,-0.013000000000000001,-3.3,-0.5,-3.8,-0.6
8,Lou Amundson,PF,27,PHO,79,1168,0.0,0.0,14.0,80.0,6.0,0,1.9,3.5,0.551,0.0,0.0,0.0,1.9,3.5,0.5529999999999999,0.551,0.8,1.6,0.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,14.4,0.562,0.004,0.446,13.1,19.9,16.7,1.0,4.4,14.7,14.6,1.5,1.3,2.9,0.11800000000000001,-1.5,0.4,-1.1,0.3
9,Chris Andersen,PF,31,DEN,76,1695,0.0,0.0,0.0,55.0,45.0,0,1.9,3.3,0.5660000000000001,0.0,0.0,0.0,1.9,3.3,0.573,0.5660000000000001,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,15.8,0.631,0.012,0.94,10.1,22.7,16.4,1.3,6.3,14.3,10.8,3.2,2.7,5.9,0.166,-0.1,1.9,1.8,1.6
